REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VP2-180A
PATNUM:,3916A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001031
LOWFRQ:,17700
HGHFRQ:,19700
GUNITS:,DBI/DBR
LWGAIN:,38.4
MDGAIN:,38.9
HGGAIN:,39.3
AZWIDT:,1.90
ELWIDT:,1.90
ATVSWR:,1.20
FRTOBA:,52.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,51
-180.00,-52.00,
-120.00,-52.00,
-105.00,-40.00,
-100.00,-39.00,
-56.00,-36.50,
-15.00,-36.50,
-6.50,-23.00,
-4.40,-22.00,
-3.70,-16.00,
-2.20,-16.00,
-1.70,-9.60,
-1.60,-8.40,
-1.50,-7.50,
-1.40,-6.60,
-1.30,-5.70,
-1.20,-4.80,
-1.00,-3.60,
-0.90,-3.00,
-0.90,-2.70,
-0.80,-2.10,
-0.70,-1.50,
-0.50,-0.90,
-0.40,-0.60,
-0.30,-0.30,
-0.00,-0.00,
-0.00,-0.00,
0.00,-0.00,
0.30,-0.30,
0.40,-0.60,
0.50,-0.90,
0.70,-1.50,
0.80,-2.10,
0.90,-2.70,
0.90,-3.00,
1.00,-3.60,
1.20,-4.80,
1.30,-5.70,
1.40,-6.60,
1.50,-7.50,
1.60,-8.40,
1.70,-9.60,
2.20,-16.00,
3.70,-16.00,
4.40,-22.00,
6.50,-23.00,
15.00,-36.50,
56.00,-36.50,
100.00,-39.00,
105.00,-40.00,
120.00,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,13
-180.00,-56.00,
-100.00,-56.00,
-60.00,-50.00,
-15.00,-47.00,
-10.00,-47.00,
-2.00,-32.00,
-0.00,-32.00,
2.00,-32.00,
10.00,-47.00,
15.00,-47.00,
60.00,-50.00,
100.00,-56.00,
180.00,-56.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,59
-180.00,-52.00,
-115.00,-52.00,
-95.00,-40.00,
-37.00,-40.00,
-20.00,-32.00,
-15.00,-29.00,
-5.60,-24.00,
-3.30,-24.00,
-2.90,-22.00,
-2.40,-22.00,
-2.20,-18.00,
-2.10,-16.00,
-2.00,-14.00,
-1.90,-12.00,
-1.70,-9.60,
-1.60,-8.40,
-1.50,-7.50,
-1.40,-6.60,
-1.30,-5.70,
-1.20,-4.80,
-1.00,-3.60,
-0.90,-3.00,
-0.90,-2.70,
-0.80,-2.10,
-0.70,-1.50,
-0.50,-0.90,
-0.40,-0.60,
-0.30,-0.30,
-0.00,-0.00,
-0.00,-0.00,
0.00,-0.00,
0.30,-0.30,
0.40,-0.60,
0.50,-0.90,
0.70,-1.50,
0.80,-2.10,
0.90,-2.70,
0.90,-3.00,
1.00,-3.60,
1.20,-4.80,
1.30,-5.70,
1.40,-6.60,
1.50,-7.50,
1.60,-8.40,
1.70,-9.60,
1.90,-12.00,
2.00,-14.00,
2.10,-16.00,
2.20,-18.00,
2.40,-22.00,
2.90,-22.00,
3.30,-24.00,
5.60,-24.00,
15.00,-29.00,
20.00,-32.00,
37.00,-40.00,
95.00,-40.00,
115.00,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,13
-180.00,-55.00,
-90.00,-55.00,
-64.00,-48.00,
-15.00,-46.00,
-4.50,-45.00,
-2.50,-32.00,
-0.00,-32.00,
2.50,-32.00,
4.50,-45.00,
15.00,-46.00,
64.00,-48.00,
90.00,-55.00,
180.00,-55.00,
ENDFIL:,EOF
