REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHPX4-180A
PATNUM:,3953A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001031
LOWFRQ:,17700
HGHFRQ:,19700
GUNITS:,DBI/DBR
LWGAIN:,44.0
MDGAIN:,44.5
HGGAIN:,45.0
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.25
FRTOBA:,65.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.00,-65.00,
-90.00,-65.00,
-75.00,-53.00,
-65.00,-53.00,
-60.00,-46.00,
-30.00,-46.00,
-20.00,-41.00,
-15.00,-41.00,
-11.50,-41.00,
-9.00,-28.00,
-3.50,-28.00,
-1.50,-21.00,
-1.30,-17.30,
-1.20,-14.70,
-1.00,-10.20,
-0.80,-6.50,
-0.60,-3.70,
-0.40,-1.60,
-0.20,-0.40,
-0.00,-0.00,
0.20,-0.40,
0.40,-1.60,
0.60,-3.70,
0.80,-6.50,
1.00,-10.20,
1.20,-14.70,
1.30,-17.30,
1.50,-21.00,
3.50,-28.00,
9.00,-28.00,
11.50,-41.00,
15.00,-41.00,
20.00,-41.00,
30.00,-46.00,
60.00,-46.00,
65.00,-53.00,
75.00,-53.00,
90.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-67.00,
-85.00,-67.00,
-65.00,-60.00,
-20.00,-54.00,
-15.00,-54.00,
-13.50,-54.00,
-12.00,-48.00,
-9.50,-48.00,
-9.00,-44.00,
-1.50,-42.00,
-1.00,-32.00,
-0.00,-32.00,
1.00,-32.00,
1.50,-42.00,
9.00,-44.00,
9.50,-48.00,
12.00,-48.00,
13.50,-54.00,
15.00,-54.00,
20.00,-54.00,
65.00,-60.00,
85.00,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,47
-180.00,-65.00,
-85.00,-65.00,
-75.00,-60.00,
-70.00,-60.00,
-60.00,-53.00,
-30.00,-47.00,
-25.00,-47.00,
-20.00,-39.00,
-15.00,-39.00,
-9.50,-39.00,
-8.50,-34.00,
-4.50,-34.00,
-4.00,-28.00,
-2.50,-28.00,
-2.00,-23.00,
-1.50,-23.00,
-1.30,-17.30,
-1.20,-14.70,
-1.00,-10.20,
-0.80,-6.50,
-0.60,-3.70,
-0.40,-1.60,
-0.20,-0.40,
-0.00,-0.00,
0.20,-0.40,
0.40,-1.60,
0.60,-3.70,
0.80,-6.50,
1.00,-10.20,
1.20,-14.70,
1.30,-17.30,
1.50,-23.00,
2.00,-23.00,
2.50,-28.00,
4.00,-28.00,
4.50,-34.00,
8.50,-34.00,
9.50,-39.00,
15.00,-39.00,
20.00,-39.00,
25.00,-47.00,
30.00,-47.00,
60.00,-53.00,
70.00,-60.00,
75.00,-60.00,
85.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-67.00,
-90.00,-67.00,
-75.00,-60.00,
-63.00,-53.00,
-15.00,-53.00,
-11.50,-48.00,
-9.50,-48.00,
-8.00,-45.00,
-2.50,-45.00,
-1.50,-32.00,
-0.00,-32.00,
1.50,-32.00,
2.50,-45.00,
8.00,-45.00,
9.50,-48.00,
11.50,-48.00,
15.00,-53.00,
63.00,-53.00,
75.00,-60.00,
90.00,-67.00,
180.00,-67.00,
ENDFIL:,EOF
