REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHP4-180A
PATNUM:,3949A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001031
LOWFRQ:,17700
HGHFRQ:,19700
GUNITS:,DBI/DBR
LWGAIN:,44.1
MDGAIN:,44.6
HGGAIN:,45.1
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.20
FRTOBA:,65.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,51
-180.00,-65.10,
-90.00,-65.10,
-75.00,-53.00,
-70.00,-53.00,
-60.00,-46.00,
-50.00,-45.00,
-50.00,-44.00,
-40.00,-42.00,
-30.00,-42.00,
-30.00,-40.00,
-15.00,-40.00,
-10.00,-40.00,
-9.00,-36.00,
-7.00,-33.00,
-5.00,-33.00,
-3.00,-25.00,
-2.50,-25.00,
-2.00,-20.00,
-1.50,-20.00,
-1.20,-16.00,
-1.00,-11.10,
-0.80,-7.10,
-0.60,-4.00,
-0.40,-1.70,
-0.20,-0.40,
-0.00,-0.00,
0.20,-0.40,
0.40,-1.70,
0.60,-4.00,
0.80,-7.10,
1.00,-11.10,
1.20,-16.00,
1.50,-20.00,
2.00,-20.00,
2.50,-25.00,
3.00,-25.00,
5.00,-33.00,
7.00,-33.00,
9.00,-36.00,
10.00,-40.00,
15.00,-40.00,
30.00,-40.00,
30.00,-42.00,
40.00,-42.00,
50.00,-44.00,
50.00,-45.00,
60.00,-46.00,
70.00,-53.00,
75.00,-53.00,
90.00,-65.10,
180.00,-65.10,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,33
-180.00,-66.00,
-90.00,-66.00,
-82.50,-62.00,
-75.00,-62.00,
-55.00,-53.00,
-50.00,-53.00,
-40.00,-48.10,
-17.00,-48.10,
-15.00,-46.10,
-10.00,-46.10,
-6.50,-44.00,
-6.00,-42.00,
-3.50,-42.00,
-2.50,-36.00,
-1.50,-36.00,
-1.00,-32.00,
-0.00,-32.00,
1.00,-32.00,
1.50,-36.00,
2.50,-36.00,
3.50,-42.00,
6.00,-42.00,
6.50,-44.00,
10.00,-46.10,
15.00,-46.10,
17.00,-48.10,
40.00,-48.10,
50.00,-53.00,
55.00,-53.00,
75.00,-62.00,
82.50,-62.00,
90.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,43
-180.00,-66.00,
-90.00,-66.00,
-80.00,-60.00,
-75.00,-53.00,
-65.00,-53.00,
-55.00,-50.00,
-50.00,-47.00,
-30.00,-44.00,
-15.00,-40.00,
-11.00,-40.00,
-9.00,-34.00,
-5.50,-34.00,
-4.00,-31.00,
-3.00,-25.00,
-1.50,-25.00,
-1.20,-16.00,
-1.00,-11.10,
-0.80,-7.10,
-0.60,-4.00,
-0.40,-1.70,
-0.20,-0.40,
-0.00,-0.00,
0.20,-0.40,
0.40,-1.70,
0.60,-4.00,
0.80,-7.10,
1.00,-11.10,
1.20,-16.00,
1.50,-25.00,
3.00,-25.00,
4.00,-31.00,
5.50,-34.00,
9.00,-34.00,
11.00,-40.00,
15.00,-40.00,
30.00,-44.00,
50.00,-47.00,
55.00,-50.00,
65.00,-53.00,
75.00,-53.00,
80.00,-60.00,
90.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,31
-180.00,-68.00,
-125.00,-68.00,
-120.00,-65.50,
-90.00,-65.50,
-70.00,-55.50,
-65.00,-54.00,
-40.00,-54.00,
-35.00,-51.00,
-15.00,-51.00,
-11.00,-51.00,
-6.00,-44.00,
-3.00,-42.00,
-2.50,-39.00,
-1.50,-39.00,
-1.00,-32.00,
-0.00,-32.00,
1.00,-32.00,
1.50,-39.00,
2.50,-39.00,
3.00,-42.00,
6.00,-44.00,
11.00,-51.00,
15.00,-51.00,
35.00,-51.00,
40.00,-54.00,
65.00,-54.00,
70.00,-55.50,
90.00,-65.50,
120.00,-65.50,
125.00,-68.00,
180.00,-68.00,
ENDFIL:,EOF
