REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VP4-180A
PATNUM:,3948
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19940115
LOWFRQ:,17700
HGHFRQ:,19700
GUNITS:,DBI/DBR
LWGAIN:,44.3
MDGAIN:,44.8
HGGAIN:,45.3
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.20
FRTOBA:,53.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,51
-180.0,-53.0,
-120.0,-53.0,
-105.0,-45.0,
-65.0,-45.0,
-60.0,-43.0,
-20.0,-43.0,
-15.0,-43.0,
-12.5,-43.0,
-12.0,-41.0,
-8.5,-41.0,
-8.0,-38.0,
-7.0,-38.0,
-6.0,-33.0,
-4.5,-33.0,
-3.5,-27.0,
-2.5,-27.0,
-2.0,-20.0,
-1.5,-20.0,
-1.5,-19.0,
-1.2,-13.9,
-1.0,-9.7,
-0.8,-6.2,
-0.6,-3.4,
-0.4,-1.5,
-0.2,-0.4,
0.0,0.0,
0.2,-0.4,
0.4,-1.5,
0.6,-3.4,
0.8,-6.2,
1.0,-9.7,
1.2,-13.9,
1.5,-19.0,
1.5,-20.0,
2.0,-20.0,
2.5,-27.0,
3.5,-27.0,
4.5,-33.0,
6.0,-33.0,
7.0,-38.0,
8.0,-38.0,
8.5,-41.0,
12.0,-41.0,
12.5,-43.0,
15.0,-43.0,
20.0,-43.0,
60.0,-43.0,
65.0,-45.0,
105.0,-45.0,
120.0,-53.0,
180.0,-53.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,25
-180.0,-58.0,
-110.0,-58.0,
-105.0,-56.0,
-65.0,-56.0,
-60.0,-52.0,
-15.0,-52.0,
-11.5,-52.0,
-6.0,-44.0,
-4.5,-44.0,
-3.5,-39.0,
-1.5,-39.0,
-1.0,-32.0,
0.0,-32.0,
1.0,-32.0,
1.5,-39.0,
3.5,-39.0,
4.5,-44.0,
6.0,-44.0,
11.5,-52.0,
15.0,-52.0,
60.0,-52.0,
65.0,-56.0,
105.0,-56.0,
110.0,-58.0,
180.0,-58.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.0,-53.0,
-110.0,-53.0,
-100.0,-44.0,
-30.0,-44.0,
-15.0,-39.0,
-10.5,-39.0,
-9.5,-34.0,
-4.5,-34.0,
-3.0,-28.0,
-1.7,-28.0,
-1.5,-21.8,
-1.4,-19.0,
-1.2,-13.9,
-1.0,-9.7,
-0.8,-6.2,
-0.6,-3.4,
-0.4,-1.5,
-0.2,-0.4,
0.0,0.0,
0.2,-0.4,
0.4,-1.5,
0.6,-3.4,
0.8,-6.2,
1.0,-9.7,
1.2,-13.9,
1.4,-19.0,
1.5,-21.8,
1.7,-28.0,
3.0,-28.0,
4.5,-34.0,
9.5,-34.0,
10.5,-39.0,
15.0,-39.0,
30.0,-44.0,
100.0,-44.0,
110.0,-53.0,
180.0,-53.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.0,-58.0,
-115.0,-58.0,
-100.0,-53.0,
-15.0,-53.0,
-8.0,-53.0,
-7.0,-47.0,
-2.5,-47.0,
-1.0,-32.0,
0.0,-32.0,
1.0,-32.0,
2.5,-47.0,
7.0,-47.0,
8.0,-53.0,
15.0,-53.0,
100.0,-53.0,
115.0,-58.0,
180.0,-58.0,
ENDFIL:,EOF
