REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHPX6-180A
PATNUM:,3938
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19940712
LOWFRQ:,17700
HGHFRQ:,19700
GUNITS:,DBI/DBR
LWGAIN:,47.4
MDGAIN:,47.9
HGGAIN:,48.4
AZWIDT:,0.70
ELWIDT:,0.70
ATVSWR:,1.25
FRTOBA:,70.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,57
-180.0,-70.0,
-90.0,-70.0,
-80.0,-61.2,
-70.0,-61.2,
-55.0,-51.8,
-45.0,-50.8,
-40.0,-48.2,
-20.0,-48.2,
-15.0,-48.2,
-13.8,-48.2,
-13.0,-44.4,
-10.0,-38.7,
-7.9,-38.7,
-5.0,-25.8,
-1.7,-25.8,
-1.6,-25.1,
-1.5,-24.3,
-1.3,-23.0,
-1.2,-22.0,
-1.1,-21.7,
-1.0,-21.7,
-0.8,-19.8,
-0.7,-15.8,
-0.6,-9.7,
-0.5,-5.9,
-0.4,-2.5,
-0.2,-1.2,
-0.1,-0.3,
0.0,0.0,
0.1,-0.3,
0.2,-1.2,
0.4,-2.5,
0.5,-5.9,
0.6,-9.7,
0.7,-15.8,
0.8,-19.8,
1.0,-21.7,
1.1,-21.7,
1.2,-22.0,
1.3,-23.0,
1.5,-24.3,
1.6,-25.1,
1.7,-25.8,
5.0,-25.8,
7.9,-38.7,
10.0,-38.7,
13.0,-44.4,
13.8,-48.2,
15.0,-48.2,
20.0,-48.2,
40.0,-48.2,
45.0,-50.8,
55.0,-51.8,
70.0,-61.2,
80.0,-61.2,
90.0,-70.0,
180.0,-70.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,29
-180.0,-75.0,
-74.2,-75.0,
-50.0,-59.3,
-29.8,-59.3,
-15.0,-57.0,
-12.0,-54.4,
-11.0,-53.3,
-10.0,-52.2,
-9.0,-51.0,
-6.0,-43.6,
-5.0,-38.8,
-2.6,-38.8,
-2.0,-37.5,
-1.0,-32.0,
0.0,-32.0,
1.0,-32.0,
2.0,-37.5,
2.6,-38.8,
5.0,-38.8,
6.0,-43.6,
9.0,-51.0,
10.0,-52.2,
11.0,-53.3,
12.0,-54.4,
15.0,-56.2,
29.8,-59.3,
50.0,-59.3,
74.2,-75.0,
180.0,-75.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,61
-180.0,-70.0,
-85.0,-70.0,
-60.0,-60.6,
-50.0,-56.4,
-45.0,-51.0,
-35.0,-49.0,
-23.0,-49.0,
-20.0,-47.1,
-15.0,-47.1,
-13.7,-47.1,
-13.0,-43.2,
-10.9,-43.2,
-10.0,-41.1,
-8.0,-40.1,
-5.0,-31.4,
-3.0,-30.3,
-1.7,-30.3,
-1.6,-29.5,
-1.5,-28.8,
-1.3,-24.7,
-1.2,-21.8,
-1.1,-20.6,
-1.0,-20.6,
-0.8,-18.1,
-0.7,-13.9,
-0.6,-9.0,
-0.5,-5.4,
-0.4,-2.4,
-0.2,-1.1,
-0.1,-0.3,
0.0,0.0,
0.1,-0.3,
0.2,-1.1,
0.4,-2.4,
0.5,-5.4,
0.6,-9.0,
0.7,-13.9,
0.8,-18.1,
1.0,-20.6,
1.1,-20.6,
1.2,-21.8,
1.3,-24.7,
1.5,-28.8,
1.6,-29.5,
1.7,-30.3,
3.0,-30.3,
5.0,-31.4,
8.0,-40.1,
10.0,-41.1,
10.9,-43.2,
13.0,-43.2,
13.7,-47.1,
15.0,-47.1,
20.0,-47.1,
23.0,-49.0,
35.0,-49.0,
45.0,-51.0,
50.0,-56.4,
60.0,-60.6,
85.0,-70.0,
180.0,-70.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,29
-180.0,-74.0,
-85.0,-74.0,
-70.0,-67.1,
-65.0,-60.0,
-35.0,-60.0,
-25.0,-60.0,
-20.0,-58.4,
-15.0,-58.4,
-12.7,-58.4,
-12.0,-56.2,
-10.0,-55.0,
-4.0,-42.0,
-2.0,-41.0,
-1.5,-32.0,
0.0,-32.0,
1.5,-32.0,
2.0,-41.0,
4.0,-42.0,
10.0,-55.0,
12.0,-56.2,
12.7,-58.4,
15.0,-58.4,
20.0,-58.4,
25.0,-60.0,
35.0,-60.0,
65.0,-61.3,
70.0,-67.1,
85.0,-74.0,
180.0,-74.0,
ENDFIL:,EOF
