REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX6-180
PATNUM:,2056
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19940421
LOWFRQ:,17700
HGHFRQ:,19700
GUNITS:,DBI/DBR
LWGAIN:,47.5
MDGAIN:,48.0
HGGAIN:,48.4
AZWIDT:,0.70
ELWIDT:,0.70
ATVSWR:,1.14
FRTOBA:,72.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,54
-180.00,-72.00,
-70.00,-72.00,
-62.00,-58.00,
-55.00,-56.00,
-40.00,-54.00,
-32.50,-48.00,
-30.00,-47.50,
-15.00,-40.00,
-8.00,-40.00,
-6.00,-30.00,
-2.00,-28.00,
-1.50,-20.00,
-0.90,-20.00,
-0.90,-18.00,
-0.80,-16.00,
-0.80,-14.00,
-0.70,-12.00,
-0.60,-10.00,
-0.60,-8.00,
-0.50,-6.00,
-0.40,-4.00,
-0.40,-3.40,
-0.30,-2.80,
-0.30,-1.60,
-0.20,-1.00,
-0.10,-0.40,
-0.10,-0.10,
0.00,-0.10,
0.00,0.00,
0.10,-0.10,
0.10,-0.40,
0.20,-1.00,
0.30,-1.60,
0.30,-2.80,
0.40,-3.40,
0.40,-4.00,
0.50,-6.00,
0.60,-8.00,
0.60,-10.00,
0.70,-12.00,
0.80,-14.00,
0.80,-16.00,
0.90,-18.00,
0.90,-20.00,
1.50,-20.00,
2.00,-28.00,
6.00,-30.00,
8.00,-40.00,
15.00,-42.30,
30.00,-47.50,
32.50,-48.00,
62.00,-58.00,
70.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,16
-180.00,-75.00,
-80.00,-75.00,
-55.00,-64.00,
-20.00,-64.00,
-15.00,-58.00,
-7.00,-48.00,
-3.00,-47.00,
-1.50,-36.00,
0.00,-36.00,
1.50,-36.00,
3.00,-50.00,
15.00,-66.00,
45.00,-67.00,
75.00,-72.00,
80.00,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,60
-180.00,-72.00,
-100.00,-72.00,
-85.00,-70.00,
-65.00,-68.00,
-63.00,-58.00,
-50.00,-56.00,
-45.00,-51.00,
-42.00,-50.00,
-30.00,-47.50,
-15.00,-40.00,
-5.50,-32.00,
-2.00,-28.00,
-1.00,-20.00,
-0.90,-20.00,
-0.90,-18.00,
-0.80,-16.00,
-0.80,-14.00,
-0.70,-12.00,
-0.60,-10.00,
-0.60,-8.00,
-0.50,-6.00,
-0.40,-4.00,
-0.40,-3.40,
-0.30,-2.80,
-0.30,-1.60,
-0.20,-1.00,
-0.10,-0.40,
-0.10,-0.10,
0.00,-0.10,
0.00,0.00,
0.10,-0.10,
0.10,-0.40,
0.20,-1.00,
0.30,-1.60,
0.30,-2.80,
0.40,-3.40,
0.40,-4.00,
0.50,-6.00,
0.60,-8.00,
0.60,-10.00,
0.70,-12.00,
0.80,-14.00,
0.80,-16.00,
0.90,-18.00,
0.90,-20.00,
1.00,-20.00,
2.00,-28.00,
5.50,-32.00,
7.00,-33.00,
10.00,-42.00,
15.00,-42.60,
22.00,-43.20,
30.00,-47.50,
40.00,-50.00,
62.00,-60.00,
65.00,-68.00,
75.00,-68.00,
85.00,-70.00,
100.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,24
-180.00,-75.00,
-100.00,-75.00,
-80.00,-74.00,
-70.00,-72.00,
-62.00,-62.00,
-30.00,-60.00,
-20.00,-58.00,
-17.00,-55.00,
-15.00,-54.00,
-12.00,-49.00,
-7.00,-45.00,
-3.00,-44.00,
-1.50,-36.00,
0.00,-36.00,
1.50,-36.00,
3.00,-50.00,
15.00,-54.00,
20.00,-60.00,
45.00,-62.00,
60.00,-70.00,
70.00,-72.00,
80.00,-74.00,
100.00,-75.00,
180.00,-75.00,
ENDFIL:,EOF
