REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP8-180
PATNUM:,3983A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19900724
LOWFRQ:,17700
HGHFRQ:,19700
GUNITS:,DBI/DBR
LWGAIN:,50.2
MDGAIN:,50.7
HGGAIN:,51.2
AZWIDT:,0.50
ELWIDT:,0.50
ATVSWR:,1.15
FRTOBA:,72.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,73
-180.00,-72.00,
-170.00,-72.00,
-170.00,-73.00,
-78.00,-73.00,
-75.00,-69.50,
-69.80,-69.50,
-65.00,-62.40,
-60.00,-61.70,
-55.00,-57.30,
-49.80,-57.30,
-45.00,-53.40,
-36.70,-53.40,
-35.00,-52.60,
-30.00,-50.70,
-24.70,-50.70,
-20.00,-48.00,
-13.70,-48.00,
-13.00,-46.30,
-11.60,-46.30,
-11.00,-43.80,
-7.60,-43.80,
-7.00,-40.90,
-6.00,-36.50,
-4.80,-36.50,
-4.00,-33.00,
-2.80,-33.00,
-2.00,-25.00,
-0.80,-25.00,
-0.70,-23.60,
-0.60,-19.00,
-0.50,-15.20,
-0.50,-11.40,
-0.40,-5.30,
-0.30,-2.60,
-0.20,-1.10,
-0.10,-0.30,
0.00,0.00,
0.10,-0.30,
0.20,-1.10,
0.30,-2.60,
0.40,-5.30,
0.50,-11.40,
0.50,-15.20,
0.60,-19.00,
0.70,-23.60,
0.80,-25.00,
2.00,-25.00,
2.80,-33.00,
4.00,-33.00,
4.80,-36.50,
6.00,-36.50,
7.00,-40.90,
7.60,-43.80,
11.00,-43.80,
11.60,-46.30,
13.00,-46.30,
13.70,-48.00,
20.00,-48.00,
24.70,-50.70,
30.00,-50.70,
35.00,-52.60,
36.70,-53.40,
45.00,-53.40,
49.80,-57.30,
55.00,-57.30,
60.00,-61.70,
65.00,-62.40,
69.80,-69.50,
75.00,-69.50,
78.00,-73.00,
170.00,-73.00,
170.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,45
-180.00,-74.00,
-78.00,-74.00,
-75.00,-71.60,
-68.60,-71.60,
-65.00,-64.60,
-52.50,-64.60,
-50.00,-62.60,
-42.60,-62.60,
-40.00,-62.30,
-35.00,-60.40,
-15.00,-60.40,
-14.00,-59.50,
-12.20,-59.50,
-12.00,-58.90,
-10.10,-58.90,
-10.00,-58.60,
-7.70,-58.60,
-7.00,-52.20,
-4.70,-52.20,
-4.00,-45.20,
-1.50,-45.20,
-0.70,-30.00,
0.00,-30.00,
0.70,-30.00,
1.50,-45.20,
4.00,-45.20,
4.70,-52.20,
7.00,-52.20,
7.70,-58.60,
10.00,-58.60,
10.10,-58.90,
12.00,-58.90,
12.20,-59.50,
14.00,-59.50,
15.00,-60.40,
35.00,-60.40,
40.00,-62.30,
42.60,-62.60,
50.00,-62.60,
52.50,-64.60,
65.00,-64.60,
68.60,-71.60,
75.00,-71.60,
78.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,83
-180.00,-72.00,
-170.00,-72.00,
-170.00,-74.00,
-90.00,-74.00,
-80.00,-68.40,
-75.00,-65.10,
-69.90,-65.10,
-65.00,-52.80,
-59.90,-52.80,
-55.00,-51.40,
-40.30,-51.40,
-40.00,-51.30,
-35.00,-48.50,
-25.40,-48.50,
-25.00,-48.30,
-20.00,-47.30,
-14.30,-47.30,
-14.00,-46.00,
-12.20,-46.00,
-12.00,-45.80,
-10.60,-45.80,
-10.00,-44.60,
-8.40,-44.60,
-8.00,-41.80,
-6.90,-41.80,
-6.00,-38.40,
-4.70,-38.40,
-4.00,-33.00,
-3.00,-33.00,
-2.00,-25.30,
-1.50,-21.60,
-0.90,-21.60,
-0.80,-18.60,
-0.70,-17.20,
-0.60,-15.80,
-0.50,-14.40,
-0.50,-11.90,
-0.40,-7.80,
-0.30,-3.80,
-0.20,-1.90,
-0.10,-0.40,
0.00,0.00,
0.10,-0.40,
0.20,-1.90,
0.30,-3.80,
0.40,-7.80,
0.50,-11.90,
0.50,-14.40,
0.60,-15.80,
0.70,-17.20,
0.80,-18.60,
0.90,-21.60,
1.50,-21.60,
2.00,-25.30,
3.00,-33.00,
4.00,-33.00,
4.70,-38.40,
6.00,-38.40,
6.90,-41.80,
8.00,-41.80,
8.40,-44.60,
10.00,-44.60,
10.60,-45.80,
12.00,-45.80,
12.20,-46.00,
14.00,-46.00,
14.30,-47.30,
20.00,-47.30,
25.00,-48.30,
25.40,-48.50,
35.00,-48.50,
40.00,-51.30,
40.30,-51.40,
55.00,-51.40,
59.90,-52.80,
65.00,-52.80,
69.90,-65.10,
75.00,-65.10,
80.00,-68.40,
90.00,-74.00,
170.00,-74.00,
170.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,47
-180.00,-74.00,
-76.80,-74.00,
-75.00,-71.90,
-69.10,-71.90,
-65.00,-62.20,
-50.40,-62.20,
-50.00,-61.80,
-30.60,-61.80,
-30.00,-61.00,
-25.00,-59.80,
-13.00,-59.80,
-13.00,-59.70,
-9.90,-59.70,
-9.00,-57.60,
