REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P8-180
PATNUM:,4058
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19950117
LOWFRQ:,17700
HGHFRQ:,19700
GUNITS:,DBI/DBR
LWGAIN:,50.2
MDGAIN:,50.7
HGGAIN:,51.2
AZWIDT:,0.50
ELWIDT:,0.50
ATVSWR:,1.15
FRTOBA:,59.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,37
-180.00,-59.00,
-125.00,-59.00,
-110.00,-48.00,
-24.00,-48.00,
-15.00,-44.00,
-7.50,-44.00,
-3.00,-30.00,
-2.50,-30.00,
-1.50,-22.00,
-0.82,-22.00,
-0.73,-21.04,
-0.64,-18.84,
-0.54,-16.40,
-0.45,-11.69,
-0.36,-7.07,
-0.27,-3.39,
-0.18,-1.30,
-0.09,-0.01,
0.00,0.00,
0.09,-0.01,
0.18,-1.30,
0.27,-3.39,
0.36,-7.07,
0.45,-11.69,
0.54,-16.40,
0.64,-18.84,
0.73,-21.04,
0.82,-22.00,
1.50,-22.00,
2.50,-30.00,
3.00,-30.00,
7.50,-44.00,
15.00,-44.00,
24.00,-48.00,
110.00,-48.00,
125.00,-59.00,
180.00,-59.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-65.00,
-120.00,-65.00,
-115.00,-62.00,
-15.00,-62.00,
-9.00,-61.00,
-6.00,-49.00,
-1.50,-40.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.50,-40.00,
6.00,-49.00,
9.00,-61.00,
15.00,-62.00,
115.00,-62.00,
120.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-59.00,
-120.00,-59.00,
-110.00,-49.00,
-25.00,-49.00,
-20.00,-46.00,
-15.00,-46.00,
-13.00,-46.00,
-11.00,-41.00,
-5.50,-35.00,
-1.50,-25.00,
-0.73,-25.00,
-0.64,-20.94,
-0.54,-14.71,
-0.45,-9.55,
-0.36,-5.48,
-0.27,-2.90,
-0.18,-1.08,
-0.09,-0.01,
0.00,0.00,
0.09,-0.01,
0.18,-1.08,
0.27,-2.90,
0.36,-5.48,
0.45,-9.55,
0.54,-14.71,
0.64,-20.94,
0.73,-25.00,
1.50,-25.00,
5.50,-35.00,
11.00,-41.00,
13.00,-46.00,
15.00,-46.00,
20.00,-46.00,
25.00,-49.00,
110.00,-49.00,
120.00,-59.00,
180.00,-59.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-65.00,
-90.00,-65.00,
-30.00,-60.00,
-20.00,-57.00,
-15.00,-57.00,
-13.50,-57.00,
-11.00,-54.00,
-8.00,-54.00,
-7.00,-50.00,
-1.50,-40.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.50,-40.00,
7.00,-50.00,
8.00,-54.00,
11.00,-54.00,
13.50,-57.00,
15.00,-57.00,
20.00,-57.00,
30.00,-60.00,
90.00,-65.00,
180.00,-65.00,
ENDFIL:,EOF
