REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHPX2.5-180
PATNUM:,3967A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001031
LOWFRQ:,17700
HGHFRQ:,19700
GUNITS:,DBI/DBR
LWGAIN:,40.5
MDGAIN:,41.0
HGGAIN:,41.4
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.25
FRTOBA:,66.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,63
-180.00,-66.00,
-90.00,-66.00,
-75.00,-60.00,
-60.00,-42.00,
-30.00,-42.00,
-30.00,-40.00,
-25.00,-40.00,
-20.00,-40.00,
-17.00,-38.00,
-15.00,-38.00,
-12.00,-38.00,
-10.00,-32.00,
-7.00,-32.00,
-5.50,-25.50,
-3.30,-25.50,
-2.70,-18.00,
-1.50,-18.00,
-1.40,-14.50,
-1.30,-11.90,
-1.20,-9.60,
-1.10,-7.80,
-1.00,-6.00,
-0.90,-4.40,
-0.80,-3.50,
-0.70,-2.50,
-0.60,-1.90,
-0.50,-1.30,
-0.40,-0.70,
-0.30,-0.30,
-0.20,-0.10,
-0.10,-0.10,
-0.00,-0.00,
0.10,-0.10,
0.20,-0.10,
0.30,-0.30,
0.40,-0.70,
0.50,-1.30,
0.60,-1.90,
0.70,-2.50,
0.80,-3.50,
0.90,-4.40,
1.00,-6.00,
1.10,-7.80,
1.20,-9.60,
1.30,-11.90,
1.40,-14.50,
1.50,-18.00,
2.70,-18.00,
3.30,-25.50,
5.50,-25.50,
7.00,-32.00,
10.00,-32.00,
12.00,-38.00,
15.00,-38.00,
17.00,-38.00,
20.00,-40.00,
25.00,-40.00,
30.00,-40.00,
30.00,-42.00,
60.00,-42.00,
75.00,-60.00,
90.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-68.00,
-70.00,-68.00,
-50.00,-55.00,
-32.00,-54.00,
-20.00,-52.00,
-15.00,-46.00,
-11.50,-42.50,
-10.00,-42.50,
-8.00,-39.00,
-4.00,-39.00,
-2.00,-32.00,
-0.00,-32.00,
2.00,-32.00,
4.00,-39.00,
8.00,-39.00,
10.00,-42.50,
11.50,-42.50,
15.00,-46.00,
20.00,-52.00,
32.00,-54.00,
50.00,-55.00,
70.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,61
-180.00,-66.00,
-75.00,-66.00,
-60.00,-52.00,
-40.00,-46.00,
-26.00,-43.00,
-20.00,-38.00,
-15.00,-33.00,
-14.00,-32.00,
-8.00,-32.00,
-6.00,-27.00,
-3.50,-27.00,
-2.50,-22.00,
-2.00,-22.00,
-1.80,-20.00,
-1.60,-15.80,
-1.50,-13.60,
-1.40,-11.40,
-1.30,-9.60,
-1.20,-8.00,
-1.10,-6.40,
-1.00,-4.90,
-0.90,-3.70,
-0.80,-2.80,
-0.70,-2.10,
-0.60,-1.50,
-0.50,-0.90,
-0.40,-0.60,
-0.30,-0.30,
-0.20,-0.10,
-0.10,-0.00,
-0.00,-0.00,
0.10,-0.00,
0.20,-0.10,
0.30,-0.30,
0.40,-0.60,
0.50,-0.90,
0.60,-1.50,
0.70,-2.10,
0.80,-2.80,
0.90,-3.70,
1.00,-4.90,
1.10,-6.40,
1.20,-8.00,
1.30,-9.60,
1.40,-11.40,
1.50,-13.60,
1.60,-15.80,
1.80,-20.00,
2.00,-22.00,
2.50,-22.00,
3.50,-27.00,
6.00,-27.00,
8.00,-32.00,
14.00,-32.00,
15.00,-33.00,
20.00,-38.00,
26.00,-43.00,
40.00,-46.00,
60.00,-52.00,
75.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-68.00,
-75.00,-68.00,
-55.00,-50.00,
-25.00,-50.00,
-18.50,-50.00,
-15.00,-44.00,
-4.00,-44.00,
-2.00,-32.00,
-0.00,-32.00,
2.00,-32.00,
4.00,-44.00,
15.00,-44.00,
18.50,-50.00,
25.00,-50.00,
55.00,-50.00,
75.00,-68.00,
180.00,-68.00,
ENDFIL:,EOF
