REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHP2.5-180
PATNUM:,3966A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001031
LOWFRQ:,17700
HGHFRQ:,19700
GUNITS:,DBI/DBR
LWGAIN:,40.7
MDGAIN:,41.2
HGGAIN:,41.6
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.20
FRTOBA:,66.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,51
-180.00,-66.00,
-90.00,-66.00,
-78.00,-60.00,
-52.00,-42.00,
-30.00,-42.00,
-26.00,-38.00,
-15.00,-38.00,
-13.00,-36.00,
-11.00,-32.00,
-7.00,-32.00,
-5.00,-26.00,
-3.00,-24.00,
-2.50,-16.00,
-1.50,-16.00,
-1.40,-14.60,
-1.30,-11.90,
-1.20,-9.90,
-1.10,-7.90,
-1.00,-5.90,
-0.90,-4.50,
-0.70,-2.70,
-0.60,-1.50,
-0.40,-0.70,
-0.20,-0.20,
-0.10,-0.00,
-0.00,-0.00,
0.10,-0.00,
0.20,-0.20,
0.40,-0.70,
0.60,-1.50,
0.70,-2.70,
0.90,-4.50,
1.00,-5.90,
1.10,-7.90,
1.20,-9.90,
1.30,-11.90,
1.40,-14.60,
1.50,-16.00,
2.50,-16.00,
3.00,-24.00,
5.00,-26.00,
7.00,-32.00,
11.00,-32.00,
13.00,-36.00,
15.00,-38.00,
26.00,-38.00,
30.00,-42.00,
52.00,-42.00,
78.00,-60.00,
90.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-70.00,
-65.10,-70.00,
-56.10,-64.00,
-23.10,-54.00,
-15.00,-53.00,
-10.00,-47.00,
-4.00,-47.00,
-2.00,-32.00,
-0.00,-32.00,
2.00,-32.00,
4.00,-47.00,
10.00,-47.00,
15.00,-53.00,
23.10,-54.00,
56.10,-64.00,
65.10,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,53
-180.00,-68.00,
-72.00,-68.00,
-60.00,-59.00,
-52.00,-50.00,
-45.00,-46.00,
-32.50,-45.00,
-27.50,-42.50,
-22.50,-42.50,
-20.00,-40.00,
-17.50,-40.00,
-15.00,-34.00,
-10.00,-33.00,
-7.50,-32.00,
-5.50,-30.00,
-4.75,-25.00,
-3.00,-25.00,
-2.50,-21.93,
-2.00,-21.86,
-1.86,-19.90,
-1.69,-15.91,
-1.48,-11.71,
-1.26,-7.78,
-1.00,-4.53,
-0.75,-2.37,
-0.49,-0.95,
-0.25,-0.20,
-0.00,-0.00,
0.25,-0.20,
0.49,-0.95,
0.75,-2.37,
1.00,-4.53,
1.26,-7.78,
1.48,-11.71,
1.69,-15.91,
1.86,-19.90,
2.00,-21.86,
2.50,-21.93,
3.00,-25.00,
4.75,-25.00,
5.50,-30.00,
7.50,-32.00,
10.00,-33.00,
15.00,-34.00,
17.50,-40.00,
20.00,-40.00,
22.50,-42.50,
27.50,-42.50,
32.50,-45.00,
45.00,-46.00,
52.00,-50.00,
60.00,-59.00,
72.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-70.00,
-72.00,-70.00,
-52.00,-60.00,
-20.00,-60.00,
-15.00,-48.00,
-13.00,-44.00,
-4.00,-44.00,
-2.00,-32.00,
-0.00,-32.00,
2.00,-32.00,
4.00,-44.00,
13.00,-44.00,
15.00,-48.00,
20.00,-60.00,
52.00,-60.00,
72.00,-70.00,
180.00,-70.00,
ENDFIL:,EOF
