REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P8-186
PATNUM:,3945A
FEDORN:,NA
DESCR1:,
DESCR2:,Consult RPEs 3946 and 3947 for 6.5 GHz performance.
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19920604
LOWFRQ:,1850
HGHFRQ:,1990
GUNITS:,DBI/DBR
LWGAIN:,30.5
MDGAIN:,30.8
HGGAIN:,31.1
AZWIDT:,4.40
ELWIDT:,4.40
ATVSWR:,1.15
FRTOBA:,39.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,51
-180.0,-39.0,
-171.0,-39.0,
-171.0,-41.0,
-136.0,-41.0,
-105.0,-33.0,
-100.0,-33.0,
-90.0,-31.0,
-26.0,-31.0,
-15.0,-22.0,
-14.0,-19.0,
-6.5,-18.0,
-5.7,-17.0,
-5.1,-13.9,
-4.5,-10.8,
-3.9,-8.1,
-3.3,-5.8,
-2.7,-3.9,
-2.4,-3.1,
-2.1,-2.4,
-1.8,-1.7,
-1.5,-1.2,
-1.2,-0.8,
-0.9,-0.4,
-0.6,-0.2,
-0.3,-0.1,
0.0,0.0,
0.3,-0.1,
0.6,-0.2,
0.9,-0.4,
1.2,-0.8,
1.5,-1.2,
1.8,-1.7,
2.1,-2.4,
2.4,-3.1,
2.7,-3.9,
3.3,-5.8,
3.9,-8.1,
4.5,-10.8,
5.1,-13.9,
5.7,-17.0,
6.5,-18.0,
14.0,-19.0,
15.0,-22.0,
26.0,-31.0,
90.0,-31.0,
100.0,-33.0,
105.0,-33.0,
136.0,-41.0,
171.0,-41.0,
171.0,-39.0,
180.0,-39.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.0,-45.0,
-111.0,-45.0,
-101.0,-42.0,
-15.0,-41.0,
-8.3,-38.0,
-7.0,-31.0,
-6.5,-28.0,
0.0,-28.0,
6.5,-28.0,
7.0,-31.0,
8.3,-38.0,
15.0,-41.0,
101.0,-42.0,
111.0,-45.0,
180.0,-45.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,49
-180.0,-39.0,
-171.0,-39.0,
-171.0,-43.0,
-130.0,-43.0,
-100.0,-33.0,
-52.0,-33.0,
-26.0,-31.0,
-15.0,-22.0,
-14.0,-19.0,
-6.5,-18.0,
-5.7,-17.0,
-5.1,-13.9,
-4.5,-10.8,
-3.9,-8.1,
-3.3,-5.8,
-2.7,-3.9,
-2.4,-3.1,
-2.1,-2.4,
-1.8,-1.7,
-1.5,-1.2,
-1.2,-0.8,
-0.9,-0.4,
-0.6,-0.2,
-0.3,-0.1,
0.0,0.0,
0.3,-0.1,
0.6,-0.2,
0.9,-0.4,
1.2,-0.8,
1.5,-1.2,
1.8,-1.7,
2.1,-2.4,
2.4,-3.1,
2.7,-3.9,
3.3,-5.8,
3.9,-8.1,
4.5,-10.8,
5.1,-13.9,
5.7,-17.0,
6.5,-18.0,
14.0,-19.0,
15.0,-22.0,
26.0,-31.0,
52.0,-33.0,
100.0,-33.0,
130.0,-43.0,
171.0,-43.0,
171.0,-39.0,
180.0,-39.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.0,-45.0,
-130.0,-45.0,
-100.0,-37.0,
-66.0,-35.0,
-15.0,-35.0,
-14.5,-31.0,
-7.0,-31.0,
-6.5,-28.0,
0.0,-28.0,
6.5,-28.0,
7.0,-31.0,
14.5,-31.0,
15.0,-35.0,
66.0,-35.0,
100.0,-37.0,
130.0,-45.0,
180.0,-45.0,
ENDFIL:,EOF
