REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHP8-18
PATNUM:,2168
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19870129
LOWFRQ:,1850
HGHFRQ:,1990
GUNITS:,DBI/DBR
LWGAIN:,30.8
MDGAIN:,31.1
HGGAIN:,31.4
AZWIDT:,4.80
ELWIDT:,4.80
ATVSWR:,1.08
FRTOBA:,62.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,47
-180.00,-62.00,
-110.00,-62.00,
-80.00,-54.50,
-70.00,-48.00,
-60.00,-43.20,
-55.00,-42.40,
-50.00,-41.60,
-45.00,-37.00,
-28.00,-36.00,
-20.00,-25.00,
-18.00,-23.00,
-10.90,-22.50,
-10.60,-21.40,
-9.70,-19.70,
-8.80,-18.00,
-8.00,-16.90,
-7.10,-16.50,
-5.50,-16.00,
-4.20,-8.00,
-3.60,-5.00,
-2.80,-2.90,
-1.80,-1.30,
-0.90,-0.30,
0.00,0.00,
0.90,-0.30,
1.80,-1.30,
2.80,-2.90,
3.60,-5.00,
4.20,-8.00,
5.50,-16.00,
7.10,-16.50,
8.00,-16.90,
8.80,-18.00,
9.70,-19.70,
10.60,-21.40,
10.90,-22.50,
18.00,-23.00,
20.00,-25.00,
28.00,-36.00,
45.00,-37.00,
50.00,-41.60,
55.00,-42.40,
60.00,-43.20,
70.00,-48.00,
80.00,-54.50,
110.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,33
-180.00,-62.00,
-80.00,-62.00,
-70.00,-58.00,
-52.00,-56.20,
-45.00,-55.30,
-40.00,-54.30,
-35.00,-52.00,
-30.00,-51.90,
-25.00,-51.80,
-20.00,-48.90,
-11.70,-48.90,
-11.00,-46.20,
-10.00,-44.80,
-8.50,-41.70,
-7.00,-38.50,
-4.50,-33.00,
0.00,-33.00,
4.50,-33.00,
7.00,-38.50,
8.50,-41.70,
10.00,-44.80,
11.00,-46.20,
11.70,-48.90,
20.00,-48.90,
25.00,-51.80,
30.00,-51.90,
35.00,-52.00,
40.00,-54.30,
45.00,-55.30,
52.00,-56.20,
70.00,-58.00,
80.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,53
-180.00,-62.00,
-110.00,-62.00,
-100.00,-58.30,
-90.00,-56.70,
-80.00,-55.10,
-75.00,-52.60,
-70.00,-51.70,
-65.00,-50.80,
-60.00,-49.40,
-55.00,-46.10,
-50.00,-42.80,
-45.00,-39.40,
-35.00,-37.50,
-28.00,-36.50,
-25.00,-33.50,
-17.00,-23.70,
-10.70,-23.30,
-10.00,-21.40,
-9.00,-18.70,
-8.00,-16.50,
-5.50,-15.90,
-4.20,-9.00,
-3.50,-5.00,
-2.60,-3.00,
-1.80,-1.30,
-0.90,-0.30,
0.00,0.00,
0.90,-0.30,
1.80,-1.30,
2.60,-3.00,
3.50,-5.00,
4.20,-9.00,
5.50,-15.90,
8.00,-16.50,
9.00,-18.70,
10.00,-21.40,
10.70,-23.30,
17.00,-23.70,
25.00,-33.50,
28.00,-36.50,
35.00,-37.50,
45.00,-39.40,
50.00,-42.80,
55.00,-46.10,
60.00,-49.40,
65.00,-50.80,
70.00,-51.70,
75.00,-52.60,
80.00,-55.10,
90.00,-56.70,
100.00,-58.30,
110.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,25
-180.00,-62.00,
-85.00,-62.00,
-65.00,-57.70,
-40.00,-53.80,
-35.00,-52.60,
-19.80,-52.60,
-15.00,-51.40,
-10.00,-44.50,
-9.00,-42.30,
-8.00,-40.00,
-7.00,-37.70,
-4.50,-33.00,
0.00,-33.00,
4.50,-33.00,
7.00,-37.70,
8.00,-40.00,
9.00,-42.30,
10.00,-44.50,
15.00,-51.40,
19.80,-52.60,
35.00,-52.60,
40.00,-53.80,
65.00,-57.70,
85.00,-62.00,
180.00,-62.00,
ENDFIL:,EOF
