REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P10-186
PATNUM:,3950A
FEDORN:,NA
DESCR1:,
DESCR2:,Consult RPEs 3951 and 3952 for 6.5 GHz performance.
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19920604
LOWFRQ:,1850
HGHFRQ:,1990
GUNITS:,DBI/DBR
LWGAIN:,32.5
MDGAIN:,32.8
HGGAIN:,33.1
AZWIDT:,3.70
ELWIDT:,3.70
ATVSWR:,1.15
FRTOBA:,42.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,51
-180.0,-42.0,
-170.0,-42.0,
-170.0,-46.0,
-125.0,-46.0,
-90.0,-34.0,
-40.0,-34.0,
-35.0,-31.0,
-20.0,-31.0,
-17.0,-24.0,
-15.0,-24.0,
-13.5,-24.0,
-11.5,-19.0,
-5.0,-19.0,
-4.7,-18.0,
-4.2,-14.7,
-3.6,-10.8,
-3.0,-7.5,
-2.4,-4.8,
-2.1,-3.7,
-1.8,-2.7,
-1.5,-1.9,
-1.2,-1.2,
-0.9,-0.7,
-0.6,-0.3,
-0.3,-0.1,
0.0,0.0,
0.3,-0.1,
0.6,-0.3,
0.9,-0.7,
1.2,-1.2,
1.5,-1.9,
1.8,-2.7,
2.1,-3.7,
2.4,-4.8,
3.0,-7.5,
3.6,-10.8,
4.2,-14.7,
4.7,-18.0,
5.0,-19.0,
11.5,-19.0,
13.5,-24.0,
15.0,-24.0,
17.0,-24.0,
20.0,-31.0,
35.0,-31.0,
40.0,-34.0,
90.0,-34.0,
125.0,-46.0,
170.0,-46.0,
170.0,-42.0,
180.0,-42.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.0,-48.0,
-125.0,-48.0,
-60.0,-44.0,
-15.0,-42.0,
-8.0,-41.0,
-6.5,-36.0,
-4.5,-36.0,
-4.0,-28.0,
0.0,-28.0,
4.0,-28.0,
4.5,-36.0,
6.5,-36.0,
8.0,-41.0,
15.0,-42.0,
60.0,-44.0,
125.0,-48.0,
180.0,-48.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,51
-180.0,-42.0,
-170.0,-42.0,
-170.0,-48.0,
-125.0,-48.0,
-85.0,-36.0,
-45.0,-36.0,
-35.0,-33.0,
-26.0,-33.0,
-18.0,-26.0,
-15.0,-26.0,
-13.5,-24.0,
-11.5,-19.0,
-5.0,-19.0,
-4.7,-18.0,
-4.2,-14.7,
-3.6,-10.8,
-3.0,-7.5,
-2.4,-4.8,
-2.1,-3.7,
-1.8,-2.7,
-1.5,-1.9,
-1.2,-1.2,
-0.9,-0.7,
-0.6,-0.3,
-0.3,-0.1,
0.0,0.0,
0.3,-0.1,
0.6,-0.3,
0.9,-0.7,
1.2,-1.2,
1.5,-1.9,
1.8,-2.7,
2.1,-3.7,
2.4,-4.8,
3.0,-7.5,
3.6,-10.8,
4.2,-14.7,
4.7,-18.0,
5.0,-19.0,
11.5,-19.0,
13.5,-24.0,
15.0,-26.0,
18.0,-26.0,
26.0,-33.0,
35.0,-33.0,
45.0,-36.0,
85.0,-36.0,
125.0,-48.0,
170.0,-48.0,
170.0,-42.0,
180.0,-42.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.0,-48.0,
-125.0,-48.0,
-85.0,-39.0,
-15.0,-38.0,
-14.5,-32.0,
-6.0,-32.0,
-5.5,-28.0,
0.0,-28.0,
5.5,-28.0,
6.0,-32.0,
14.5,-32.0,
15.0,-38.0,
85.0,-39.0,
125.0,-48.0,
180.0,-48.0,
ENDFIL:,EOF
