REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHP10-18
PATNUM:,2169
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19870122
LOWFRQ:,1850
HGHFRQ:,1990
GUNITS:,DBI/DBR
LWGAIN:,32.6
MDGAIN:,33.0
HGGAIN:,33.3
AZWIDT:,4.20
ELWIDT:,4.20
ATVSWR:,1.08
FRTOBA:,62.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.00,-62.00,
-105.00,-62.00,
-80.00,-52.60,
-75.00,-50.00,
-60.00,-45.80,
-50.00,-41.60,
-45.00,-41.00,
-40.00,-38.10,
-28.00,-38.10,
-20.00,-29.60,
-15.00,-25.00,
-13.00,-22.50,
-7.80,-21.50,
-6.40,-20.50,
-5.10,-18.60,
-4.70,-15.80,
-4.00,-10.90,
-3.20,-5.80,
-2.60,-3.40,
-1.70,-1.00,
-1.30,-0.60,
-0.70,-0.10,
0.00,0.00,
0.70,-0.10,
1.30,-0.60,
1.70,-1.00,
2.60,-3.40,
3.20,-5.80,
4.00,-10.90,
4.70,-15.80,
5.10,-18.60,
6.40,-20.50,
7.80,-21.50,
13.00,-22.50,
15.00,-25.00,
20.00,-29.60,
28.00,-38.10,
40.00,-38.10,
45.00,-41.00,
50.00,-41.60,
60.00,-45.80,
75.00,-50.00,
80.00,-52.60,
105.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,41
-180.00,-64.00,
-90.00,-64.00,
-80.00,-63.00,
-69.10,-63.00,
-65.00,-61.20,
-60.00,-60.60,
-46.00,-58.80,
-34.10,-58.80,
-30.00,-56.90,
-25.00,-56.20,
-20.00,-55.50,
-14.00,-51.40,
-11.70,-51.40,
-11.00,-50.30,
-10.00,-49.90,
-9.00,-49.60,
-8.00,-47.50,
-7.00,-42.20,
-6.00,-39.80,
-4.00,-32.00,
0.00,-32.00,
4.00,-32.00,
6.00,-39.80,
7.00,-42.20,
8.00,-47.50,
9.00,-49.60,
10.00,-49.90,
11.00,-50.30,
11.70,-51.40,
14.00,-51.40,
20.00,-55.50,
25.00,-56.20,
30.00,-56.90,
34.10,-58.80,
46.00,-58.80,
60.00,-60.60,
65.00,-61.20,
69.10,-63.00,
80.00,-63.00,
90.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,47
-180.00,-62.00,
-110.00,-62.00,
-100.00,-57.30,
-90.00,-55.10,
-80.00,-52.80,
-60.00,-45.90,
-45.00,-43.70,
-40.00,-38.70,
-28.00,-38.70,
-25.00,-36.30,
-20.00,-30.10,
-15.00,-26.00,
-14.00,-24.30,
-8.00,-21.10,
-7.00,-19.30,
-5.10,-19.30,
-4.80,-18.10,
-4.10,-12.30,
-3.30,-8.40,
-2.60,-4.40,
-1.80,-1.70,
-1.30,-0.60,
-0.70,-0.10,
0.00,0.00,
0.70,-0.10,
1.30,-0.60,
1.80,-1.70,
2.60,-4.40,
3.30,-8.40,
4.10,-12.30,
4.80,-18.10,
5.10,-19.30,
7.00,-19.30,
8.00,-21.10,
14.00,-24.30,
15.00,-26.00,
20.00,-30.10,
25.00,-36.30,
28.00,-38.70,
40.00,-38.70,
45.00,-43.70,
60.00,-45.90,
80.00,-52.80,
90.00,-55.10,
100.00,-57.30,
110.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,39
-180.00,-64.00,
-90.00,-64.00,
-75.00,-59.80,
-70.00,-58.80,
-65.00,-57.90,
-44.10,-57.90,
-40.00,-56.00,
-18.80,-55.20,
-15.00,-52.20,
-14.00,-51.00,
-13.00,-47.80,
-12.00,-46.80,
-11.00,-45.80,
-10.00,-44.80,
-9.00,-43.20,
-8.00,-40.70,
-7.00,-37.30,
-6.00,-35.90,
-4.00,-32.00,
0.00,-32.00,
4.00,-32.00,
6.00,-35.90,
7.00,-37.30,
8.00,-40.70,
9.00,-43.20,
10.00,-44.80,
11.00,-45.80,
12.00,-46.80,
13.00,-47.80,
14.00,-51.00,
15.00,-52.20,
18.80,-55.20,
40.00,-56.00,
44.10,-57.90,
65.00,-57.90,
70.00,-58.80,
75.00,-59.80,
90.00,-64.00,
180.00,-64.00,
ENDFIL:,EOF
