REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHP12F-18
PATNUM:,2170
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19870204
LOWFRQ:,1850
HGHFRQ:,1990
GUNITS:,DBI/DBR
LWGAIN:,34.4
MDGAIN:,34.7
HGGAIN:,35.0
AZWIDT:,3.30
ELWIDT:,3.30
ATVSWR:,1.10
FRTOBA:,66.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,55
-180.00,-66.00,
-110.00,-66.00,
-90.00,-59.50,
-80.00,-54.30,
-75.00,-51.30,
-70.00,-49.30,
-60.00,-47.80,
-55.00,-47.00,
-50.00,-46.00,
-45.00,-45.10,
-40.00,-44.20,
-35.00,-40.70,
-25.00,-38.00,
-18.00,-30.00,
-12.60,-29.40,
-12.00,-26.60,
-6.10,-25.60,
-5.90,-24.70,
-5.30,-21.40,
-4.70,-19.50,
-4.10,-18.00,
-3.40,-13.20,
-2.70,-7.60,
-2.20,-5.00,
-1.50,-2.40,
-0.90,-0.60,
-0.60,-0.30,
0.00,0.00,
0.60,-0.30,
0.90,-0.60,
1.50,-2.40,
2.20,-5.00,
2.70,-7.60,
3.40,-13.20,
4.10,-18.00,
4.70,-19.50,
5.30,-21.40,
5.90,-24.70,
6.10,-25.60,
12.00,-26.60,
12.60,-29.40,
18.00,-30.00,
25.00,-38.00,
35.00,-40.70,
40.00,-44.20,
45.00,-45.10,
50.00,-46.00,
55.00,-47.00,
60.00,-47.80,
70.00,-49.30,
75.00,-51.30,
80.00,-54.30,
90.00,-59.50,
110.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,31
-180.00,-70.00,
-92.00,-70.00,
-90.00,-68.10,
-74.80,-68.10,
-70.00,-63.80,
-32.50,-63.80,
-30.00,-62.60,
-25.00,-60.20,
-20.00,-54.50,
-8.00,-53.70,
-7.00,-51.40,
-6.00,-47.80,
-5.00,-43.80,
-4.00,-40.90,
-2.50,-32.00,
0.00,-32.00,
2.50,-32.00,
4.00,-40.90,
5.00,-43.80,
6.00,-47.80,
7.00,-51.40,
8.00,-53.70,
20.00,-54.50,
25.00,-60.20,
30.00,-62.60,
32.50,-63.80,
70.00,-63.80,
74.80,-68.10,
90.00,-68.10,
92.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,49
-180.00,-66.00,
-100.00,-66.00,
-90.00,-62.50,
-80.00,-58.80,
-75.00,-55.00,
-65.00,-47.50,
-41.30,-46.80,
-40.00,-45.80,
-35.00,-41.50,
-30.00,-40.00,
-25.00,-38.50,
-20.00,-32.50,
-13.00,-31.10,
-12.00,-28.40,
-11.50,-25.20,
-7.30,-24.40,
-5.90,-19.10,
-3.80,-17.70,
-3.60,-15.70,
-2.80,-9.40,
-2.10,-4.40,
-1.50,-2.30,
-0.90,-0.40,
-0.60,-0.20,
0.00,0.00,
0.60,-0.20,
0.90,-0.40,
1.50,-2.30,
2.10,-4.40,
2.80,-9.40,
3.60,-15.70,
3.80,-17.70,
5.90,-19.10,
7.30,-24.40,
11.50,-25.20,
12.00,-28.40,
13.00,-31.10,
20.00,-32.50,
25.00,-38.50,
30.00,-40.00,
35.00,-41.50,
40.00,-45.80,
41.30,-46.80,
65.00,-47.50,
75.00,-55.00,
80.00,-58.80,
90.00,-62.50,
100.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,47
-180.00,-70.00,
-90.00,-70.00,
-80.00,-65.50,
-75.00,-64.50,
-70.00,-63.50,
-65.00,-61.30,
-36.90,-61.30,
-35.00,-60.30,
-30.00,-59.30,
-19.80,-59.30,
-15.00,-54.60,
-14.00,-52.90,
-13.00,-50.30,
-12.00,-47.30,
-11.00,-47.20,
-10.00,-47.10,
-9.00,-46.30,
-8.00,-44.10,
-7.00,-40.90,
-6.00,-36.70,
-5.00,-36.10,
-4.00,-35.60,
-2.50,-32.00,
0.00,-32.00,
2.50,-32.00,
4.00,-35.60,
5.00,-36.10,
6.00,-36.70,
7.00,-40.90,
8.00,-44.10,
9.00,-46.30,
10.00,-47.10,
11.00,-47.20,
12.00,-47.30,
13.00,-50.30,
14.00,-52.90,
15.00,-54.60,
19.80,-59.30,
30.00,-59.30,
35.00,-60.30,
36.90,-61.30,
65.00,-61.30,
70.00,-63.50,
75.00,-64.50,
80.00,-65.50,
90.00,-70.00,
180.00,-70.00,
ENDFIL:,EOF
