REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX8-19
PATNUM:,1430D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19900717
LOWFRQ:,1900
HGHFRQ:,2300
GUNITS:,DBI/DBR
LWGAIN:,31.1
MDGAIN:,32.0
HGGAIN:,32.9
AZWIDT:,4.10
ELWIDT:,0.00
ATVSWR:,1.10
FRTOBA:,48.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.00,-48.00,
-155.00,-48.00,
-150.00,-52.00,
-110.00,-52.00,
-90.00,-43.00,
-45.00,-31.00,
-30.00,-31.00,
-15.00,-23.00,
-12.00,-20.00,
-8.70,-19.00,
-4.00,-19.00,
-3.81,-15.10,
-3.40,-12.11,
-3.15,-9.96,
-2.73,-6.97,
-2.40,-5.14,
-1.99,-2.99,
-1.49,-1.83,
-0.99,-0.83,
0.00,0.00,
0.99,-0.83,
1.49,-1.83,
1.99,-2.99,
2.40,-5.14,
2.73,-6.97,
3.15,-9.96,
3.40,-12.11,
3.81,-15.10,
4.00,-19.00,
8.70,-19.00,
12.00,-20.00,
15.00,-23.00,
30.00,-31.00,
45.00,-31.00,
90.00,-43.00,
110.00,-52.00,
150.00,-52.00,
155.00,-48.00,
180.00,-48.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-52.00,
-155.00,-52.00,
-150.00,-55.00,
-110.00,-55.00,
-70.00,-40.00,
-15.00,-32.00,
-10.00,-30.00,
-8.00,-28.00,
-1.00,-28.00,
0.00,-32.00,
1.00,-28.00,
8.00,-28.00,
10.00,-30.00,
15.00,-32.00,
70.00,-40.00,
110.00,-55.00,
150.00,-55.00,
155.00,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,35
-180.00,-48.00,
-155.00,-48.00,
-148.60,-53.00,
-110.00,-53.00,
-55.00,-30.00,
-25.00,-30.00,
-15.00,-22.00,
-9.50,-18.00,
-4.00,-18.00,
-3.81,-15.10,
-3.40,-12.11,
-3.15,-9.96,
-2.73,-6.97,
-2.40,-5.14,
-1.99,-2.99,
-1.49,-1.83,
-0.99,-0.83,
0.00,0.00,
0.99,-0.83,
1.49,-1.83,
1.99,-2.99,
2.40,-5.14,
2.73,-6.97,
3.15,-9.96,
3.40,-12.11,
3.81,-15.10,
4.00,-18.00,
9.50,-18.00,
15.00,-22.00,
25.00,-30.00,
55.00,-30.00,
110.00,-53.00,
148.60,-53.00,
155.00,-48.00,
180.00,-48.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.00,-52.00,
-155.00,-52.00,
-150.00,-55.00,
-110.00,-55.00,
-70.00,-40.00,
-15.00,-32.00,
-10.00,-30.00,
-8.00,-28.00,
-1.00,-28.00,
0.00,-32.00,
1.00,-28.00,
8.00,-28.00,
10.00,-30.00,
15.00,-32.00,
70.00,-40.00,
110.00,-55.00,
150.00,-55.00,
155.00,-52.00,
180.00,-52.00,
ENDFIL:,EOF
