REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PXL8F-19
PATNUM:,2563
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19880215
LOWFRQ:,1900
HGHFRQ:,2300
GUNITS:,DBI/DBR
LWGAIN:,31.1
MDGAIN:,32.0
HGGAIN:,32.9
AZWIDT:,4.10
ELWIDT:,0.00
ATVSWR:,1.20
FRTOBA:,43.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,33
-180.00,-43.00,
-120.00,-43.00,
-101.00,-35.30,
-90.00,-35.00,
-71.00,-31.00,
-29.00,-30.00,
-15.80,-25.00,
-10.80,-25.00,
-7.30,-21.00,
-4.10,-21.00,
-4.00,-17.00,
-3.00,-7.80,
-2.00,-2.90,
-1.50,-1.60,
-1.00,-0.70,
-0.50,-0.30,
0.00,0.00,
0.50,-0.30,
1.00,-0.70,
1.50,-1.60,
2.00,-2.90,
3.00,-7.80,
4.00,-17.00,
4.10,-21.00,
7.30,-21.00,
10.80,-25.00,
15.80,-25.00,
29.00,-30.00,
71.00,-31.00,
90.00,-35.00,
101.00,-35.30,
120.00,-43.00,
180.00,-43.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-45.00,
-121.00,-45.00,
-65.00,-40.00,
-40.00,-40.00,
-31.00,-34.00,
-15.00,-32.10,
-10.00,-30.10,
-8.00,-28.00,
-1.00,-28.00,
0.00,-31.80,
1.00,-28.00,
8.00,-28.00,
10.00,-30.10,
15.00,-32.10,
31.00,-34.00,
40.00,-40.00,
65.00,-40.00,
121.00,-45.00,
180.00,-45.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-44.00,
-125.00,-44.00,
-100.00,-34.00,
-80.00,-34.00,
-61.00,-32.00,
-36.50,-32.00,
-25.00,-30.00,
-20.00,-25.00,
-20.00,-24.00,
-11.00,-24.00,
-9.10,-19.00,
-4.00,-19.00,
-4.00,-17.00,
-3.00,-7.80,
-2.00,-2.90,
-1.50,-1.60,
-1.00,-0.70,
-0.50,-0.30,
0.00,0.00,
0.50,-0.30,
1.00,-0.70,
1.50,-1.60,
2.00,-2.90,
3.00,-7.80,
4.00,-17.00,
4.00,-19.00,
9.10,-19.00,
11.00,-24.00,
20.00,-24.00,
20.00,-25.00,
25.00,-30.00,
36.50,-32.00,
61.00,-32.00,
80.00,-34.00,
100.00,-34.00,
125.00,-44.00,
180.00,-44.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.00,-45.00,
-121.00,-45.00,
-65.00,-40.00,
-40.00,-40.00,
-31.00,-34.00,
-15.00,-32.10,
-10.00,-30.10,
-8.00,-28.00,
-1.00,-28.00,
0.00,-31.80,
1.00,-28.00,
8.00,-28.00,
10.00,-30.10,
15.00,-32.10,
31.00,-34.00,
40.00,-40.00,
65.00,-40.00,
121.00,-45.00,
180.00,-45.00,
ENDFIL:,EOF
