REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHP10F-19
PATNUM:,1448A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19920130
LOWFRQ:,1900
HGHFRQ:,2300
GUNITS:,DBI/DBR
LWGAIN:,32.9
MDGAIN:,33.7
HGGAIN:,34.5
AZWIDT:,3.60
ELWIDT:,0.00
ATVSWR:,1.20
FRTOBA:,60.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,57
-180.00,-60.00,
-85.50,-60.00,
-72.50,-49.00,
-65.50,-49.00,
-59.50,-43.50,
-45.50,-43.50,
-43.00,-40.00,
-35.00,-36.50,
-23.50,-36.50,
-20.50,-29.00,
-17.00,-29.00,
-15.00,-27.00,
-13.50,-22.00,
-8.50,-22.00,
-7.00,-19.70,
-4.90,-19.70,
-4.70,-17.90,
-4.50,-15.60,
-4.30,-13.70,
-4.00,-11.60,
-3.80,-9.60,
-3.60,-7.90,
-3.20,-6.00,
-2.90,-4.80,
-2.50,-3.60,
-1.70,-1.40,
-0.70,-0.10,
-0.30,-0.10,
0.00,0.00,
0.30,-0.10,
0.70,-0.10,
1.70,-1.40,
2.50,-3.60,
2.90,-4.80,
3.20,-6.00,
3.60,-7.90,
3.80,-9.60,
4.00,-11.60,
4.30,-13.70,
4.50,-15.60,
4.70,-17.90,
4.90,-19.70,
7.00,-19.70,
8.50,-22.00,
13.50,-22.00,
15.00,-27.00,
17.00,-29.00,
20.50,-29.00,
23.50,-36.50,
35.00,-36.50,
43.00,-40.00,
45.50,-43.50,
59.50,-43.50,
65.50,-49.00,
72.50,-49.00,
85.50,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,25
-180.00,-61.00,
-65.00,-61.00,
-63.00,-59.50,
-43.50,-59.50,
-39.00,-56.00,
-22.50,-56.00,
-21.50,-54.50,
-17.00,-54.50,
-15.00,-53.00,
-14.00,-51.00,
-12.50,-51.00,
-4.00,-30.00,
0.00,-30.00,
4.00,-30.00,
12.50,-51.00,
14.00,-51.00,
15.00,-53.00,
17.00,-54.50,
21.50,-54.50,
22.50,-56.00,
39.00,-56.00,
43.50,-59.50,
63.00,-59.50,
65.00,-61.00,
180.00,-61.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,65
-180.00,-60.00,
-94.50,-60.00,
-92.50,-56.50,
-89.00,-56.50,
-83.00,-52.00,
-76.50,-52.00,
-73.50,-49.50,
-61.50,-49.50,
-58.00,-46.00,
-56.00,-46.00,
-53.50,-43.50,
-43.00,-43.50,
-40.00,-38.50,
-25.50,-38.50,
-24.00,-34.00,
-21.50,-34.00,
-19.00,-27.50,
-17.00,-27.50,
-15.00,-26.50,
-13.50,-23.00,
-8.50,-23.00,
-6.50,-20.00,
-5.00,-20.00,
-4.70,-17.40,
-4.10,-13.40,
-2.30,-4.00,
-1.90,-2.80,
-1.50,-1.60,
-1.10,-1.00,
-0.70,-0.30,
-0.40,-0.10,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.40,-0.10,
0.70,-0.30,
1.10,-1.00,
1.50,-1.60,
1.90,-2.80,
2.30,-4.00,
4.10,-13.40,
4.70,-17.40,
5.00,-20.00,
6.50,-20.00,
8.50,-23.00,
13.50,-23.00,
15.00,-26.50,
17.00,-27.50,
19.00,-27.50,
21.50,-34.00,
24.00,-34.00,
25.50,-38.50,
40.00,-38.50,
43.00,-43.50,
53.50,-43.50,
56.00,-46.00,
58.00,-46.00,
61.50,-49.50,
73.50,-49.50,
76.50,-52.00,
83.00,-52.00,
89.00,-56.50,
92.50,-56.50,
94.50,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.00,-61.00,
-76.00,-61.00,
-69.00,-57.50,
-44.00,-57.50,
-39.00,-54.50,
-15.00,-54.50,
-7.50,-30.00,
0.00,-30.00,
7.50,-30.00,
15.00,-54.50,
39.00,-54.50,
44.00,-57.50,
69.00,-57.50,
76.00,-61.00,
180.00,-61.00,
ENDFIL:,EOF
