REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX10-19
PATNUM:,1431F
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19900716
LOWFRQ:,1900
HGHFRQ:,2300
GUNITS:,DBI/DBR
LWGAIN:,33.0
MDGAIN:,33.9
HGGAIN:,34.8
AZWIDT:,3.30
ELWIDT:,0.00
ATVSWR:,1.10
FRTOBA:,53.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-53.00,
-100.00,-53.00,
-100.00,-48.00,
-68.00,-37.50,
-40.00,-32.00,
-25.00,-32.00,
-20.00,-27.00,
-15.00,-27.00,
-10.00,-25.00,
-5.00,-21.00,
-3.50,-21.00,
-3.00,-15.00,
-2.50,-10.00,
-2.00,-5.00,
-1.50,-3.00,
-1.00,-1.10,
-0.50,-0.40,
0.00,0.00,
0.50,-0.40,
1.00,-1.10,
1.50,-3.00,
2.00,-5.00,
2.50,-10.00,
3.00,-15.00,
3.50,-21.00,
5.00,-21.00,
10.00,-25.00,
15.00,-27.00,
20.00,-27.00,
25.00,-32.00,
40.00,-32.00,
68.00,-37.50,
100.00,-48.00,
100.00,-53.00,
180.00,-53.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-56.00,
-155.00,-56.00,
-150.00,-60.00,
-100.00,-60.00,
-80.00,-48.00,
-20.00,-38.50,
-15.00,-34.00,
-11.00,-34.00,
-5.00,-28.00,
-1.00,-28.00,
0.00,-32.00,
1.00,-28.00,
5.00,-28.00,
11.00,-34.00,
15.00,-34.00,
20.00,-38.50,
80.00,-48.00,
100.00,-60.00,
150.00,-60.00,
155.00,-56.00,
180.00,-56.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,33
-180.00,-53.00,
-100.00,-53.00,
-100.00,-50.00,
-66.00,-37.80,
-35.00,-34.00,
-20.00,-27.00,
-15.00,-27.00,
-10.00,-24.00,
-5.00,-20.00,
-3.50,-20.00,
-3.00,-15.00,
-2.50,-10.00,
-2.00,-5.00,
-1.50,-3.00,
-1.00,-1.10,
-0.50,-0.40,
0.00,0.00,
0.50,-0.40,
1.00,-1.10,
1.50,-3.00,
2.00,-5.00,
2.50,-10.00,
3.00,-15.00,
3.50,-20.00,
5.00,-20.00,
10.00,-24.00,
15.00,-27.00,
20.00,-27.00,
35.00,-34.00,
66.00,-37.80,
100.00,-50.00,
100.00,-53.00,
180.00,-53.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-56.00,
-155.00,-56.00,
-150.00,-60.00,
-100.00,-60.00,
-80.00,-48.00,
-20.00,-38.50,
-15.00,-34.00,
-11.00,-34.00,
-5.00,-28.00,
-1.00,-28.00,
0.00,-32.00,
1.00,-28.00,
5.00,-28.00,
11.00,-34.00,
15.00,-34.00,
20.00,-38.50,
80.00,-48.00,
100.00,-60.00,
150.00,-60.00,
155.00,-56.00,
180.00,-56.00,
ENDFIL:,EOF
