REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX10F-19
PATNUM:,2575
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19880215
LOWFRQ:,1900
HGHFRQ:,2300
GUNITS:,DBI/DBR
LWGAIN:,33.0
MDGAIN:,33.9
HGGAIN:,34.8
AZWIDT:,3.30
ELWIDT:,0.00
ATVSWR:,1.20
FRTOBA:,43.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-50.00,
-155.00,-50.00,
-150.00,-51.90,
-110.50,-51.90,
-68.00,-37.20,
-39.00,-32.00,
-25.00,-32.00,
-18.00,-27.00,
-15.00,-27.00,
-10.00,-25.00,
-5.00,-21.00,
-3.50,-21.00,
-3.00,-15.30,
-2.00,-5.00,
-1.50,-2.40,
-1.00,-1.10,
-0.50,-0.50,
0.00,0.00,
0.50,-0.50,
1.00,-1.10,
1.50,-2.40,
2.00,-5.00,
3.00,-15.30,
3.50,-21.00,
5.00,-21.00,
10.00,-25.00,
15.00,-27.00,
18.00,-27.00,
25.00,-32.00,
39.00,-32.00,
68.00,-37.20,
110.50,-51.90,
150.00,-51.90,
155.00,-50.00,
180.00,-50.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-56.00,
-155.00,-56.00,
-150.00,-60.00,
-100.00,-60.00,
-80.00,-48.00,
-15.00,-37.60,
-5.00,-28.00,
-1.00,-28.00,
0.00,-32.00,
1.00,-28.00,
5.00,-28.00,
15.00,-37.60,
80.00,-48.00,
100.00,-60.00,
150.00,-60.00,
155.00,-56.00,
180.00,-56.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,33
-180.00,-52.00,
-155.00,-52.00,
-151.00,-52.90,
-108.00,-52.90,
-67.00,-37.20,
-34.00,-33.60,
-18.00,-27.00,
-15.00,-27.00,
-10.00,-24.00,
-5.00,-20.00,
-3.40,-20.00,
-3.00,-15.30,
-2.00,-5.00,
-1.50,-2.40,
-1.00,-1.10,
-0.50,-0.50,
0.00,0.00,
0.50,-0.50,
1.00,-1.10,
1.50,-2.40,
2.00,-5.00,
3.00,-15.30,
3.40,-20.00,
5.00,-20.00,
10.00,-24.00,
15.00,-27.00,
18.00,-27.00,
34.00,-33.60,
67.00,-37.20,
108.00,-52.90,
151.00,-52.90,
155.00,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-56.00,
-155.00,-56.00,
-150.00,-60.00,
-100.00,-60.00,
-80.00,-48.00,
-15.00,-37.60,
-5.00,-28.00,
-1.00,-28.00,
0.00,-32.00,
1.00,-28.00,
5.00,-28.00,
15.00,-37.60,
80.00,-48.00,
100.00,-60.00,
150.00,-60.00,
155.00,-56.00,
180.00,-56.00,
ENDFIL:,EOF
