REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PXL10-19
PATNUM:,1427D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19900716
LOWFRQ:,1900
HGHFRQ:,2300
GUNITS:,DBI/DBR
LWGAIN:,33.0
MDGAIN:,33.9
HGGAIN:,34.8
AZWIDT:,3.30
ELWIDT:,0.00
ATVSWR:,1.10
FRTOBA:,45.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,37
-180.00,-45.00,
-108.00,-45.00,
-100.00,-41.00,
-70.00,-33.00,
-56.00,-33.00,
-30.00,-32.00,
-15.00,-27.00,
-5.00,-23.00,
-3.70,-23.00,
-3.07,-14.74,
-2.82,-11.92,
-2.57,-9.93,
-2.24,-6.79,
-1.99,-4.97,
-1.82,-3.97,
-1.49,-2.65,
-0.99,-1.16,
-0.41,-0.50,
0.00,0.00,
0.41,-0.50,
0.99,-1.16,
1.49,-2.65,
1.82,-3.97,
1.99,-4.97,
2.24,-6.79,
2.57,-9.93,
2.82,-11.92,
3.07,-14.74,
3.70,-23.00,
5.00,-23.00,
15.00,-27.00,
30.00,-32.00,
56.00,-33.00,
70.00,-33.00,
100.00,-41.00,
108.00,-45.00,
180.00,-45.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.00,-50.00,
-104.00,-50.00,
-91.00,-44.00,
-30.00,-40.00,
-15.00,-38.00,
-6.00,-30.00,
-5.00,-28.00,
0.00,-28.00,
5.00,-28.00,
6.00,-30.00,
15.00,-38.00,
30.00,-40.00,
91.00,-44.00,
104.00,-50.00,
180.00,-50.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,43
-180.00,-46.00,
-120.00,-46.00,
-110.00,-45.00,
-100.00,-39.00,
-90.00,-39.00,
-60.00,-34.00,
-40.00,-34.00,
-30.00,-32.00,
-15.00,-26.00,
-10.60,-26.00,
-10.00,-24.00,
-5.00,-21.00,
-3.50,-21.00,
-3.07,-14.74,
-2.73,-11.92,
-2.57,-9.93,
-2.40,-6.79,
-1.91,-4.80,
-1.49,-2.81,
-0.99,-1.16,
-0.50,-0.33,
0.00,0.00,
0.50,-0.33,
0.99,-1.16,
1.49,-2.81,
1.91,-4.80,
2.40,-6.79,
2.57,-9.93,
2.73,-11.92,
3.07,-14.74,
3.50,-21.00,
5.00,-21.00,
10.00,-24.00,
10.60,-26.00,
15.00,-26.00,
30.00,-32.00,
40.00,-34.00,
60.00,-34.00,
90.00,-39.00,
100.00,-39.00,
110.00,-45.00,
120.00,-46.00,
180.00,-46.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.00,-50.00,
-104.00,-50.00,
-91.00,-44.00,
-30.00,-40.00,
-15.00,-38.00,
-6.00,-30.00,
-5.00,-28.00,
0.00,-28.00,
5.00,-28.00,
6.00,-30.00,
15.00,-38.00,
30.00,-40.00,
91.00,-44.00,
104.00,-50.00,
180.00,-50.00,
ENDFIL:,EOF
