REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PXL10F-19
PATNUM:,2565
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19880215
LOWFRQ:,1900
HGHFRQ:,2300
GUNITS:,DBI/DBR
LWGAIN:,33.0
MDGAIN:,33.9
HGGAIN:,34.8
AZWIDT:,3.30
ELWIDT:,0.00
ATVSWR:,1.20
FRTOBA:,45.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,29
-180.00,-45.00,
-108.00,-45.00,
-100.00,-41.20,
-68.50,-33.00,
-56.00,-33.00,
-30.00,-32.00,
-15.00,-27.10,
-5.00,-23.00,
-3.80,-23.00,
-3.00,-14.50,
-2.00,-5.10,
-1.50,-2.80,
-1.00,-1.20,
-0.50,-0.50,
0.00,0.00,
0.50,-0.50,
1.00,-1.20,
1.50,-2.80,
2.00,-5.10,
3.00,-14.50,
3.80,-23.00,
5.00,-23.00,
15.00,-27.10,
30.00,-32.00,
56.00,-33.00,
68.50,-33.00,
100.00,-41.20,
108.00,-45.00,
180.00,-45.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-50.00,
-103.50,-50.00,
-91.00,-44.00,
-30.00,-40.00,
-15.00,-37.60,
-6.00,-30.10,
-5.00,-28.00,
-1.00,-28.00,
0.00,-32.30,
1.00,-28.00,
5.00,-28.00,
6.00,-30.10,
15.00,-37.60,
30.00,-40.00,
91.00,-44.00,
103.50,-50.00,
180.00,-50.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-46.00,
-120.00,-46.00,
-108.00,-45.00,
-100.00,-39.00,
-90.00,-39.00,
-60.00,-34.10,
-39.50,-34.10,
-30.00,-32.00,
-15.00,-26.00,
-10.60,-26.00,
-10.00,-24.00,
-5.00,-21.00,
-3.60,-21.00,
-3.00,-14.50,
-2.00,-5.10,
-1.50,-2.80,
-1.00,-1.20,
-0.50,-0.50,
0.00,0.00,
0.50,-0.50,
1.00,-1.20,
1.50,-2.80,
2.00,-5.10,
3.00,-14.50,
3.60,-21.00,
5.00,-21.00,
10.00,-24.00,
10.60,-26.00,
15.00,-26.00,
30.00,-32.00,
39.50,-34.10,
60.00,-34.10,
90.00,-39.00,
100.00,-39.00,
108.00,-45.00,
120.00,-46.00,
180.00,-46.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-50.00,
-103.50,-50.00,
-91.00,-44.00,
-30.00,-40.00,
-15.00,-37.60,
-6.00,-30.10,
-5.00,-28.00,
-1.00,-28.00,
0.00,-32.30,
1.00,-28.00,
5.00,-28.00,
6.00,-30.10,
15.00,-37.60,
30.00,-40.00,
91.00,-44.00,
103.50,-50.00,
180.00,-50.00,
ENDFIL:,EOF
