REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL12F-19
PATNUM:,1404F
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19900710
LOWFRQ:,1900
HGHFRQ:,2300
GUNITS:,DBI/DBR
LWGAIN:,34.5
MDGAIN:,35.4
HGGAIN:,36.3
AZWIDT:,2.8
ELWIDT:,2.8
ATVSWR:,1.1
FRTOBA:,46
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.00,-46.00,
-175.00,-46.00,
-175.00,-49.00,
-134.00,-49.00,
-134.00,-48.00,
-120.00,-48.00,
-97.00,-35.50,
-65.00,-35.50,
-45.00,-37.90,
-38.00,-38.00,
-19.00,-33.50,
-15.00,-30.00,
-13.00,-26.00,
-10.00,-23.60,
-4.50,-22.50,
-3.50,-15.00,
-3.00,-12.00,
-2.00,-6.00,
-1.70,-4.00,
-1.50,-3.00,
-1.00,-1.00,
-0.50,-0.20,
0.00,0.00,
0.50,-0.20,
1.00,-0.20,
1.50,-3.00,
1.70,-4.00,
2.00,-6.00,
3.00,-12.00,
3.50,-15.00,
4.50,-22.50,
10.00,-23.60,
13.00,-26.00,
15.00,-30.00,
19.00,-33.50,
38.00,-38.00,
45.00,-37.90,
65.00,-35.50,
97.00,-35.50,
120.00,-48.00,
134.00,-48.00,
134.00,-49.00,
175.00,-49.00,
175.00,-46.00,
180.00,-46.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,9
-180.00,-49.00,
-8.50,-49.00,
-3.50,-30.00,
0.00,-30.00,
0.00,-30.00,
0.00,-30.00,
3.50,-30.00,
8.50,-49.00,
180.00,49.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,45
-180.00,-46.00,
-175.00,-46.00,
-175.00,-49.00,
-134.00,-49.00,
-134.00,-48.00,
-120.00,-48.00,
-97.00,-35.50,
-65.00,-35.50,
-45.00,-37.90,
-38.00,-38.00,
-19.00,-33.50,
-15.00,-30.00,
-13.00,-26.00,
-10.00,-23.60,
-4.50,-22.50,
-3.50,-15.00,
-3.00,-12.00,
-2.00,-6.00,
-1.70,-4.00,
-1.50,-3.00,
-1.00,-1.00,
-0.50,-0.20,
0.00,0.00,
0.50,-0.20,
1.00,-0.20,
1.50,-3.00,
1.70,-4.00,
2.00,-6.00,
3.00,-12.00,
3.50,-15.00,
4.50,-22.50,
10.00,-23.60,
13.00,-26.00,
15.00,-30.00,
19.00,-33.50,
38.00,-38.00,
45.00,-37.90,
65.00,-35.50,
97.00,-35.50,
120.00,-48.00,
134.00,-48.00,
134.00,-49.00,
175.00,-49.00,
175.00,-46.00,
180.00,-46.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,9
-180.00,-49.00,
-8.50,-49.00,
-3.50,-30.00,
0.00,-30.00,
0.00,-30.00,
0.00,-30.00,
3.50,-30.00,
8.50,-49.00,
180.00,-49.00,
ENDFIL:,EOF
