REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP15F-19
PATNUM:,1409E
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19900710
LOWFRQ:,1900
HGHFRQ:,2300
GUNITS:,DBI/DBR
LWGAIN:,36.5
MDGAIN:,37.4
HGGAIN:,38.3
AZWIDT:,2.20
ELWIDT:,2.20
ATVSWR:,1.10
FRTOBA:,59.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-59.00,
-147.20,-59.00,
-99.50,-59.00,
-74.64,-37.00,
-65.20,-37.00,
-46.81,-39.82,
-35.87,-39.82,
-23.45,-36.84,
-15.00,-30.37,
-10.00,-24.39,
-4.00,-23.06,
-3.08,-14.93,
-2.42,-9.79,
-2.08,-7.96,
-1.58,-4.81,
-1.00,-1.83,
-0.42,-0.33,
0.00,0.00,
0.42,-0.33,
1.00,-1.83,
1.58,-4.81,
2.08,-7.96,
2.42,-9.79,
3.08,-14.93,
4.00,-23.06,
10.00,-24.39,
15.00,-30.37,
23.45,-36.84,
35.87,-39.82,
46.81,-39.82,
65.20,-37.00,
74.64,-37.00,
99.50,-59.00,
147.20,-59.00,
180.00,-59.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-59.00,
-151.17,-59.00,
-99.00,-59.00,
-75.14,-51.11,
-15.00,-51.11,
-7.50,-51.11,
-4.92,-40.00,
-2.58,-30.00,
-2.00,-30.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.00,-30.00,
2.58,-30.00,
4.92,-40.00,
7.50,-51.11,
15.00,-51.11,
75.14,-51.11,
99.00,-59.00,
151.17,-59.00,
180.00,-59.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,35
-180.00,-59.00,
-147.20,-59.00,
-99.50,-59.00,
-74.64,-37.00,
-65.20,-37.00,
-46.81,-39.82,
-35.87,-39.82,
-23.45,-36.84,
-15.00,-30.37,
-10.00,-24.39,
-4.00,-23.06,
-3.08,-14.93,
-2.42,-9.79,
-2.08,-7.96,
-1.58,-4.81,
-1.00,-1.83,
-0.42,-0.33,
0.00,0.00,
0.42,-0.33,
1.00,-1.83,
1.58,-4.81,
2.08,-7.96,
2.42,-9.79,
3.08,-14.93,
4.00,-23.06,
10.00,-24.39,
15.00,-30.37,
23.45,-36.84,
35.87,-39.82,
46.81,-39.82,
65.20,-37.00,
74.64,-37.00,
99.50,-59.00,
147.20,-59.00,
180.00,-59.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-59.00,
-151.17,-59.00,
-99.00,-59.00,
-75.14,-51.11,
-15.00,-51.11,
-7.50,-51.11,
-4.92,-40.00,
-2.58,-30.00,
-2.00,-30.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.00,-30.00,
2.58,-30.00,
4.92,-40.00,
7.50,-51.11,
15.00,-51.11,
75.14,-51.11,
99.00,-59.00,
151.17,-59.00,
180.00,-59.00,
ENDFIL:,EOF
