REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX8-21
PATNUM:,2148
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19870922
LOWFRQ:,2100
HGHFRQ:,2200
GUNITS:,DBI/DBR
LWGAIN:,31.9
MDGAIN:,32.1
HGGAIN:,32.3
AZWIDT:,4.20
ELWIDT:,0.00
ATVSWR:,1.10
FRTOBA:,58.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,47
-180.00,-58.00,
-100.00,-58.00,
-93.00,-55.00,
-87.00,-55.00,
-80.00,-50.00,
-68.00,-50.00,
-56.00,-37.00,
-31.00,-37.00,
-15.00,-23.00,
-10.00,-23.00,
-9.00,-18.60,
-7.00,-15.10,
-4.30,-15.10,
-4.00,-12.60,
-3.60,-9.80,
-3.20,-7.20,
-2.60,-4.60,
-2.10,-3.00,
-1.60,-1.80,
-1.10,-0.80,
-0.80,-0.40,
-0.50,-0.20,
0.00,0.00,
0.50,-0.20,
0.80,-0.40,
1.10,-0.80,
1.60,-1.80,
2.10,-3.00,
2.60,-4.60,
3.20,-7.20,
3.60,-9.80,
4.00,-12.60,
4.20,-14.30,
8.00,-14.30,
10.70,-27.00,
11.50,-27.00,
12.00,-30.00,
15.00,-30.00,
22.00,-31.10,
27.00,-39.00,
33.00,-39.00,
35.00,-41.00,
55.00,-41.00,
63.00,-49.00,
70.00,-49.00,
90.00,-58.00,
180.00,-58.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-60.00,
-80.00,-60.00,
-70.00,-55.20,
-50.00,-48.70,
-42.00,-42.40,
-12.70,-42.40,
-10.00,-37.30,
-4.50,-37.30,
-2.50,-30.00,
0.00,-30.00,
2.50,-30.00,
3.50,-38.00,
10.00,-38.00,
10.50,-39.30,
17.00,-39.30,
22.00,-43.40,
55.00,-43.40,
60.00,-54.00,
75.00,-54.00,
85.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,44
-180.00,-58.00,
-100.00,-58.00,
-97.00,-55.00,
-80.00,-49.30,
-62.00,-38.70,
-43.40,-38.70,
-30.00,-29.00,
-26.00,-25.80,
-15.00,-24.80,
-9.70,-24.80,
-9.00,-21.70,
-8.00,-16.60,
-4.50,-16.60,
-4.00,-12.60,
-3.60,-9.80,
-3.20,-7.20,
-2.60,-4.60,
-2.10,-3.00,
-1.60,-1.80,
-1.10,-0.80,
-0.80,-0.40,
-0.50,-0.20,
0.00,0.00,
0.50,-0.20,
0.80,-0.40,
1.10,-0.80,
1.60,-1.80,
2.10,-3.00,
2.60,-4.60,
3.20,-7.20,
3.60,-9.80,
4.00,-12.60,
4.20,-14.50,
6.80,-14.50,
8.80,-23.50,
11.00,-27.50,
11.50,-29.60,
24.00,-29.60,
29.00,-43.00,
55.00,-43.00,
70.00,-47.40,
75.00,-51.90,
90.00,-58.00,
180.00,-58.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-60.00,
-90.00,-60.00,
-85.00,-58.00,
-77.00,-58.00,
-65.00,-51.50,
-55.00,-48.70,
-50.00,-42.50,
-8.90,-42.50,
-7.00,-35.70,
-2.50,-35.70,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
2.50,-34.40,
9.00,-34.40,
11.00,-40.00,
16.50,-40.00,
20.00,-48.00,
50.00,-48.00,
55.00,-49.40,
70.00,-49.40,
87.00,-60.00,
180.00,-60.00,
ENDFIL:,EOF
