REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX12-21
PATNUM:,2147A
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19870921
LOWFRQ:,2100
HGHFRQ:,2200
GUNITS:,DBI/DBR
LWGAIN:,35.4
MDGAIN:,35.6
HGGAIN:,35.8
AZWIDT:,2.80
ELWIDT:,0.00
ATVSWR:,1.10
FRTOBA:,67.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,58
-180.00,-67.00,
-90.00,-67.00,
-87.00,-65.00,
-82.00,-56.20,
-67.90,-56.20,
-43.00,-47.30,
-33.00,-47.30,
-28.00,-43.00,
-22.00,-43.00,
-20.00,-40.80,
-15.00,-38.20,
-12.00,-35.30,
-10.00,-28.90,
-6.80,-28.90,
-5.00,-17.20,
-3.00,-17.20,
-2.80,-14.60,
-2.50,-10.60,
-2.40,-9.40,
-2.20,-6.80,
-1.90,-5.20,
-1.70,-4.00,
-1.50,-3.00,
-1.30,-2.00,
-0.90,-0.80,
-0.70,-0.50,
-0.50,-0.20,
-0.30,-0.10,
0.00,0.00,
0.30,-0.10,
0.50,-0.20,
0.70,-0.50,
0.90,-0.80,
1.30,-2.00,
1.50,-3.00,
1.70,-4.00,
1.90,-5.20,
2.20,-6.80,
2.40,-9.40,
2.50,-10.60,
2.80,-14.60,
3.00,-17.20,
5.30,-17.20,
7.40,-26.00,
10.00,-26.00,
12.20,-31.00,
13.50,-31.00,
15.00,-33.00,
28.00,-41.50,
34.00,-41.50,
39.00,-45.50,
61.00,-45.50,
65.00,-52.30,
70.00,-56.00,
85.00,-65.00,
95.00,-65.00,
100.00,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,20
-180.00,-69.00,
-80.00,-69.00,
-60.00,-61.80,
-49.30,-61.80,
-35.00,-55.20,
-19.20,-55.20,
-15.00,-50.00,
-12.00,-44.50,
-4.50,-44.50,
-2.00,-32.00,
0.00,-32.00,
2.00,-32.00,
3.50,-41.00,
12.80,-41.00,
15.00,-49.50,
35.00,-54.90,
41.20,-59.30,
55.00,-59.30,
80.00,-69.00,
180.00,-69.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,53
-180.00,-67.00,
-86.00,-67.00,
-80.00,-59.10,
-55.00,-52.50,
-50.00,-46.30,
-40.00,-46.30,
-25.00,-42.30,
-20.00,-35.30,
-15.00,-35.30,
-10.00,-35.30,
-9.50,-33.00,
-8.00,-31.90,
-6.50,-31.90,
-5.80,-25.50,
-4.70,-19.00,
-3.10,-19.00,
-2.80,-14.60,
-2.50,-10.60,
-2.40,-9.40,
-2.20,-6.80,
-1.70,-4.00,
-1.50,-3.00,
-1.30,-2.00,
-0.90,-0.80,
-0.70,-0.50,
-0.50,-0.20,
-0.30,-0.10,
0.00,0.00,
0.30,-0.10,
0.50,-0.20,
0.70,-0.50,
0.90,-0.80,
1.30,-2.00,
1.50,-3.00,
1.70,-4.00,
2.20,-6.80,
2.40,-9.40,
2.50,-10.60,
2.80,-14.60,
3.10,-19.00,
5.20,-19.00,
6.80,-26.90,
10.00,-26.90,
12.00,-32.40,
15.00,-32.40,
18.00,-32.40,
25.00,-38.50,
45.00,-42.80,
50.00,-47.50,
60.00,-47.50,
70.00,-56.40,
96.00,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.00,-69.00,
-75.00,-69.00,
-62.50,-58.60,
-28.00,-58.60,
-15.00,-56.10,
-11.20,-45.80,
-8.00,-45.80,
-5.00,-42.00,
-3.00,-32.00,
0.00,-32.00,
3.00,-32.00,
4.50,-43.00,
5.50,-44.70,
20.00,-44.70,
27.50,-54.00,
50.00,-54.00,
80.00,-68.00,
85.00,-69.00,
180.00,-69.00,
ENDFIL:,EOF
