REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHPX1-220
PATNUM:,3943A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001107
LOWFRQ:, 21200 
HGHFRQ:, 23600 
GUNITS:,DBI/DBR
LWGAIN:,33.7
MDGAIN:,34.2
HGGAIN:,34.2
AZWIDT:,34.6
ELWIDT:,34.6
ATVSWR:,1.25
FRTOBA:,60
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:, 71 
-180.00,-62.00,
-92.00,-62.00,
-75.00,-50.00,
-67.50,-45.00,
-60.00,-44.00,
-50.00,-36.00,
-25.00,-34.00,
-15.00,-32.00,
-11.00,-28.00,
-9.00,-24.00,
-6.50,-24.00,
-5.00,-18.00,
-4.30,-14.00,
-3.00,-14.00,
-2.90,-13.00,
-2.80,-12.00,
-2.70,-11.00,
-2.60,-10.00,
-2.40,-9.00,
-2.30,-8.00,
-2.10,-7.00,
-2.00,-6.00,
-1.80,-5.00,
-1.80,-4.80,
-1.70,-4.20,
-1.50,-3.60,
-1.40,-3.00,
-1.30,-2.40,
-1.10,-1.80,
-0.90,-1.20,
-0.60,-0.60,
-0.50,-0.45,
-0.40,-0.30,
-0.30,-0.20,
-0.20,-0.10,
0.00,0.00,
0.20,-0.10,
0.30,-0.20,
0.40,-0.30,
0.50,-0.45,
0.60,-0.60,
0.90,-1.20,
1.10,-1.80,
1.30,-2.40,
1.40,-3.00,
1.50,-3.60,
1.70,-4.20,
1.80,-4.80,
1.80,-5.00,
2.00,-6.00,
2.10,-7.00,
2.30,-8.00,
2.40,-9.00,
2.60,-10.00,
2.70,-11.00,
2.80,-12.00,
2.90,-13.00,
3.00,-14.00,
4.30,-14.00,
5.00,-18.00,
6.50,-24.00,
9.00,-24.00,
11.00,-28.00,
15.00,-32.00,
25.00,-34.00,
50.00,-36.00,
60.00,-44.00,
67.50,-45.00,
75.00,-50.00,
92.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:, 23 
-180.00,-65.00,
-70.00,-65.00,
-60.00,-54.00,
-50.00,-52.00,
-30.00,-50.00,
-25.00,-50.00,
-17.50,-42.50,
-15.00,-42.50,
-10.00,-39.50,
-5.00,-39.50,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
5.00,-39.50,
10.00,-39.50,
15.00,-42.50,
17.50,-42.50,
25.00,-50.00,
30.00,-50.00,
50.00,-52.00,
60.00,-54.00,
70.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:, 77 
-180.00,-60.00,
-80.00,-60.00,
-70.00,-48.00,
-52.00,-46.00,
-32.00,-38.00,
-15.00,-30.00,
-10.00,-26.00,
-5.00,-19.00,
-3.50,-19.00,
-3.40,-18.00,
-3.30,-17.00,
-3.20,-16.00,
-3.10,-15.00,
-3.00,-14.00,
-2.90,-13.00,
-2.80,-12.00,
-2.70,-11.00,
-2.60,-10.00,
-2.40,-9.00,
-2.30,-8.00,
-2.10,-7.00,
-2.00,-6.00,
-1.80,-5.00,
-1.80,-4.80,
-1.70,-4.20,
-1.50,-3.60,
-1.40,-3.00,
-1.30,-2.40,
-1.10,-1.80,
-0.90,-1.20,
-0.60,-0.60,
-0.50,-0.30,
-0.40,-0.30,
-0.40,-0.30,
-0.40,-0.20,
-0.30,-0.20,
-0.30,-0.10,
-0.20,-0.10,
0.00,0.00,
0.20,-0.10,
0.30,-0.10,
0.30,-0.20,
0.40,-0.20,
0.40,-0.30,
0.40,-0.30,
0.50,-0.30,
0.60,-0.60,
0.90,-1.20,
1.10,-1.80,
1.30,-2.40,
1.40,-3.00,
1.50,-3.60,
1.70,-4.20,
1.80,-4.80,
1.80,-5.00,
2.00,-6.00,
2.10,-7.00,
2.30,-8.00,
2.40,-9.00,
2.60,-10.00,
2.70,-11.00,
2.80,-12.00,
2.90,-13.00,
3.00,-14.00,
3.10,-15.00,
3.20,-16.00,
3.30,-17.00,
3.40,-18.00,
3.50,-19.00,
5.00,-19.00,
10.00,-26.00,
15.00,-30.00,
32.00,-38.00,
52.00,-46.00,
70.00,-48.00,
80.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:, 15 
-180.00,-66.00,
-80.00,-66.00,
-64.00,-56.00,
-40.00,-50.00,
-15.00,-45.00,
-5.00,-40.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
5.00,-40.00,
15.00,-45.00,
40.00,-50.00,
64.00,-56.00,
80.00,-66.00,
180.00,-66.00,
ENDFIL:,EOF
