REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VFP1-220
PATNUM:,3556
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000522
LOWFRQ:,21200
HGHFRQ:,23600
GUNITS:,DBI/DBR
LWGAIN:,31.0
MDGAIN:,31.3
HGGAIN:,31.6
AZWIDT:,2.80
ELWIDT:,2.80
ATVSWR:,1.50
FRTOBA:,58.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,51
-180.00,-58.00,
-100.00,-58.00,
-60.00,-43.00,
-40.00,-43.00,
-20.00,-33.00,
-15.00,-33.00,
-13.50,-29.00,
-10.00,-29.00,
-8.00,-23.00,
-4.00,-23.00,
-3.90,-22.00,
-3.70,-19.90,
-3.60,-18.00,
-3.40,-15.90,
-3.25,-14.00,
-3.00,-12.00,
-2.80,-10.00,
-2.55,-8.00,
-2.35,-6.70,
-2.10,-5.20,
-1.85,-4.00,
-1.55,-2.90,
-1.25,-1.70,
-0.95,-0.80,
-0.50,-0.20,
0.00,0.00,
0.50,-0.20,
0.95,-0.80,
1.25,-1.70,
1.55,-2.90,
1.85,-4.00,
2.10,-5.20,
2.35,-6.70,
2.55,-8.00,
2.80,-10.00,
3.00,-12.00,
3.25,-14.00,
3.40,-15.90,
3.60,-18.00,
3.70,-19.90,
3.90,-22.00,
4.00,-23.00,
8.00,-23.00,
10.00,-29.00,
13.50,-29.00,
15.00,-33.00,
20.00,-33.00,
40.00,-43.00,
60.00,-43.00,
100.00,-58.00,
180.00,-58.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,25
-180.00,-62.00,
-73.00,-62.00,
-65.00,-56.00,
-53.00,-56.00,
-50.00,-52.00,
-22.00,-52.00,
-20.00,-50.00,
-15.00,-50.00,
-11.50,-50.00,
-10.00,-42.00,
-5.00,-42.00,
-2.50,-35.00,
0.00,-35.00,
2.50,-35.00,
5.00,-42.00,
10.00,-42.00,
11.50,-50.00,
15.00,-50.00,
20.00,-50.00,
22.00,-52.00,
50.00,-52.00,
53.00,-56.00,
65.00,-56.00,
73.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,47
-180.00,-58.00,
-90.00,-58.00,
-45.00,-41.00,
-30.00,-36.00,
-20.00,-36.00,
-15.00,-27.00,
-9.00,-27.00,
-7.45,-22.00,
-4.00,-22.00,
-3.80,-20.00,
-3.65,-18.00,
-3.50,-15.90,
-3.30,-14.00,
-3.15,-11.90,
-2.90,-9.90,
-2.65,-8.10,
-2.45,-6.90,
-2.25,-5.50,
-1.95,-4.20,
-1.65,-2.90,
-1.45,-2.20,
-1.05,-1.10,
-0.65,-0.30,
0.00,0.00,
0.65,-0.30,
1.05,-1.10,
1.45,-2.20,
1.65,-2.90,
1.95,-4.20,
2.25,-5.50,
2.45,-6.90,
2.65,-8.10,
2.90,-9.90,
3.15,-11.90,
3.30,-14.00,
3.50,-15.90,
3.65,-18.00,
3.80,-20.00,
4.00,-22.00,
7.45,-22.00,
9.00,-27.00,
15.00,-27.00,
20.00,-36.00,
30.00,-36.00,
45.00,-41.00,
90.00,-58.00,
180.00,-58.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-62.00,
-100.00,-62.00,
-60.00,-49.00,
-15.00,-47.00,
-13.00,-46.00,
-9.00,-40.50,
-5.00,-40.50,
-2.50,-35.00,
0.00,-35.00,
2.50,-35.00,
5.00,-40.50,
9.00,-40.50,
13.00,-46.00,
15.00,-47.00,
60.00,-49.00,
100.00,-62.00,
180.00,-62.00,
ENDFIL:,EOF
