REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHP2-220A
PATNUM:,3955A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001031
LOWFRQ:,21200
HGHFRQ:,23600
GUNITS:,DBI/DBR
LWGAIN:,39.6
MDGAIN:,40.1
HGGAIN:,40.5
AZWIDT:,1.60
ELWIDT:,1.60
ATVSWR:,1.20
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,49
-180.00,-68.00,
-95.00,-68.00,
-45.00,-42.00,
-30.00,-42.00,
-25.00,-40.00,
-15.00,-40.00,
-11.00,-32.00,
-9.00,-32.00,
-6.00,-25.00,
-5.00,-25.00,
-4.00,-19.00,
-2.00,-15.00,
-1.80,-15.00,
-1.60,-12.00,
-1.50,-10.20,
-1.30,-8.00,
-1.10,-6.00,
-1.00,-5.10,
-0.90,-4.20,
-0.80,-3.00,
-0.60,-1.80,
-0.50,-1.20,
-0.40,-0.90,
-0.30,-0.40,
-0.00,-0.00,
0.30,-0.40,
0.40,-0.90,
0.50,-1.20,
0.60,-1.80,
0.80,-3.00,
0.90,-4.20,
1.00,-5.10,
1.10,-6.00,
1.30,-8.00,
1.50,-10.20,
1.60,-12.00,
1.80,-15.00,
2.00,-15.00,
4.00,-19.00,
5.00,-25.00,
6.00,-25.00,
9.00,-32.00,
11.00,-32.00,
15.00,-40.00,
25.00,-40.00,
30.00,-42.00,
45.00,-42.00,
95.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-72.00,
-80.00,-72.00,
-60.00,-57.00,
-35.00,-48.50,
-15.00,-48.50,
-10.00,-45.50,
-5.00,-45.50,
-3.00,-32.00,
-0.00,-32.00,
3.00,-32.00,
5.00,-45.50,
10.00,-45.50,
15.00,-48.50,
35.00,-48.50,
60.00,-57.00,
80.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,35
-180.00,-68.00,
-75.00,-68.00,
-60.00,-52.00,
-30.00,-42.00,
-15.00,-33.00,
-10.00,-30.00,
-5.00,-25.00,
-3.10,-18.00,
-2.10,-18.00,
-1.70,-12.00,
-1.30,-8.00,
-1.10,-6.00,
-1.00,-5.10,
-0.90,-4.20,
-0.60,-1.80,
-0.50,-1.20,
-0.30,-0.30,
-0.00,-0.00,
0.30,-0.30,
0.50,-1.20,
0.60,-1.80,
0.90,-4.20,
1.00,-5.10,
1.10,-6.00,
1.30,-8.00,
1.70,-12.00,
2.10,-18.00,
3.10,-18.00,
5.00,-25.00,
10.00,-30.00,
15.00,-33.00,
30.00,-42.00,
60.00,-52.00,
75.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.00,-72.00,
-100.00,-72.00,
-22.50,-50.00,
-15.00,-50.00,
-10.00,-47.00,
-5.00,-47.00,
-3.50,-32.00,
-0.00,-32.00,
3.50,-32.00,
5.00,-47.00,
10.00,-47.00,
15.00,-50.00,
22.50,-50.00,
100.00,-72.00,
180.00,-72.00,
ENDFIL:,EOF
