REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VP4-220A
PATNUM:,2378A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001031
LOWFRQ:,21200
HGHFRQ:,23600
GUNITS:,DBI/DBR
LWGAIN:,45.8
MDGAIN:,46.3
HGGAIN:,46.8
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.20
FRTOBA:,60.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,43
-180.00,-60.00,
-95.00,-60.00,
-75.00,-48.00,
-43.00,-46.00,
-33.00,-46.00,
-15.00,-42.00,
-10.00,-36.00,
-5.00,-29.00,
-3.50,-22.00,
-1.10,-20.00,
-1.00,-15.80,
-0.90,-12.60,
-0.80,-9.60,
-0.70,-7.40,
-0.60,-5.80,
-0.60,-4.40,
-0.50,-3.00,
-0.40,-1.70,
-0.30,-0.80,
-0.20,-0.40,
-0.10,-0.00,
-0.00,-0.00,
0.10,-0.00,
0.20,-0.40,
0.30,-0.80,
0.40,-1.70,
0.50,-3.00,
0.60,-4.40,
0.60,-5.80,
0.70,-7.40,
0.80,-9.60,
0.90,-12.60,
1.00,-15.80,
1.10,-20.00,
3.50,-22.00,
5.00,-29.00,
10.00,-36.00,
15.00,-42.00,
33.00,-46.00,
43.00,-46.00,
75.00,-48.00,
95.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-62.00,
-85.00,-62.00,
-65.00,-54.00,
-15.00,-54.00,
-10.00,-52.00,
-5.00,-47.00,
-4.00,-42.00,
-1.60,-42.00,
-1.00,-32.00,
-0.00,-32.00,
1.00,-32.00,
1.60,-42.00,
4.00,-42.00,
5.00,-47.00,
10.00,-52.00,
15.00,-54.00,
65.00,-54.00,
85.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,45
-180.00,-60.00,
-100.00,-60.00,
-72.00,-47.00,
-50.00,-46.00,
-40.00,-43.00,
-20.00,-43.00,
-15.00,-40.00,
-10.00,-36.00,
-6.00,-35.00,
-2.00,-22.00,
-1.10,-20.00,
-1.00,-15.80,
-0.90,-12.60,
-0.80,-9.60,
-0.70,-7.40,
-0.60,-5.80,
-0.60,-4.40,
-0.50,-3.00,
-0.40,-1.70,
-0.30,-0.80,
-0.20,-0.40,
-0.10,-0.00,
-0.00,-0.00,
0.10,-0.00,
0.20,-0.40,
0.30,-0.80,
0.40,-1.70,
0.50,-3.00,
0.60,-4.40,
0.60,-5.80,
0.70,-7.40,
0.80,-9.60,
0.90,-12.60,
1.00,-15.80,
1.10,-20.00,
2.00,-22.00,
6.00,-35.00,
10.00,-36.00,
15.00,-40.00,
20.00,-43.00,
40.00,-43.00,
50.00,-46.00,
72.00,-47.00,
100.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-62.00,
-85.00,-62.00,
-69.00,-54.00,
-15.00,-54.00,
-10.00,-52.00,
-5.00,-46.60,
-3.00,-44.00,
-1.00,-32.00,
-0.00,-32.00,
1.00,-32.00,
3.00,-44.00,
5.00,-46.60,
10.00,-52.00,
15.00,-54.00,
69.00,-54.00,
85.00,-62.00,
180.00,-62.00,
ENDFIL:,EOF
