REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VP4A-220
PATNUM:,3882
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001031
LOWFRQ:,21200
HGHFRQ:,23600
GUNITS:,DBI/DBR
LWGAIN:,45.8
MDGAIN:,46.3
HGGAIN:,46.8
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.20
FRTOBA:,58.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,37
-180.00,-58.00,
-110.00,-58.00,
-105.00,-48.00,
-15.00,-42.00,
-11.00,-40.00,
-4.00,-30.00,
-2.00,-23.00,
-1.20,-22.00,
-1.10,-17.60,
-1.00,-14.80,
-0.90,-11.60,
-0.80,-9.10,
-0.70,-6.90,
-0.60,-5.00,
-0.50,-3.20,
-0.40,-1.80,
-0.30,-0.80,
-0.10,-0.10,
-0.00,-0.00,
0.10,-0.10,
0.30,-0.80,
0.40,-1.80,
0.50,-3.20,
0.60,-5.00,
0.70,-6.90,
0.80,-9.10,
0.90,-11.60,
1.00,-14.80,
1.10,-17.60,
1.20,-22.00,
2.00,-23.00,
4.00,-30.00,
11.00,-40.00,
15.00,-42.00,
105.00,-48.00,
110.00,-58.00,
180.00,-58.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-62.00,
-115.00,-62.00,
-107.00,-58.00,
-65.00,-53.00,
-15.00,-53.00,
-7.00,-42.00,
-6.50,-40.00,
-1.50,-39.00,
-1.00,-32.00,
-0.00,-32.00,
1.00,-32.00,
1.50,-39.00,
6.50,-40.00,
7.00,-42.00,
15.00,-53.00,
65.00,-53.00,
107.00,-58.00,
115.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,43
-180.00,-60.00,
-115.00,-60.00,
-105.00,-46.00,
-42.00,-42.00,
-20.00,-41.00,
-15.00,-36.00,
-5.00,-33.00,
-2.50,-26.00,
-1.50,-24.00,
-1.50,-24.00,
-1.20,-22.00,
-1.10,-17.60,
-1.00,-14.80,
-0.90,-11.60,
-0.80,-9.10,
-0.70,-6.90,
-0.60,-5.00,
-0.50,-3.20,
-0.40,-1.80,
-0.30,-0.80,
-0.10,-0.10,
-0.00,-0.00,
0.10,-0.10,
0.30,-0.80,
0.40,-1.80,
0.50,-3.20,
0.60,-5.00,
0.70,-6.90,
0.80,-9.10,
0.90,-11.60,
1.00,-14.80,
1.10,-17.60,
1.20,-22.00,
1.50,-24.00,
1.50,-24.00,
2.50,-26.00,
5.00,-33.00,
15.00,-36.00,
20.00,-41.00,
42.00,-42.00,
105.00,-46.00,
115.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.00,-64.00,
-110.00,-64.00,
-105.00,-60.00,
-66.00,-54.00,
-24.00,-54.00,
-15.00,-51.00,
-8.00,-49.00,
-2.00,-41.00,
-1.00,-32.00,
-0.00,-32.00,
1.00,-32.00,
2.00,-41.00,
8.00,-49.00,
15.00,-51.00,
24.00,-54.00,
66.00,-54.00,
105.00,-60.00,
110.00,-64.00,
180.00,-64.00,
ENDFIL:,EOF
