REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHPX6A-220A
PATNUM:,3979
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19980331
LOWFRQ:,21200
HGHFRQ:,23600
GUNITS:,DBI/DBR
LWGAIN:,48.8
MDGAIN:,49.3
HGGAIN:,49.8
AZWIDT:,0.50
ELWIDT:,0.50
ATVSWR:,1.25
FRTOBA:,72.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,47
-180.0,-72.0,
-90.0,-72.0,
-60.0,-54.0,
-35.0,-52.0,
-15.0,-48.0,
-12.0,-40.0,
-7.0,-40.0,
-6.0,-30.0,
-3.0,-30.0,
-2.0,-22.0,
-0.8,-20.0,
-0.7,-17.7,
-0.7,-15.1,
-0.6,-12.5,
-0.5,-10.0,
-0.5,-7.7,
-0.4,-5.4,
-0.3,-3.9,
-0.3,-2.6,
-0.2,-1.6,
-0.2,-0.7,
-0.1,-0.3,
-0.1,-0.1,
0.0,0.0,
0.1,-0.1,
0.1,-0.3,
0.2,-0.7,
0.2,-1.6,
0.3,-2.6,
0.3,-3.9,
0.4,-5.4,
0.5,-7.7,
0.5,-10.0,
0.6,-12.5,
0.7,-15.1,
0.7,-17.7,
0.8,-20.0,
2.0,-22.0,
3.0,-30.0,
6.0,-30.0,
7.0,-40.0,
12.0,-40.0,
15.0,-48.0,
35.0,-52.0,
60.0,-54.0,
90.0,-72.0,
180.0,-72.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.0,-73.0,
-80.0,-73.0,
-60.0,-65.0,
-25.2,-64.0,
-15.0,-53.0,
-8.0,-50.0,
-6.0,-42.0,
-2.0,-42.0,
-1.0,-32.0,
0.0,-32.0,
1.0,-32.0,
2.0,-42.0,
6.0,-42.0,
8.0,-50.0,
15.0,-53.0,
25.2,-64.0,
60.0,-65.0,
80.0,-73.0,
180.0,-73.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,49
-180.0,-72.0,
-90.0,-72.0,
-62.0,-60.0,
-60.0,-54.0,
-35.0,-52.0,
-15.0,-40.0,
-12.0,-40.0,
-7.0,-40.0,
-6.0,-30.0,
-3.0,-30.0,
-2.0,-22.0,
-0.8,-20.0,
-0.7,-17.7,
-0.7,-15.1,
-0.6,-12.5,
-0.5,-10.0,
-0.5,-7.7,
-0.4,-5.4,
-0.3,-3.9,
-0.3,-2.6,
-0.2,-1.6,
-0.2,-0.7,
-0.1,-0.3,
-0.1,-0.1,
0.0,0.0,
0.1,-0.1,
0.1,-0.3,
0.2,-0.7,
0.2,-1.6,
0.3,-2.6,
0.3,-3.9,
0.4,-5.4,
0.5,-7.7,
0.5,-10.0,
0.6,-12.5,
0.7,-15.1,
0.7,-17.7,
0.8,-20.0,
2.0,-22.0,
3.0,-30.0,
6.0,-30.0,
7.0,-40.0,
12.0,-40.0,
15.0,-40.0,
35.0,-52.0,
60.0,-54.0,
62.0,-60.0,
90.0,-72.0,
180.0,-72.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.0,-74.0,
-80.0,-74.0,
-60.0,-64.0,
-30.0,-62.0,
-15.0,-58.0,
-6.0,-44.0,
-2.5,-42.0,
-1.0,-32.0,
0.0,-32.0,
1.0,-32.0,
2.5,-42.0,
6.0,-44.0,
15.0,-58.0,
30.0,-62.0,
60.0,-64.0,
80.0,-74.0,
180.0,-74.0,
ENDFIL:,EOF
