REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHP6-220A
PATNUM:,3969
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19980331
LOWFRQ:,21200
HGHFRQ:,23600
GUNITS:,DBI/DBR
LWGAIN:,48.9
MDGAIN:,49.4
HGGAIN:,49.9
AZWIDT:,0.50
ELWIDT:,0.50
ATVSWR:,1.20
FRTOBA:,75.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,43
-180.0,-75.0,
-90.0,-75.0,
-60.0,-59.0,
-30.0,-49.0,
-15.0,-49.0,
-9.0,-38.0,
-5.0,-33.0,
-2.0,-23.0,
-1.0,-18.0,
-0.9,-17.0,
-0.7,-15.0,
-0.6,-13.5,
-0.5,-11.1,
-0.5,-8.3,
-0.3,-4.5,
-0.3,-2.8,
-0.2,-2.1,
-0.2,-1.4,
-0.2,-0.8,
-0.1,-0.4,
-0.1,-0.1,
0.0,0.0,
0.1,-0.1,
0.1,-0.4,
0.2,-0.8,
0.2,-1.4,
0.2,-2.1,
0.3,-2.8,
0.3,-4.5,
0.5,-8.3,
0.5,-11.1,
0.6,-13.5,
0.7,-15.0,
0.9,-17.0,
1.0,-18.0,
2.0,-23.0,
5.0,-33.0,
9.0,-38.0,
15.0,-49.0,
30.0,-49.0,
60.0,-59.0,
90.0,-75.0,
180.0,-75.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.0,-80.0,
-75.0,-80.0,
-60.0,-71.0,
-25.0,-71.0,
-15.0,-65.0,
-12.0,-59.0,
-8.0,-55.0,
-5.0,-55.0,
-3.0,-44.0,
-2.0,-44.0,
-1.0,-32.0,
0.0,-32.0,
1.0,-32.0,
2.0,-44.0,
3.0,-44.0,
5.0,-55.0,
8.0,-55.0,
12.0,-59.0,
15.0,-65.0,
25.0,-71.0,
60.0,-71.0,
75.0,-80.0,
180.0,-80.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,45
-180.0,-75.0,
-90.0,-75.0,
-60.0,-60.0,
-17.0,-50.0,
-15.0,-48.0,
-13.0,-46.0,
-8.4,-43.0,
-8.0,-42.0,
-1.5,-27.0,
-0.9,-17.0,
-0.7,-15.0,
-0.6,-13.5,
-0.5,-11.1,
-0.5,-8.3,
-0.4,-5.9,
-0.3,-4.5,
-0.3,-2.8,
-0.2,-2.1,
-0.2,-1.4,
-0.2,-0.8,
-0.1,-0.4,
-0.1,-0.1,
0.0,0.0,
0.1,-0.1,
0.1,-0.4,
0.2,-0.8,
0.2,-1.4,
0.2,-2.1,
0.3,-2.8,
0.3,-4.5,
0.4,-5.9,
0.5,-8.3,
0.5,-11.1,
0.6,-13.5,
0.7,-15.0,
0.9,-17.0,
1.5,-27.0,
8.0,-42.0,
8.4,-43.0,
13.0,-46.0,
15.0,-48.0,
17.0,-50.0,
60.0,-60.0,
90.0,-75.0,
180.0,-75.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.0,-80.0,
-75.0,-80.0,
-60.0,-71.0,
-20.0,-68.0,
-15.0,-62.0,
-12.0,-59.0,
-8.0,-55.0,
-5.0,-55.0,
-3.0,-44.0,
-2.0,-44.0,
-1.0,-32.0,
0.0,-32.0,
1.0,-32.0,
2.0,-44.0,
3.0,-44.0,
5.0,-55.0,
8.0,-55.0,
12.0,-59.0,
15.0,-62.0,
20.0,-68.0,
60.0,-71.0,
75.0,-80.0,
180.0,-80.0,
ENDFIL:,EOF
