REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHP6A-220A
PATNUM:,3986
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19940708
LOWFRQ:,21200
HGHFRQ:,23600
GUNITS:,DBI/DBR
LWGAIN:,48.9
MDGAIN:,49.4
HGGAIN:,49.9
AZWIDT:,0.50
ELWIDT:,0.50
ATVSWR:,1.20
FRTOBA:,72.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.0,-72.0,
-100.0,-72.0,
-90.0,-70.9,
-75.0,-63.4,
-60.0,-53.1,
-40.0,-45.7,
-15.0,-45.1,
-11.7,-45.1,
-8.0,-39.8,
-5.0,-31.5,
-1.5,-23.1,
-1.2,-18.0,
-0.7,-17.6,
-0.6,-14.9,
-0.5,-9.4,
-0.4,-5.3,
-0.3,-2.4,
-0.2,-1.0,
-0.1,-0.2,
0.0,0.0,
0.1,-0.2,
0.2,-1.0,
0.3,-2.4,
0.4,-5.3,
0.5,-9.4,
0.6,-14.9,
0.7,-17.6,
1.2,-18.0,
1.5,-23.1,
5.0,-31.5,
8.0,-39.8,
11.7,-45.1,
15.0,-45.1,
40.0,-45.7,
60.0,-53.1,
75.0,-63.4,
90.0,-70.9,
100.0,-72.0,
180.0,-72.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,29
-180.0,-76.0,
-90.0,-76.0,
-80.0,-75.7,
-50.0,-59.2,
-22.3,-59.2,
-20.0,-58.9,
-15.0,-58.2,
-11.2,-58.2,
-11.0,-57.9,
-9.0,-51.2,
-5.0,-40.5,
-4.0,-40.2,
-3.0,-40.0,
-1.0,-32.0,
0.0,-32.0,
1.0,-32.0,
3.0,-40.0,
4.0,-40.2,
5.0,-40.5,
9.0,-51.2,
11.0,-57.9,
11.2,-58.2,
15.0,-58.2,
20.0,-58.9,
22.3,-59.2,
50.0,-59.2,
80.0,-75.7,
90.0,-76.0,
180.0,-76.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,45
-180.0,-72.0,
-87.1,-72.0,
-50.0,-49.3,
-20.0,-47.6,
-15.0,-47.6,
-13.6,-47.6,
-13.0,-45.8,
-12.0,-42.7,
-8.4,-42.7,
-8.0,-42.1,
-6.0,-34.3,
-4.0,-29.6,
-1.5,-27.5,
-1.2,-17.0,
-0.8,-15.5,
-0.7,-14.3,
-0.6,-11.7,
-0.5,-7.8,
-0.4,-4.4,
-0.3,-2.1,
-0.2,-0.8,
-0.1,-0.2,
0.0,0.0,
0.1,-0.2,
0.2,-0.8,
0.3,-2.1,
0.4,-4.4,
0.5,-7.8,
0.6,-11.7,
0.7,-14.3,
0.8,-15.5,
1.2,-17.0,
1.5,-27.5,
4.0,-29.6,
6.0,-34.3,
8.0,-42.1,
8.4,-42.7,
12.0,-42.7,
13.0,-45.8,
13.6,-47.6,
15.0,-47.6,
20.0,-47.6,
50.0,-49.3,
87.1,-72.0,
180.0,-72.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,29
-180.0,-76.0,
-90.0,-76.0,
-60.0,-61.5,
-42.7,-61.5,
-40.0,-60.8,
-35.0,-59.3,
-18.7,-59.3,
-15.0,-58.3,
-14.0,-57.4,
-12.0,-57.4,
-5.0,-43.6,
-4.0,-43.0,
-3.0,-42.4,
-1.2,-32.0,
0.0,-32.0,
1.2,-32.0,
3.0,-42.4,
4.0,-43.0,
5.0,-43.6,
12.0,-57.4,
14.0,-57.4,
15.0,-58.3,
18.7,-59.3,
35.0,-59.3,
40.0,-60.8,
42.7,-61.5,
60.0,-61.5,
90.0,-76.0,
180.0,-76.0,
ENDFIL:,EOF
