REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHLP200-220
PATNUM:,4613A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001031
LOWFRQ:,21200
HGHFRQ:,23600
GUNITS:,DBI/DBR
LWGAIN:,30.5
MDGAIN:,31.1
HGGAIN:,31.5
AZWIDT:,4.50
ELWIDT:,4.50
ATVSWR:,1.40
FRTOBA:,56.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,41
-180.00,-56.00,
-120.00,-56.00,
-100.00,-52.00,
-63.50,-32.00,
-45.00,-32.00,
-22.50,-30.00,
-17.50,-23.00,
-15.00,-22.00,
-10.00,-20.00,
-7.34,-15.50,
-5.00,-15.50,
-4.70,-13.40,
-4.00,-9.68,
-3.50,-6.90,
-3.00,-4.87,
-2.50,-3.25,
-2.00,-1.96,
-1.50,-1.08,
-1.00,-0.41,
-0.50,-0.14,
-0.00,-0.00,
0.50,-0.14,
1.00,-0.41,
1.50,-1.08,
2.00,-1.96,
2.50,-3.25,
3.00,-4.87,
3.50,-6.90,
4.00,-9.68,
4.70,-13.40,
5.00,-15.50,
7.34,-15.50,
10.00,-20.00,
15.00,-22.00,
17.50,-23.00,
22.50,-30.00,
45.00,-32.00,
63.50,-32.00,
100.00,-52.00,
120.00,-56.00,
180.00,-56.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-60.00,
-90.00,-60.00,
-67.50,-56.00,
-45.00,-56.00,
-35.00,-47.00,
-15.00,-47.00,
-10.00,-41.00,
-5.00,-38.00,
-2.50,-30.00,
-0.00,-30.00,
2.50,-30.00,
5.00,-38.00,
10.00,-41.00,
15.00,-47.00,
35.00,-47.00,
45.00,-56.00,
67.50,-56.00,
90.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,51
-180.00,-56.00,
-100.00,-56.00,
-55.00,-34.00,
-50.00,-31.50,
-45.00,-30.00,
-30.00,-25.00,
-17.00,-21.00,
-15.00,-20.50,
-10.00,-19.50,
-8.00,-16.50,
-6.50,-14.00,
-3.90,-14.00,
-3.66,-11.71,
-3.31,-9.14,
-3.00,-7.04,
-2.76,-5.89,
-2.50,-4.47,
-2.25,-3.59,
-2.00,-2.77,
-1.79,-2.17,
-1.50,-1.56,
-1.28,-1.08,
-1.00,-0.68,
-0.76,-0.34,
-0.50,-0.20,
-0.00,-0.00,
0.50,-0.20,
0.76,-0.34,
1.00,-0.68,
1.28,-1.08,
1.50,-1.56,
1.79,-2.17,
2.00,-2.77,
2.25,-3.59,
2.50,-4.47,
2.76,-5.89,
3.00,-7.04,
3.31,-9.14,
3.66,-11.71,
3.90,-14.00,
6.50,-14.00,
8.00,-16.50,
10.00,-19.50,
15.00,-20.50,
17.00,-21.00,
30.00,-25.00,
45.00,-30.00,
50.00,-31.50,
55.00,-34.00,
100.00,-56.00,
180.00,-56.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,27
-180.00,-59.00,
-100.00,-59.00,
-80.00,-53.00,
-67.50,-53.00,
-55.00,-50.00,
-45.00,-50.00,
-32.50,-50.00,
-27.50,-42.50,
-22.50,-42.50,
-15.00,-42.50,
-9.00,-38.00,
-5.00,-38.00,
-3.00,-30.00,
-0.00,-30.00,
3.00,-30.00,
5.00,-38.00,
9.00,-38.00,
15.00,-42.50,
22.50,-42.50,
27.50,-42.50,
32.50,-50.00,
45.00,-50.00,
55.00,-50.00,
67.50,-53.00,
80.00,-53.00,
100.00,-59.00,
180.00,-59.00,
ENDFIL:,EOF
