REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,KPR8F-23
PATNUM:,2350
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960402
LOWFRQ:,2290
HGHFRQ:,2500
GUNITS:,DBI/DBR
LWGAIN:,32.3
MDGAIN:,32.4
HGGAIN:,32.7
AZWIDT:,3.10
ELWIDT:,3.40
ATVSWR:,1.30
FRTOBA:,36.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,42
-180.00,-36.00,
-148.20,-36.00,
-140.10,-33.40,
-45.00,-33.40,
-37.50,-29.00,
-21.00,-29.00,
-12.50,-23.00,
-8.40,-23.00,
-6.00,-17.00,
-3.78,-16.95,
-3.64,-14.95,
-3.28,-11.95,
-3.10,-9.85,
-2.88,-8.30,
-2.48,-5.65,
-2.22,-4.20,
-1.66,-2.40,
-1.32,-1.30,
-0.96,-0.65,
-0.62,-0.25,
-0.02,-0.00,
0.02,-0.00,
0.62,-0.25,
0.96,-0.65,
1.32,-1.30,
1.66,-2.40,
2.22,-4.20,
2.48,-5.65,
2.88,-8.30,
3.10,-9.85,
3.28,-11.95,
3.64,-14.95,
3.78,-16.95,
6.00,-17.00,
8.40,-23.00,
12.50,-23.00,
21.00,-29.00,
37.50,-29.00,
45.00,-33.40,
140.10,-33.40,
148.20,-36.00,
180.00,-36.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,11
-180.00,-40.50,
-150.00,-40.50,
-142.20,-38.00,
-9.60,-38.00,
-6.60,-32.00,
0.00,-32.00,
6.60,-32.00,
9.60,-38.00,
142.20,-38.00,
150.00,-40.50,
180.00,-40.50,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,32
-180.00,-35.00,
-115.20,-35.00,
-90.00,-28.00,
-22.05,-28.00,
-13.05,-19.00,
-7.35,-19.00,
-5.82,-14.00,
-3.60,-14.00,
-3.30,-11.60,
-2.84,-8.10,
-2.36,-5.60,
-2.00,-3.40,
-1.42,-1.60,
-1.00,-0.50,
-0.60,-0.20,
-0.02,-0.00,
0.02,-0.00,
0.60,-0.20,
1.00,-0.50,
1.42,-1.60,
2.00,-3.40,
2.36,-5.60,
2.84,-8.10,
3.30,-11.60,
3.60,-14.00,
5.82,-14.00,
7.35,-19.00,
13.05,-19.00,
22.05,-28.00,
90.00,-28.00,
115.20,-35.00,
180.00,-35.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-40.00,
-157.20,-40.00,
-151.20,-37.00,
-90.00,-37.00,
-82.50,-34.00,
-7.20,-34.00,
-4.50,-30.00,
-0.30,-30.00,
0.00,-30.00,
0.30,-30.00,
4.50,-30.00,
7.20,-34.00,
82.50,-34.00,
90.00,-37.00,
151.20,-37.00,
157.20,-40.00,
180.00,-40.00,
ENDFIL:,EOF
