REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,KPR10F-23
PATNUM:,2351
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960429
LOWFRQ:,2290
HGHFRQ:,2500
GUNITS:,DBI/DBR
LWGAIN:,33.5
MDGAIN:,33.7
HGGAIN:,34.0
AZWIDT:,2.90
ELWIDT:,2.90
ATVSWR:,1.30
FRTOBA:,38.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,49
-180.00,-37.00,
-168.00,-37.00,
-165.00,-41.00,
-95.00,-41.00,
-90.00,-40.00,
-30.00,-29.00,
-20.00,-29.00,
-6.00,-20.00,
-4.16,-20.00,
-3.76,-15.80,
-3.34,-11.90,
-3.14,-10.50,
-2.92,-8.80,
-2.72,-7.60,
-2.54,-6.30,
-2.30,-5.30,
-2.14,-4.40,
-1.92,-3.50,
-1.76,-3.00,
-1.48,-2.00,
-1.18,-1.10,
-1.02,-0.80,
-0.84,-0.60,
-0.54,-0.20,
0.00,-0.00,
0.54,-0.20,
0.84,-0.60,
1.02,-0.80,
1.18,-1.10,
1.48,-2.00,
1.76,-3.00,
1.92,-3.50,
2.14,-4.40,
2.30,-5.30,
2.54,-6.30,
2.72,-7.60,
2.92,-8.80,
3.14,-10.50,
3.34,-11.90,
3.76,-15.80,
4.16,-20.00,
6.00,-20.00,
20.00,-29.00,
30.00,-29.00,
90.00,-40.00,
95.00,-41.00,
165.00,-41.00,
168.00,-37.00,
180.00,-37.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,13
-180.00,-45.00,
-150.00,-45.00,
-135.00,-40.00,
-85.00,-35.00,
-15.00,-35.00,
-10.00,-30.00,
0.00,-30.00,
10.00,-30.00,
15.00,-35.00,
85.00,-35.00,
135.00,-40.00,
150.00,-45.00,
180.00,-45.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-35.00,
-155.00,-35.00,
-153.00,-36.00,
-126.00,-36.00,
-83.00,-29.00,
-19.00,-29.00,
-10.00,-18.50,
-4.50,-14.00,
-2.60,-14.00,
-2.54,-13.20,
-2.18,-8.50,
-1.80,-5.30,
-1.42,-3.10,
-1.16,-2.20,
-1.00,-1.20,
-0.84,-0.70,
-0.68,-0.40,
-0.50,-0.20,
0.00,-0.00,
0.50,-0.20,
0.68,-0.40,
0.84,-0.70,
1.00,-1.20,
1.16,-2.20,
1.42,-3.10,
1.80,-5.30,
2.18,-8.50,
2.54,-13.20,
2.60,-14.00,
4.50,-14.00,
10.00,-18.50,
19.00,-29.00,
83.00,-29.00,
126.00,-36.00,
153.00,-36.00,
155.00,-35.00,
180.00,-35.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,11
-180.00,-45.00,
-130.00,-45.00,
-75.00,-37.00,
-20.00,-37.00,
-10.00,-30.00,
0.00,-30.00,
10.00,-30.00,
20.00,-37.00,
75.00,-37.00,
130.00,-45.00,
180.00,-45.00,
ENDFIL:,EOF
