REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,KPR13F-23
PATNUM:,2352
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960320
LOWFRQ:,2290
HGHFRQ:,2500
GUNITS:,DBI/DBR
LWGAIN:,36.5
MDGAIN:,36.8
HGGAIN:,37.0
AZWIDT:,2.30
ELWIDT:,2.30
ATVSWR:,1.30
FRTOBA:,40.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,43
-180.00,-40.60,
-113.40,-40.60,
-110.10,-39.20,
-83.40,-39.00,
-80.10,-36.90,
-40.80,-36.90,
-33.90,-32.80,
-16.20,-32.80,
-12.00,-24.00,
-5.00,-24.00,
-3.98,-19.40,
-2.76,-19.40,
-2.68,-17.80,
-2.45,-13.20,
-2.23,-10.10,
-1.99,-7.75,
-1.71,-5.45,
-1.55,-4.15,
-1.32,-2.55,
-1.00,-0.80,
-0.66,-0.20,
0.00,-0.00,
0.66,-0.20,
1.00,-0.80,
1.32,-2.55,
1.55,-4.15,
1.71,-5.45,
1.99,-7.75,
2.23,-10.10,
2.45,-13.20,
2.68,-17.80,
2.76,-19.40,
3.98,-19.40,
5.00,-24.00,
12.00,-24.00,
16.20,-32.80,
33.90,-32.80,
40.80,-36.90,
80.10,-36.90,
83.40,-39.00,
110.10,-39.20,
113.40,-40.60,
180.00,-40.60,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,7
-180.00,-40.80,
-10.00,-40.80,
-5.00,-30.00,
0.00,-30.00,
5.00,-30.00,
10.00,-40.80,
180.00,-40.80,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-44.00,
-160.00,-44.00,
-155.00,-39.00,
-103.00,-39.00,
-90.00,-32.70,
-13.80,-32.70,
-12.00,-27.00,
-9.20,-27.00,
-8.20,-22.00,
-5.00,-22.00,
-4.00,-16.00,
-2.70,-16.00,
-2.30,-11.40,
-1.94,-7.90,
-1.58,-4.90,
-1.26,-2.80,
-0.98,-1.10,
-0.70,-0.20,
0.00,-0.00,
0.70,-0.20,
0.98,-1.10,
1.26,-2.80,
1.58,-4.90,
1.94,-7.90,
2.30,-11.40,
2.70,-16.00,
4.00,-16.00,
5.00,-22.00,
8.20,-22.00,
9.20,-27.00,
12.00,-27.00,
13.80,-32.70,
90.00,-32.70,
103.00,-39.00,
155.00,-39.00,
160.00,-44.00,
180.00,-44.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,12
-180.00,-37.30,
-42.60,-37.30,
-39.60,-35.80,
-6.60,-35.90,
-3.90,-30.00,
0.00,-30.00,
0.00,-30.00,
3.90,-30.00,
6.60,-35.90,
39.60,-35.80,
42.60,-37.30,
180.00,-37.30,
ENDFIL:,EOF
