REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,KP3F-23
PATNUM:,3394A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19980108
LOWFRQ:,2300
HGHFRQ:,2500
GUNITS:,DBI/DBR
LWGAIN:,24.7
MDGAIN:,25.1
HGGAIN:,25.3
AZWIDT:,8.10
ELWIDT:,8.10
ATVSWR:,1.20
FRTOBA:,30.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,47
-180.00,-32.00,
-172.00,-32.00,
-168.00,-30.00,
-124.00,-30.00,
-105.00,-25.00,
-40.00,-25.00,
-36.00,-24.00,
-29.00,-24.00,
-25.00,-19.50,
-16.00,-19.50,
-13.00,-12.50,
-7.00,-12.50,
-6.50,-10.00,
-6.00,-7.70,
-5.50,-6.00,
-5.00,-5.10,
-4.00,-3.00,
-3.60,-2.35,
-3.00,-1.65,
-2.50,-1.10,
-2.00,-0.75,
-1.50,-0.40,
-1.00,-0.20,
0.00,-0.00,
1.00,-0.20,
1.50,-0.40,
2.00,-0.75,
2.50,-1.10,
3.00,-1.65,
3.60,-2.35,
4.00,-3.00,
5.00,-5.10,
5.50,-6.00,
6.00,-7.70,
6.50,-10.00,
7.00,-12.50,
13.00,-12.50,
16.00,-19.50,
25.00,-19.50,
29.00,-24.00,
36.00,-24.00,
40.00,-25.00,
105.00,-25.00,
124.00,-30.00,
168.00,-30.00,
172.00,-32.00,
180.00,-32.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,11
-180.00,-42.00,
-80.00,-42.00,
-75.00,-40.00,
-14.00,-40.00,
-5.00,-36.00,
0.00,-36.00,
5.00,-36.00,
14.00,-40.00,
75.00,-40.00,
80.00,-42.00,
180.00,-42.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,53
-180.00,-31.00,
-160.00,-31.00,
-150.00,-30.00,
-120.00,-30.00,
-112.00,-28.00,
-92.00,-26.50,
-45.00,-26.50,
-42.00,-22.00,
-28.00,-15.50,
-17.50,-15.50,
-13.50,-10.50,
-7.70,-10.50,
-7.50,-10.00,
-7.00,-8.80,
-6.50,-7.45,
-6.00,-6.00,
-5.00,-4.20,
-4.50,-3.30,
-4.00,-2.50,
-3.50,-2.00,
-3.00,-1.35,
-2.60,-0.90,
-2.00,-0.60,
-1.50,-0.30,
-1.00,-0.15,
-0.50,-0.05,
0.00,-0.00,
0.50,-0.05,
1.00,-0.15,
1.50,-0.30,
2.00,-0.60,
2.60,-0.90,
3.00,-1.35,
3.50,-2.00,
4.00,-2.50,
4.50,-3.30,
5.00,-4.20,
6.00,-6.00,
6.50,-7.45,
7.00,-8.80,
7.50,-10.00,
7.70,-10.50,
13.50,-10.50,
17.50,-15.50,
28.00,-15.50,
42.00,-22.00,
45.00,-26.50,
92.00,-26.50,
112.00,-28.00,
120.00,-30.00,
150.00,-30.00,
160.00,-31.00,
180.00,-31.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,7
-180.00,-42.00,
-112.50,-42.00,
-55.00,-38.00,
0.00,-38.00,
55.00,-38.00,
112.50,-42.00,
180.00,-42.00,
ENDFIL:,EOF
