REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P4F-23
PATNUM:,2198F
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19981227
LOWFRQ:,2300
HGHFRQ:,2500
GUNITS:,DBI/DBR
LWGAIN:,26.9
MDGAIN:,27.3
HGGAIN:,27.6
AZWIDT:,6.90
ELWIDT:,0.00
ATVSWR:,1.20
FRTOBA:,36.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,65
-180.00,-36.00,
-140.00,-36.00,
-130.00,-33.30,
-120.00,-30.90,
-110.00,-28.00,
-100.00,-28.00,
-59.00,-27.50,
-55.00,-25.80,
-30.00,-25.00,
-15.00,-20.00,
-9.90,-18.60,
-8.50,-18.60,
-7.00,-14.00,
-6.50,-12.00,
-6.00,-10.30,
-5.80,-9.60,
-5.60,-9.00,
-5.40,-8.30,
-5.20,-7.70,
-4.60,-6.00,
-4.00,-4.60,
-3.40,-3.30,
-3.00,-2.60,
-2.80,-2.20,
-2.40,-1.60,
-2.00,-1.10,
-1.80,-0.90,
-1.40,-0.60,
-1.00,-0.30,
-0.80,-0.20,
-0.40,0.00,
-0.20,0.00,
0.00,0.00,
0.20,0.00,
0.40,0.00,
0.80,-0.20,
1.00,-0.30,
1.40,-0.60,
1.80,-0.90,
2.00,-1.10,
2.40,-1.60,
2.80,-2.20,
3.00,-2.60,
3.40,-3.30,
4.00,-4.60,
4.60,-6.00,
5.20,-7.70,
5.40,-8.30,
5.60,-9.00,
5.80,-9.60,
6.00,-10.30,
6.50,-12.00,
7.00,-14.00,
8.50,-18.60,
9.90,-18.60,
15.00,-20.00,
30.00,-25.00,
55.00,-25.80,
59.00,-27.50,
100.00,-28.00,
110.00,-28.00,
120.00,-30.90,
130.00,-33.30,
140.00,-36.00,
180.00,-36.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,9
-180.00,-40.00,
-15.00,-40.00,
-6.00,-40.00,
-4.00,-32.00,
0.00,-32.00,
4.00,-32.00,
6.00,-40.00,
15.00,-40.00,
180.00,-40.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,69
-180.00,-36.00,
-170.00,-36.00,
-170.00,-40.00,
-145.00,-40.00,
-100.00,-28.50,
-34.50,-28.50,
-25.00,-21.60,
-15.60,-20.80,
-15.00,-20.50,
-14.10,-20.00,
-12.70,-19.10,
-11.50,-18.00,
-10.00,-18.00,
-8.50,-17.10,
-7.00,-14.00,
-6.50,-12.00,
-6.00,-10.30,
-5.80,-9.60,
-5.60,-9.00,
-5.40,-8.30,
-5.20,-7.70,
-4.60,-6.00,
-4.00,-4.60,
-3.40,-3.30,
-3.00,-2.60,
-2.80,-2.20,
-2.40,-1.60,
-2.00,-1.10,
-1.80,-0.90,
-1.40,-0.60,
-1.00,-0.30,
-0.80,-0.20,
-0.40,0.00,
-0.20,0.00,
0.00,0.00,
0.20,0.00,
0.40,0.00,
0.80,-0.20,
1.00,-0.30,
1.40,-0.60,
1.80,-0.90,
2.00,-1.10,
2.40,-1.60,
2.80,-2.20,
3.00,-2.60,
3.40,-3.30,
4.00,-4.60,
4.60,-6.00,
5.20,-7.70,
5.40,-8.30,
5.60,-9.00,
5.80,-9.60,
6.00,-10.30,
6.50,-12.00,
7.00,-14.00,
8.50,-17.10,
10.00,-18.00,
11.50,-18.00,
12.70,-19.10,
14.10,-20.00,
15.00,-20.50,
15.60,-20.80,
25.00,-21.60,
34.50,-28.50,
100.00,-28.50,
145.00,-40.00,
170.00,-40.00,
170.00,-36.00,
180.00,-36.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,11
-180.00,-40.00,
-15.00,-40.00,
-10.00,-40.00,
-6.00,-38.00,
-4.00,-32.00,
0.00,-32.00,
4.00,-32.00,
6.00,-38.00,
10.00,-40.00,
15.00,-40.00,
180.00,-40.00,
ENDFIL:,EOF
