REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,KP4F-23
PATNUM:,3837A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19920923
LOWFRQ:,2300
HGHFRQ:,2500
GUNITS:,DBI/DBR
LWGAIN:,27.2
MDGAIN:,27.5
HGGAIN:,27.8
AZWIDT:,6.90
ELWIDT:,6.90
ATVSWR:,1.20
FRTOBA:,30.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,43
-180.00,-30.00,
-170.00,-30.00,
-170.00,-32.00,
-140.00,-32.00,
-110.00,-25.00,
-40.00,-25.00,
-29.00,-24.00,
-15.00,-18.00,
-14.00,-16.00,
-10.00,-14.00,
-7.00,-14.00,
-6.00,-10.20,
-5.00,-7.10,
-4.00,-5.00,
-3.50,-3.90,
-3.00,-3.10,
-2.50,-2.30,
-2.00,-1.60,
-1.50,-1.10,
-1.00,-0.70,
-0.50,-0.30,
0.00,0.00,
0.50,-0.30,
1.00,-0.70,
1.50,-1.10,
2.00,-1.60,
2.50,-2.30,
3.00,-3.10,
3.50,-3.90,
4.00,-5.00,
5.00,-7.10,
6.00,-10.20,
7.00,-14.00,
10.00,-14.00,
14.00,-16.00,
15.00,-18.00,
29.00,-24.00,
40.00,-25.00,
110.00,-25.00,
140.00,-32.00,
170.00,-32.00,
170.00,-30.00,
180.00,-30.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,11
-180.00,-38.00,
-20.00,-38.00,
-15.00,-36.00,
-12.00,-36.00,
-6.00,-30.00,
0.00,-30.00,
6.00,-30.00,
12.00,-36.00,
15.00,-36.00,
20.00,-38.00,
180.00,-38.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,47
-180.00,-30.00,
-170.00,-30.00,
-170.00,-32.00,
-140.00,-32.00,
-100.00,-27.00,
-90.00,-27.00,
-80.00,-25.00,
-40.00,-25.00,
-29.00,-24.00,
-15.00,-18.00,
-14.00,-16.00,
-10.00,-14.00,
-7.00,-14.00,
-6.00,-10.20,
-5.00,-7.10,
-4.00,-5.00,
-3.50,-3.90,
-3.00,-3.10,
-2.50,-2.30,
-2.00,-1.60,
-1.50,-1.10,
-1.00,-0.70,
-0.50,-0.30,
0.00,0.00,
0.50,-0.30,
1.00,-0.70,
1.50,-1.10,
2.00,-1.60,
2.50,-2.30,
3.00,-3.10,
3.50,-3.90,
4.00,-5.00,
5.00,-7.10,
6.00,-10.20,
7.00,-14.00,
10.00,-14.00,
14.00,-16.00,
15.00,-18.00,
29.00,-24.00,
40.00,-25.00,
80.00,-25.00,
90.00,-27.00,
100.00,-27.00,
140.00,-32.00,
170.00,-32.00,
170.00,-30.00,
180.00,-30.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,11
-180.00,-38.00,
-20.00,-38.00,
-15.00,-36.00,
-12.00,-36.00,
-6.00,-30.00,
0.00,-30.00,
6.00,-30.00,
12.00,-36.00,
15.00,-36.00,
20.00,-38.00,
180.00,-38.00,
ENDFIL:,EOF
