REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,FPX6-23
PATNUM:,6945C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19800621
LOWFRQ:,2300
HGHFRQ:,2500
GUNITS:,DBI/DBR
LWGAIN:,28.9
MDGAIN:,29.2
HGGAIN:,29.6
AZWIDT:,5.50
ELWIDT:,0.00
ATVSWR:,1.15
FRTOBA:,41.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,51
-180.00,-41.00,
-170.00,-41.00,
-160.00,-43.00,
-120.00,-43.00,
-105.00,-40.00,
-90.00,-34.00,
-70.00,-28.00,
-60.00,-28.00,
-50.00,-24.00,
-50.00,-21.00,
-30.00,-21.00,
-30.00,-18.00,
-20.00,-18.00,
-15.00,-16.00,
-10.00,-16.00,
-8.00,-13.00,
-6.00,-13.00,
-4.00,-5.40,
-3.50,-4.10,
-3.00,-3.10,
-2.50,-2.10,
-2.00,-1.40,
-1.50,-0.90,
-1.00,-0.60,
-0.50,-0.30,
0.00,0.00,
0.50,-0.30,
1.00,-0.60,
1.50,-0.90,
2.00,-1.40,
2.50,-2.10,
3.00,-3.10,
3.50,-4.10,
4.00,-5.40,
6.00,-13.00,
8.00,-13.00,
10.00,-16.00,
15.00,-16.00,
20.00,-18.00,
30.00,-18.00,
30.00,-21.00,
50.00,-21.00,
50.00,-24.00,
60.00,-28.00,
70.00,-28.00,
90.00,-34.00,
105.00,-40.00,
120.00,-43.00,
160.00,-43.00,
170.00,-41.00,
180.00,-41.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,29
-180.00,-43.00,
-95.00,-43.00,
-90.00,-42.00,
-70.00,-42.00,
-60.00,-39.00,
-50.00,-38.00,
-45.00,-34.00,
-40.00,-33.00,
-35.00,-33.00,
-30.00,-31.00,
-15.00,-31.00,
-10.00,-31.00,
-10.00,-30.00,
-4.00,-27.00,
0.00,-27.00,
4.00,-27.00,
10.00,-30.00,
10.00,-31.00,
15.00,-31.00,
30.00,-31.00,
35.00,-33.00,
40.00,-33.00,
45.00,-34.00,
50.00,-38.00,
60.00,-39.00,
70.00,-42.00,
90.00,-42.00,
95.00,-43.00,
180.00,-43.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,51
-180.00,-41.00,
-170.00,-41.00,
-160.00,-43.00,
-120.00,-43.00,
-105.00,-40.00,
-90.00,-34.00,
-70.00,-28.00,
-60.00,-28.00,
-50.00,-24.00,
-50.00,-21.00,
-30.00,-21.00,
-30.00,-18.00,
-20.00,-18.00,
-15.00,-16.00,
-10.00,-16.00,
-8.00,-13.00,
-6.00,-13.00,
-4.00,-5.40,
-3.50,-4.10,
-3.00,-3.10,
-2.50,-2.10,
-2.00,-1.40,
-1.50,-0.90,
-1.00,-0.60,
-0.50,-0.30,
0.00,0.00,
0.50,-0.30,
1.00,-0.60,
1.50,-0.90,
2.00,-1.40,
2.50,-2.10,
3.00,-3.10,
3.50,-4.10,
4.00,-5.40,
6.00,-13.00,
8.00,-13.00,
10.00,-16.00,
15.00,-16.00,
20.00,-18.00,
30.00,-18.00,
30.00,-21.00,
50.00,-21.00,
50.00,-24.00,
60.00,-28.00,
70.00,-28.00,
90.00,-34.00,
105.00,-40.00,
120.00,-43.00,
160.00,-43.00,
170.00,-41.00,
180.00,-41.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,29
-180.00,-43.00,
-95.00,-43.00,
-90.00,-42.00,
-70.00,-42.00,
-60.00,-39.00,
-50.00,-38.00,
-45.00,-34.00,
-40.00,-33.00,
-35.00,-33.00,
-30.00,-31.00,
-15.00,-31.00,
-10.00,-31.00,
-10.00,-30.00,
-4.00,-27.00,
0.00,-27.00,
4.00,-27.00,
10.00,-30.00,
10.00,-31.00,
15.00,-31.00,
30.00,-31.00,
35.00,-33.00,
40.00,-33.00,
45.00,-34.00,
50.00,-38.00,
60.00,-39.00,
70.00,-42.00,
90.00,-42.00,
95.00,-43.00,
180.00,-43.00,
ENDFIL:,EOF
