REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL8F-23
PATNUM:,2190E
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19861106
LOWFRQ:,2300
HGHFRQ:,2500
GUNITS:,DBI/DBR
LWGAIN:,33.0
MDGAIN:,33.4
HGGAIN:,33.8
AZWIDT:,3.50
ELWIDT:,3.50
ATVSWR:,1.08
FRTOBA:,39.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-39.00,
-170.00,-39.00,
-170.00,-44.40,
-140.00,-44.40,
-120.00,-39.60,
-105.00,-34.50,
-27.00,-34.50,
-20.00,-29.70,
-15.00,-27.50,
-12.00,-24.60,
-9.00,-24.60,
-6.40,-23.50,
-4.20,-19.10,
-3.50,-12.00,
-2.10,-4.20,
-1.40,-1.10,
-0.70,-0.30,
0.00,0.00,
0.70,-0.30,
1.40,-1.10,
2.10,-4.20,
3.50,-12.00,
4.20,-19.10,
6.40,-23.50,
9.00,-24.60,
12.00,-24.60,
15.00,-27.50,
20.00,-29.70,
27.00,-34.50,
105.00,-34.50,
120.00,-39.60,
140.00,-44.40,
170.00,-44.40,
170.00,-39.00,
180.00,-39.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-48.00,
-170.00,-48.00,
-110.00,-52.00,
-112.00,-52.00,
-90.00,-49.20,
-6.60,-49.20,
-5.00,-43.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
5.00,-43.00,
6.60,-49.20,
90.00,-49.20,
112.00,-52.00,
170.00,-52.00,
170.00,-48.00,
180.00,-48.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,33
-180.00,-39.00,
-170.00,-39.00,
-170.00,-47.80,
-140.00,-47.80,
-105.00,-34.50,
-32.00,-34.50,
-15.00,-27.00,
-12.80,-27.00,
-12.00,-24.00,
-7.00,-24.00,
-6.40,-20.30,
-4.20,-18.40,
-3.50,-12.00,
-2.10,-4.20,
-1.40,-1.10,
-0.70,-0.30,
0.00,0.00,
0.70,-0.30,
1.40,-1.10,
2.10,-4.20,
3.50,-12.00,
4.20,-18.40,
6.40,-20.30,
7.00,-24.00,
12.00,-24.00,
12.80,-27.00,
15.00,-27.00,
32.00,-34.50,
105.00,-34.50,
140.00,-47.80,
170.00,-47.80,
170.00,-39.00,
180.00,-39.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.00,-48.00,
-100.00,-48.00,
-90.00,-44.20,
-15.00,-44.20,
-5.70,-44.20,
-5.00,-41.80,
-3.50,-30.00,
0.00,-30.00,
3.50,-30.00,
5.00,-41.80,
5.70,-44.20,
15.00,-44.20,
90.00,-44.20,
100.00,-48.00,
180.00,-48.00,
ENDFIL:,EOF
