REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,FPX10-23
PATNUM:,6917C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19800621
LOWFRQ:,2300
HGHFRQ:,2500
GUNITS:,DBI/DBR
LWGAIN:,33.8
MDGAIN:,33.9
HGGAIN:,34.2
AZWIDT:,3.30
ELWIDT:,0.00
ATVSWR:,1.08
FRTOBA:,54.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.00,-54.00,
-115.00,-54.00,
-110.00,-52.00,
-80.00,-33.00,
-50.00,-31.00,
-40.00,-31.00,
-32.50,-25.00,
-30.00,-25.00,
-30.00,-23.00,
-20.00,-22.00,
-15.00,-22.00,
-10.00,-22.00,
-5.00,-18.00,
-3.00,-6.70,
-2.50,-4.70,
-2.00,-2.90,
-1.50,-1.90,
-1.00,-1.10,
-0.50,-0.60,
0.00,0.00,
0.50,-0.60,
1.00,-1.10,
1.50,-1.90,
2.00,-2.90,
2.50,-4.70,
3.00,-6.70,
5.00,-18.00,
10.00,-22.00,
15.00,-22.00,
20.00,-22.00,
30.00,-23.00,
30.00,-25.00,
32.50,-25.00,
40.00,-31.00,
50.00,-31.00,
80.00,-33.00,
110.00,-52.00,
115.00,-54.00,
180.00,-54.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-54.00,
-105.00,-54.00,
-95.00,-53.00,
-80.00,-46.00,
-60.00,-46.00,
-50.00,-44.00,
-20.00,-40.00,
-15.00,-36.00,
-7.00,-36.00,
-4.00,-29.00,
0.00,-29.00,
4.00,-29.00,
7.00,-36.00,
15.00,-36.00,
20.00,-40.00,
50.00,-44.00,
60.00,-46.00,
80.00,-46.00,
95.00,-53.00,
105.00,-54.00,
180.00,-54.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.00,-54.00,
-115.00,-54.00,
-110.00,-52.00,
-80.00,-33.00,
-50.00,-31.00,
-40.00,-31.00,
-32.50,-25.00,
-30.00,-25.00,
-30.00,-23.00,
-20.00,-22.00,
-15.00,-22.00,
-10.00,-22.00,
-5.00,-18.00,
-3.00,-6.70,
-2.50,-4.70,
-2.00,-2.90,
-1.50,-1.90,
-1.00,-1.10,
-0.50,-0.60,
0.00,0.00,
0.50,-0.60,
1.00,-1.10,
1.50,-1.90,
2.00,-2.90,
2.50,-4.70,
3.00,-6.70,
5.00,-18.00,
10.00,-22.00,
15.00,-22.00,
20.00,-22.00,
30.00,-23.00,
30.00,-25.00,
32.50,-25.00,
40.00,-31.00,
50.00,-31.00,
80.00,-33.00,
110.00,-52.00,
115.00,-54.00,
180.00,-54.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-54.00,
-105.00,-54.00,
-95.00,-53.00,
-80.00,-46.00,
-60.00,-46.00,
-50.00,-44.00,
-20.00,-40.00,
-15.00,-36.00,
-7.00,-36.00,
-4.00,-29.00,
0.00,-29.00,
4.00,-29.00,
7.00,-36.00,
15.00,-36.00,
20.00,-40.00,
50.00,-44.00,
60.00,-46.00,
80.00,-46.00,
95.00,-53.00,
105.00,-54.00,
180.00,-54.00,
ENDFIL:,EOF
