REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL10F-23
PATNUM:,2192E
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19840308
LOWFRQ:,2300
HGHFRQ:,2500
GUNITS:,DBI/DBR
LWGAIN:,34.9
MDGAIN:,35.3
HGGAIN:,35.6
AZWIDT:,3.00
ELWIDT:,3.00
ATVSWR:,1.08
FRTOBA:,44.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.00,-44.00,
-170.00,-44.00,
-170.00,-50.30,
-127.00,-50.30,
-100.00,-42.00,
-90.00,-36.50,
-60.00,-35.70,
-23.00,-35.70,
-15.00,-28.40,
-11.20,-28.40,
-11.00,-27.40,
-7.00,-24.50,
-4.40,-24.50,
-3.40,-17.30,
-2.80,-9.70,
-2.30,-5.80,
-1.70,-2.90,
-1.10,-1.00,
-0.60,-0.20,
0.00,0.00,
0.60,-0.20,
1.10,-1.00,
1.70,-2.90,
2.30,-5.80,
2.80,-9.70,
3.40,-17.30,
4.40,-24.50,
7.00,-24.50,
11.00,-27.40,
11.20,-28.40,
15.00,-28.40,
23.00,-35.70,
60.00,-35.70,
90.00,-36.50,
100.00,-42.00,
127.00,-50.30,
170.00,-50.30,
170.00,-44.00,
180.00,-44.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-50.00,
-170.00,-50.00,
-170.00,-56.60,
-107.00,-56.60,
-75.00,-52.20,
-63.00,-52.20,
-60.00,-50.30,
-5.00,-50.30,
-3.50,-30.00,
0.00,-30.00,
3.50,-30.00,
5.00,-50.30,
60.00,-50.30,
63.00,-52.20,
75.00,-52.20,
107.00,-56.60,
170.00,-56.60,
170.00,-50.00,
180.00,-50.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,43
-180.00,-44.00,
-170.00,-44.00,
-170.00,-54.20,
-148.00,-54.20,
-110.00,-48.20,
-90.00,-39.40,
-43.00,-39.40,
-20.00,-34.00,
-15.00,-28.90,
-13.00,-28.10,
-11.00,-28.10,
-10.00,-25.80,
-9.00,-25.00,
-5.60,-25.00,
-5.00,-23.30,
-4.00,-21.80,
-2.80,-9.70,
-2.30,-5.80,
-1.70,-2.90,
-1.10,-1.00,
-0.60,-0.20,
0.00,0.00,
0.60,-0.20,
1.10,-1.00,
1.70,-2.90,
2.30,-5.80,
2.80,-9.70,
4.00,-21.80,
5.00,-23.30,
5.60,-25.00,
9.00,-25.00,
10.00,-25.80,
11.00,-28.10,
13.00,-28.10,
15.00,-28.90,
20.00,-34.00,
43.00,-39.40,
90.00,-39.40,
110.00,-48.20,
148.00,-54.20,
170.00,-54.20,
170.00,-44.00,
180.00,-44.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.00,-50.00,
-170.00,-50.00,
-170.00,-53.20,
-100.00,-53.20,
-90.00,-49.70,
-5.00,-49.70,
-3.50,-30.00,
0.00,-30.00,
3.50,-30.00,
5.00,-49.70,
90.00,-49.70,
100.00,-53.20,
170.00,-53.20,
170.00,-50.00,
180.00,-50.00,
ENDFIL:,EOF
