REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,FPX12-23
PATNUM:,6919C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19800621
LOWFRQ:,2300
HGHFRQ:,2500
GUNITS:,DBI/DBR
LWGAIN:,35.5
MDGAIN:,35.6
HGGAIN:,35.9
AZWIDT:,2.70
ELWIDT:,0.00
ATVSWR:,1.08
FRTOBA:,56.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-56.00,
-125.00,-56.00,
-110.00,-50.00,
-105.00,-50.00,
-90.00,-40.00,
-90.00,-38.00,
-60.00,-33.00,
-30.00,-30.00,
-25.00,-24.00,
-20.00,-21.00,
-15.00,-20.00,
-6.50,-20.00,
-4.00,-18.00,
-2.00,-4.50,
-1.50,-2.30,
-1.00,-0.90,
-0.50,-0.20,
0.00,0.00,
0.50,-0.20,
1.00,-0.90,
1.50,-2.30,
2.00,-4.50,
4.00,-18.00,
6.50,-20.00,
15.00,-20.00,
20.00,-21.00,
25.00,-24.00,
30.00,-30.00,
60.00,-33.00,
90.00,-38.00,
90.00,-40.00,
105.00,-50.00,
110.00,-50.00,
125.00,-56.00,
180.00,-56.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-56.00,
-110.00,-56.00,
-100.00,-54.00,
-80.00,-47.00,
-40.00,-45.00,
-30.00,-40.00,
-20.00,-40.00,
-15.00,-37.00,
-6.00,-37.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
6.00,-37.00,
15.00,-37.00,
20.00,-40.00,
30.00,-40.00,
40.00,-45.00,
80.00,-47.00,
100.00,-54.00,
110.00,-56.00,
180.00,-56.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,35
-180.00,-56.00,
-125.00,-56.00,
-110.00,-50.00,
-105.00,-50.00,
-90.00,-40.00,
-90.00,-38.00,
-60.00,-33.00,
-30.00,-30.00,
-25.00,-24.00,
-20.00,-21.00,
-15.00,-20.00,
-6.50,-20.00,
-4.00,-18.00,
-2.00,-4.50,
-1.50,-2.30,
-1.00,-0.90,
-0.50,-0.20,
0.00,0.00,
0.50,-0.20,
1.00,-0.90,
1.50,-2.30,
2.00,-4.50,
4.00,-18.00,
6.50,-20.00,
15.00,-20.00,
20.00,-21.00,
25.00,-24.00,
30.00,-30.00,
60.00,-33.00,
90.00,-38.00,
90.00,-40.00,
105.00,-50.00,
110.00,-50.00,
125.00,-56.00,
180.00,-56.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-56.00,
-110.00,-56.00,
-100.00,-54.00,
-80.00,-47.00,
-40.00,-45.00,
-30.00,-40.00,
-20.00,-40.00,
-15.00,-37.00,
-6.00,-37.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
6.00,-37.00,
15.00,-37.00,
20.00,-40.00,
30.00,-40.00,
40.00,-45.00,
80.00,-47.00,
100.00,-54.00,
110.00,-56.00,
180.00,-56.00,
ENDFIL:,EOF
