REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,FP12F-23
PATNUM:,6916D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19800618
LOWFRQ:,2300
HGHFRQ:,2500
GUNITS:,DBI/DBR
LWGAIN:,35.7
MDGAIN:,36.3
HGGAIN:,36.5
AZWIDT:,2.80
ELWIDT:,0.00
ATVSWR:,1.08
FRTOBA:,57.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,37
-180.00,-57.00,
-120.00,-57.00,
-100.00,-52.00,
-90.00,-42.00,
-75.00,-36.00,
-40.00,-36.00,
-30.00,-34.00,
-20.00,-34.00,
-15.00,-27.00,
-10.00,-22.00,
-5.00,-20.00,
-4.00,-17.00,
-3.00,-9.90,
-2.50,-6.40,
-2.00,-4.20,
-1.50,-2.70,
-1.00,-1.30,
-0.50,-0.60,
0.00,0.00,
0.50,-0.60,
1.00,-1.30,
1.50,-2.70,
2.00,-4.20,
2.50,-6.40,
3.00,-9.90,
4.00,-17.00,
5.00,-20.00,
10.00,-22.00,
15.00,-27.00,
20.00,-34.00,
30.00,-34.00,
40.00,-36.00,
75.00,-36.00,
90.00,-42.00,
100.00,-52.00,
120.00,-57.00,
180.00,-57.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-58.00,
-105.00,-58.00,
-90.00,-56.00,
-80.00,-51.00,
-15.00,-51.00,
-10.00,-51.00,
-6.00,-50.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
6.00,-50.00,
10.00,-51.00,
15.00,-51.00,
80.00,-51.00,
90.00,-56.00,
105.00,-58.00,
180.00,-58.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-57.00,
-120.00,-57.00,
-100.00,-52.00,
-90.00,-42.00,
-75.00,-36.00,
-40.00,-36.00,
-30.00,-34.00,
-20.00,-34.00,
-15.00,-27.00,
-10.00,-22.00,
-5.00,-20.00,
-4.00,-17.00,
-3.00,-9.90,
-2.50,-6.40,
-2.00,-4.20,
-1.50,-2.70,
-1.00,-1.30,
-0.50,-0.60,
0.00,0.00,
0.50,-0.60,
1.00,-1.30,
1.50,-2.70,
2.00,-4.20,
2.50,-6.40,
3.00,-9.90,
4.00,-17.00,
5.00,-20.00,
10.00,-22.00,
15.00,-27.00,
20.00,-34.00,
30.00,-34.00,
40.00,-36.00,
75.00,-36.00,
90.00,-42.00,
100.00,-52.00,
120.00,-57.00,
180.00,-57.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-58.00,
-105.00,-58.00,
-90.00,-56.00,
-80.00,-51.00,
-15.00,-51.00,
-10.00,-51.00,
-6.00,-50.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
6.00,-50.00,
10.00,-51.00,
15.00,-51.00,
80.00,-51.00,
90.00,-56.00,
105.00,-58.00,
180.00,-58.00,
ENDFIL:,EOF
