REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VP2-240
PATNUM:,3881A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001031
LOWFRQ:,24250
HGHFRQ:,26500
GUNITS:,DBI/DBR
LWGAIN:,40.8
MDGAIN:,41.2
HGGAIN:,41.6
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.20
FRTOBA:,52.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,49
-180.00,-52.00,
-108.00,-52.00,
-75.00,-41.00,
-45.00,-38.00,
-30.00,-38.00,
-26.00,-36.00,
-15.00,-33.00,
-7.00,-32.00,
-5.00,-24.00,
-3.00,-24.00,
-2.40,-18.00,
-1.60,-18.00,
-1.50,-15.00,
-1.40,-11.90,
-1.20,-9.50,
-1.10,-7.20,
-0.90,-5.30,
-0.80,-3.90,
-0.70,-2.80,
-0.60,-1.90,
-0.40,-1.10,
-0.30,-0.60,
-0.30,-0.30,
-0.10,-0.00,
-0.00,-0.00,
0.10,-0.00,
0.30,-0.30,
0.30,-0.60,
0.40,-1.10,
0.60,-1.90,
0.70,-2.80,
0.80,-3.90,
0.90,-5.30,
1.10,-7.20,
1.20,-9.50,
1.40,-11.90,
1.50,-15.00,
1.60,-18.00,
2.40,-18.00,
3.00,-24.00,
5.00,-24.00,
7.00,-32.00,
15.00,-33.00,
26.00,-36.00,
30.00,-38.00,
45.00,-38.00,
75.00,-41.00,
108.00,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.00,-58.00,
-75.00,-58.00,
-60.00,-54.00,
-20.10,-50.00,
-15.00,-46.00,
-2.50,-44.00,
-1.00,-32.00,
-0.00,-32.00,
1.00,-32.00,
2.50,-44.00,
15.00,-46.00,
20.10,-50.00,
60.00,-54.00,
75.00,-58.00,
180.00,-58.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,47
-180.00,-52.00,
-104.10,-52.00,
-95.10,-48.00,
-40.00,-42.00,
-30.00,-38.00,
-25.00,-34.00,
-20.00,-34.00,
-15.00,-32.00,
-5.00,-24.00,
-2.50,-20.00,
-1.60,-18.00,
-1.50,-15.00,
-1.40,-11.90,
-1.20,-9.50,
-1.10,-7.20,
-0.90,-5.30,
-0.80,-3.90,
-0.70,-2.80,
-0.60,-1.90,
-0.40,-1.10,
-0.30,-0.60,
-0.30,-0.30,
-0.10,-0.00,
-0.00,-0.00,
0.10,-0.00,
0.30,-0.30,
0.30,-0.60,
0.40,-1.10,
0.60,-1.90,
0.70,-2.80,
0.80,-3.90,
0.90,-5.30,
1.10,-7.20,
1.20,-9.50,
1.40,-11.90,
1.50,-15.00,
1.60,-18.00,
2.50,-20.00,
5.00,-24.00,
15.00,-32.00,
20.00,-34.00,
25.00,-34.00,
30.00,-38.00,
40.00,-42.00,
95.10,-48.00,
104.10,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.00,-58.00,
-90.00,-58.10,
-70.20,-55.00,
-50.10,-54.10,
-26.10,-48.00,
-18.00,-47.10,
-15.00,-43.00,
-2.00,-42.00,
-1.00,-32.00,
-0.00,-32.00,
1.00,-32.00,
2.00,-42.00,
15.00,-43.00,
18.00,-47.10,
26.10,-48.00,
50.10,-54.10,
70.20,-55.00,
90.00,-58.10,
180.00,-58.00,
ENDFIL:,EOF
