REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHLP4-240
PATNUM:,3512
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19990519
LOWFRQ:,24250
HGHFRQ:,26500
GUNITS:,DBI/DBR
LWGAIN:,46.5
MDGAIN:,46.9
HGGAIN:,47.2
AZWIDT:,0.60
ELWIDT:,0.60
ATVSWR:,1.30
FRTOBA:,73.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,44
-180.0,-73.0,
-90.0,-73.0,
-80.0,-60.0,
-60.0,-50.0,
-55.0,-47.2,
-40.0,-45.2,
-20.0,-45.2,
-15.0,-44.0,
-10.0,-40.0,
-7.0,-36.0,
-5.0,-30.0,
-4.0,-30.0,
-3.0,-26.0,
-2.5,-26.0,
-2.0,-14.0,
-1.5,-14.0,
-1.2,-8.0,
-0.5,-8.0,
-0.4,-5.5,
-0.3,-2.8,
-0.2,-1.1,
-0.1,-0.2,
0.1,-0.2,
0.2,-1.1,
0.3,-2.8,
0.4,-5.5,
0.5,-8.0,
1.2,-8.0,
1.5,-14.0,
2.0,-14.0,
2.5,-26.0,
3.0,-26.0,
4.0,-30.0,
5.0,-30.0,
7.0,-36.0,
10.0,-40.0,
15.0,-44.0,
20.0,-45.2,
40.0,-45.2,
55.0,-47.2,
60.0,-50.0,
80.0,-60.0,
90.0,-73.0,
180.0,-73.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,27
-180.0,-73.0,
-70.0,-73.0,
-50.0,-66.0,
-20.0,-66.0,
-15.0,-60.0,
-12.0,-60.0,
-8.0,-50.5,
-5.0,-50.5,
-3.0,-46.0,
-1.0,-35.0,
-0.5,-35.0,
-0.3,-30.0,
-0.2,-30.0,
0.0,-30.0,
0.2,-30.0,
0.3,-30.0,
0.5,-35.0,
1.0,-35.0,
3.0,-46.0,
5.0,-50.5,
8.0,-50.5,
12.0,-60.0,
15.0,-60.0,
20.0,-66.0,
50.0,-66.0,
70.0,-73.0,
180.0,-73.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,41
-180.0,-73.0,
-90.0,-73.0,
-70.0,-60.0,
-50.0,-47.0,
-25.0,-44.0,
-15.0,-44.0,
-10.0,-42.0,
-8.0,-36.0,
-5.0,-36.0,
-4.0,-26.0,
-2.5,-26.0,
-2.0,-15.0,
-1.5,-15.0,
-1.2,-9.0,
-0.5,-9.0,
-0.5,-7.9,
-0.4,-4.6,
-0.3,-2.3,
-0.2,-1.0,
-0.1,-0.3,
0.0,0.0,
0.1,-0.3,
0.2,-1.0,
0.3,-2.3,
0.4,-4.6,
0.5,-7.9,
0.5,-9.0,
1.2,-9.0,
1.5,-15.0,
2.0,-15.0,
2.5,-26.0,
4.0,-26.0,
5.0,-36.0,
8.0,-36.0,
10.0,-42.0,
15.0,-44.0,
25.0,-44.0,
50.0,-47.0,
70.0,-60.0,
90.0,-73.0,
180.0,-73.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.0,-73.0,
-80.0,-73.0,
-50.0,-62.0,
-15.0,-62.0,
-10.0,-55.0,
-8.0,-52.0,
-5.0,-51.0,
-3.0,-44.0,
-2.0,-38.0,
-0.7,-35.0,
-0.5,-30.0,
0.0,-30.0,
0.5,-30.0,
0.7,-35.0,
2.0,-38.0,
3.0,-44.0,
5.0,-51.0,
8.0,-52.0,
10.0,-55.0,
15.0,-62.0,
50.0,-62.0,
80.0,-73.0,
180.0,-73.0,
ENDFIL:,EOF
