REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHP2-240W
PATNUM:,2365A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001031
LOWFRQ:,24250
HGHFRQ:,29500
GUNITS:,DBI/DBR
LWGAIN:,40.6
MDGAIN:,41.3
HGGAIN:,41.9
AZWIDT:,1.40
ELWIDT:,1.40
ATVSWR:,1.20
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-68.00,
-90.00,-68.00,
-50.00,-42.00,
-30.00,-42.00,
-15.00,-36.00,
-13.00,-36.00,
-5.00,-25.00,
-3.00,-19.00,
-1.70,-19.00,
-1.50,-13.90,
-1.30,-10.60,
-1.20,-8.00,
-1.00,-5.50,
-0.80,-3.20,
-0.60,-1.80,
-0.40,-0.70,
-0.20,-0.10,
-0.00,-0.00,
0.20,-0.10,
0.40,-0.70,
0.60,-1.80,
0.80,-3.20,
1.00,-5.50,
1.20,-8.00,
1.30,-10.60,
1.50,-13.90,
1.70,-19.00,
3.00,-19.00,
5.00,-25.00,
13.00,-36.00,
15.00,-36.00,
30.00,-42.00,
50.00,-42.00,
90.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-68.00,
-75.00,-68.00,
-60.00,-60.00,
-45.00,-54.50,
-30.00,-51.00,
-21.00,-51.00,
-15.00,-46.00,
-7.50,-46.00,
-5.00,-45.00,
-2.40,-44.00,
-1.50,-32.00,
-0.00,-32.00,
1.50,-32.00,
2.40,-44.00,
5.00,-45.00,
7.50,-46.00,
15.00,-46.00,
21.00,-51.00,
30.00,-51.00,
45.00,-54.50,
60.00,-60.00,
75.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-68.00,
-80.00,-68.00,
-50.00,-50.00,
-30.00,-42.00,
-26.50,-38.50,
-15.00,-36.00,
-13.00,-34.00,
-5.00,-25.00,
-3.00,-19.00,
-1.70,-19.00,
-1.50,-13.90,
-1.30,-10.60,
-1.20,-8.00,
-1.00,-5.50,
-0.80,-3.20,
-0.60,-1.80,
-0.40,-0.70,
-0.20,-0.10,
-0.00,-0.00,
0.20,-0.10,
0.40,-0.70,
0.60,-1.80,
0.80,-3.20,
1.00,-5.50,
1.20,-8.00,
1.30,-10.60,
1.50,-13.90,
1.70,-19.00,
3.00,-19.00,
5.00,-25.00,
13.00,-34.00,
15.00,-36.00,
26.50,-38.50,
30.00,-42.00,
50.00,-50.00,
80.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,13
-180.00,-70.00,
-74.00,-70.00,
-33.00,-55.00,
-15.00,-50.00,
-2.50,-48.00,
-1.50,-32.00,
-0.00,-32.00,
1.50,-32.00,
2.50,-48.00,
15.00,-50.00,
33.00,-55.00,
74.00,-70.00,
180.00,-70.00,
ENDFIL:,EOF
