REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P8F-24
PATNUM:,2207C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19810821
LOWFRQ:,2450
HGHFRQ:,2500
GUNITS:,DBI/DBR
LWGAIN:,33.4
MDGAIN:,33.5
HGGAIN:,33.6
AZWIDT:,3.20
ELWIDT:,0.00
ATVSWR:,1.30
FRTOBA:,39.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.00,-39.00,
-159.00,-39.00,
-159.00,-41.00,
-140.00,-41.00,
-99.00,-33.00,
-99.00,-31.10,
-30.00,-31.10,
-20.00,-28.00,
-15.00,-24.00,
-12.50,-24.00,
-11.00,-20.00,
-9.00,-20.00,
-7.00,-17.00,
-5.80,-17.00,
-3.00,-6.20,
-2.00,-2.80,
-1.50,-1.80,
-1.00,-0.80,
-0.50,-0.30,
0.00,0.00,
0.50,-0.30,
1.00,-0.80,
1.50,-1.80,
2.00,-2.80,
3.00,-6.20,
5.80,-17.00,
7.00,-17.00,
9.00,-20.00,
11.00,-20.00,
12.50,-24.00,
15.00,-24.00,
20.00,-28.00,
30.00,-31.10,
99.00,-31.10,
99.00,-33.00,
140.00,-41.00,
159.00,-41.00,
159.00,-39.00,
180.00,-39.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,11
-180.00,-44.00,
-105.00,-44.00,
-85.00,-40.00,
-6.00,-40.00,
-5.00,-28.00,
0.00,-28.00,
5.00,-28.00,
6.00,-40.00,
85.00,-40.00,
105.00,-44.00,
180.00,-44.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.00,-39.00,
-159.00,-39.00,
-159.00,-41.00,
-140.00,-41.00,
-99.00,-33.00,
-99.00,-31.10,
-30.00,-31.10,
-20.00,-28.00,
-15.00,-24.00,
-12.50,-24.00,
-11.00,-20.00,
-9.00,-20.00,
-7.00,-17.00,
-5.80,-17.00,
-3.00,-6.20,
-2.00,-2.80,
-1.50,-1.80,
-1.00,-0.80,
-0.50,-0.30,
0.00,0.00,
0.50,-0.30,
1.00,-0.80,
1.50,-1.80,
2.00,-2.80,
3.00,-6.20,
5.80,-17.00,
7.00,-17.00,
9.00,-20.00,
11.00,-20.00,
12.50,-24.00,
15.00,-24.00,
20.00,-28.00,
30.00,-31.10,
99.00,-31.10,
99.00,-33.00,
140.00,-41.00,
159.00,-41.00,
159.00,-39.00,
180.00,-39.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,11
-180.00,-44.00,
-105.00,-44.00,
-85.00,-40.00,
-6.00,-40.00,
-5.00,-28.00,
0.00,-28.00,
5.00,-28.00,
6.00,-40.00,
85.00,-40.00,
105.00,-44.00,
180.00,-44.00,
ENDFIL:,EOF
