REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,FP4F-25
PATNUM:,6956D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19830909
LOWFRQ:,2480
HGHFRQ:,2700
GUNITS:,DBI/DBR
LWGAIN:,26.8
MDGAIN:,27.1
HGGAIN:,27.5
AZWIDT:,7.20
ELWIDT:,0.00
ATVSWR:,1.20
FRTOBA:,41.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,43
-180.00,-40.00,
-170.00,-40.00,
-160.00,-43.00,
-120.00,-43.00,
-80.00,-30.00,
-60.00,-26.00,
-40.00,-26.00,
-30.00,-20.00,
-15.00,-17.00,
-9.00,-17.00,
-8.00,-15.00,
-7.00,-10.90,
-6.00,-8.10,
-5.00,-5.60,
-4.00,-3.50,
-3.00,-2.00,
-2.50,-1.40,
-2.00,-1.00,
-1.50,-0.70,
-1.00,-0.30,
-0.50,-0.10,
0.00,0.00,
0.50,-0.10,
1.00,-0.30,
1.50,-0.70,
2.00,-1.00,
2.50,-1.40,
3.00,-2.00,
4.00,-3.50,
5.00,-5.60,
6.00,-8.10,
7.00,-10.90,
8.00,-15.00,
9.00,-17.00,
15.00,-17.00,
30.00,-20.00,
40.00,-26.00,
60.00,-26.00,
80.00,-30.00,
120.00,-43.00,
160.00,-43.00,
170.00,-40.00,
180.00,-40.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,11
-180.00,-46.00,
-100.00,-46.00,
-80.00,-42.00,
-15.00,-42.00,
-10.00,-30.00,
0.00,-30.00,
10.00,-30.00,
15.00,-42.00,
80.00,-42.00,
100.00,-46.00,
180.00,-46.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,43
-180.00,-40.00,
-170.00,-40.00,
-160.00,-43.00,
-120.00,-43.00,
-80.00,-30.00,
-60.00,-26.00,
-40.00,-26.00,
-30.00,-20.00,
-15.00,-17.00,
-9.00,-17.00,
-8.00,-15.00,
-7.00,-10.90,
-6.00,-8.10,
-5.00,-5.60,
-4.00,-3.50,
-3.00,-2.00,
-2.50,-1.40,
-2.00,-1.00,
-1.50,-0.70,
-1.00,-0.30,
-0.50,-0.10,
0.00,0.00,
0.50,-0.10,
1.00,-0.30,
1.50,-0.70,
2.00,-1.00,
2.50,-1.40,
3.00,-2.00,
4.00,-3.50,
5.00,-5.60,
6.00,-8.10,
7.00,-10.90,
8.00,-15.00,
9.00,-17.00,
15.00,-17.00,
30.00,-20.00,
40.00,-26.00,
60.00,-26.00,
80.00,-30.00,
120.00,-43.00,
160.00,-43.00,
170.00,-40.00,
180.00,-40.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,11
-180.00,-46.00,
-100.00,-46.00,
-80.00,-42.00,
-15.00,-42.00,
-10.00,-30.00,
0.00,-30.00,
10.00,-30.00,
15.00,-42.00,
80.00,-42.00,
100.00,-46.00,
180.00,-46.00,
ENDFIL:,EOF
