REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP4F-25
PATNUM:,1038
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19931227
LOWFRQ:,2480
HGHFRQ:,2700
GUNITS:,DBI/DBR
LWGAIN:,27.0
MDGAIN:,27.3
HGGAIN:,27.6
AZWIDT:,6.70
ELWIDT:,0.00
ATVSWR:,1.20
FRTOBA:,43.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,57
-180.0,-43.0,
-100.0,-43.0,
-40.0,-25.0,
-30.0,-24.0,
-20.0,-16.0,
-15.0,-16.0,
-12.5,-16.0,
-11.0,-12.0,
-8.0,-12.0,
-7.6,-10.8,
-7.2,-9.7,
-6.8,-8.7,
-6.4,-7.7,
-6.0,-6.8,
-5.6,-5.9,
-5.2,-5.1,
-4.8,-4.3,
-4.4,-3.6,
-4.0,-3.0,
-3.6,-2.4,
-3.2,-1.9,
-2.8,-1.5,
-2.4,-1.1,
-2.0,-0.8,
-1.6,-0.5,
-1.2,-0.3,
-0.8,-0.1,
-0.4,-0.0,
0.0,-0.0,
0.4,-0.0,
0.8,-0.1,
1.2,-0.3,
1.6,-0.5,
2.0,-0.8,
2.4,-1.1,
2.8,-1.5,
3.2,-1.9,
3.6,-2.4,
4.0,-3.0,
4.4,-3.6,
4.8,-4.3,
5.2,-5.1,
5.6,-5.9,
6.0,-6.8,
6.4,-7.7,
6.8,-8.7,
7.2,-9.7,
7.6,-10.8,
8.0,-12.0,
11.0,-12.0,
12.5,-16.0,
15.0,-16.0,
20.0,-16.0,
30.0,-24.0,
40.0,-25.0,
100.0,-43.0,
180.0,-43.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,13
-180.0,-43.0,
-100.0,-43.0,
-30.0,-34.0,
-15.0,-34.0,
-10.0,-34.0,
-8.0,-30.0,
0.0,-30.0,
8.0,-30.0,
10.0,-34.0,
15.0,-34.0,
30.0,-34.0,
100.0,-43.0,
180.0,-43.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,57
-180.0,-43.0,
-100.0,-43.0,
-40.0,-25.0,
-30.0,-24.0,
-20.0,-16.0,
-15.0,-16.0,
-12.5,-16.0,
-11.0,-12.0,
-8.0,-12.0,
-7.6,-10.8,
-7.2,-9.7,
-6.8,-8.7,
-6.4,-7.7,
-6.0,-6.8,
-5.6,-5.9,
-5.2,-5.1,
-4.8,-4.3,
-4.4,-3.6,
-4.0,-3.0,
-3.6,-2.4,
-3.2,-1.9,
-2.8,-1.5,
-2.4,-1.1,
-2.0,-0.8,
-1.6,-0.5,
-1.2,-0.3,
-0.8,-0.1,
-0.4,-0.0,
0.0,-0.0,
0.4,-0.0,
0.8,-0.1,
1.2,-0.3,
1.6,-0.5,
2.0,-0.8,
2.4,-1.1,
2.8,-1.5,
3.2,-1.9,
3.6,-2.4,
4.0,-3.0,
4.4,-3.6,
4.8,-4.3,
5.2,-5.1,
5.6,-5.9,
6.0,-6.8,
6.4,-7.7,
6.8,-8.7,
7.2,-9.7,
7.6,-10.8,
8.0,-12.0,
11.0,-12.0,
12.5,-16.0,
15.0,-16.0,
20.0,-16.0,
30.0,-24.0,
40.0,-25.0,
100.0,-43.0,
180.0,-43.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,13
-180.0,-43.0,
-100.0,-43.0,
-30.0,-34.0,
-15.0,-34.0,
-10.0,-34.0,
-8.0,-30.0,
0.0,-30.0,
8.0,-30.0,
10.0,-34.0,
15.0,-34.0,
30.0,-34.0,
100.0,-43.0,
180.0,-43.0,
ENDFIL:,EOF
