REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P4F-25
PATNUM:,1268E
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19930223
LOWFRQ:,2480
HGHFRQ:,2700
GUNITS:,DBI/DBR
LWGAIN:,27.6
MDGAIN:,27.9
HGGAIN:,28.2
AZWIDT:,6.30
ELWIDT:,0.00
ATVSWR:,1.20
FRTOBA:,32.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,59
-180.00,-32.00,
-170.00,-32.00,
-170.00,-36.00,
-143.00,-36.00,
-100.00,-27.00,
-30.00,-27.00,
-23.00,-25.00,
-20.00,-19.00,
-15.00,-19.00,
-11.50,-19.00,
-10.50,-16.00,
-9.00,-15.00,
-7.00,-15.00,
-7.00,-13.00,
-6.50,-11.20,
-6.00,-9.60,
-5.40,-7.70,
-5.00,-6.60,
-4.50,-5.40,
-4.00,-4.30,
-3.40,-3.10,
-3.00,-2.40,
-2.50,-1.70,
-2.00,-1.10,
-1.40,-0.50,
-1.00,-0.30,
-0.80,-0.20,
-0.40,0.00,
-0.20,0.00,
0.00,0.00,
0.20,0.00,
0.40,0.00,
0.80,-0.20,
1.00,-0.30,
1.40,-0.50,
2.00,-1.10,
2.50,-1.70,
3.00,-2.40,
3.40,-3.10,
4.00,-4.30,
4.50,-5.40,
5.00,-6.60,
5.40,-7.70,
6.00,-9.60,
6.50,-11.20,
7.00,-13.00,
7.00,-15.00,
9.00,-15.00,
10.50,-16.00,
11.50,-19.00,
15.00,-19.00,
20.00,-19.00,
23.00,-25.00,
30.00,-27.00,
100.00,-27.00,
143.00,-36.00,
170.00,-36.00,
170.00,-32.00,
180.00,-32.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,13
-180.00,-36.00,
-145.00,-36.00,
-140.00,-35.00,
-15.00,-35.00,
-7.00,-35.00,
-7.00,-30.00,
0.00,-30.00,
7.00,-30.00,
7.00,-35.00,
15.00,-35.00,
140.00,-35.00,
145.00,-36.00,
180.00,-36.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,53
-180.00,-32.00,
-170.00,-32.00,
-170.00,-36.00,
-135.00,-36.00,
-98.00,-28.00,
-30.00,-28.00,
-20.00,-19.00,
-15.00,-19.00,
-12.50,-19.00,
-10.00,-13.00,
-7.00,-13.00,
-6.50,-11.20,
-6.00,-9.60,
-5.40,-7.70,
-5.00,-6.60,
-4.50,-5.40,
-4.00,-4.30,
-3.40,-3.10,
-3.00,-2.40,
-2.50,-1.70,
-2.00,-1.10,
-1.40,-0.50,
-1.00,-0.30,
-0.80,-0.20,
-0.40,0.00,
-0.20,0.00,
0.00,0.00,
0.20,0.00,
0.40,0.00,
0.80,-0.20,
1.00,-0.30,
1.40,-0.50,
2.00,-1.10,
2.50,-1.70,
3.00,-2.40,
3.40,-3.10,
4.00,-4.30,
4.50,-5.40,
5.00,-6.60,
5.40,-7.70,
6.00,-9.60,
6.50,-11.20,
7.00,-13.00,
10.00,-13.00,
12.50,-19.00,
15.00,-19.00,
20.00,-19.00,
30.00,-28.00,
98.00,-28.00,
135.00,-36.00,
170.00,-36.00,
170.00,-32.00,
180.00,-32.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,13
-180.00,-36.00,
-145.00,-36.00,
-140.00,-35.00,
-15.00,-35.00,
-7.00,-35.00,
-7.00,-30.00,
0.00,-30.00,
7.00,-30.00,
7.00,-35.00,
15.00,-35.00,
140.00,-35.00,
145.00,-36.00,
180.00,-36.00,
ENDFIL:,EOF
