REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP6F-25
PATNUM:,1322E
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19911203
LOWFRQ:,2480
HGHFRQ:,2700
GUNITS:,DBI/DBR
LWGAIN:,31.1
MDGAIN:,31.4
HGGAIN:,31.7
AZWIDT:,4.60
ELWIDT:,4.60
ATVSWR:,1.10
FRTOBA:,50.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,57
-180.00,-50.00,
-100.00,-50.00,
-75.00,-37.00,
-50.00,-30.00,
-25.00,-30.00,
-17.00,-22.00,
-15.00,-22.00,
-14.80,-20.00,
-11.00,-20.00,
-10.00,-18.00,
-9.50,-16.00,
-6.00,-15.00,
-5.00,-15.00,
-4.00,-10.00,
-3.73,-8.55,
-3.47,-7.23,
-3.20,-6.05,
-2.93,-4.98,
-2.67,-4.03,
-2.40,-3.20,
-2.13,-2.48,
-1.87,-1.86,
-1.60,-1.33,
-1.33,-0.91,
-1.07,-0.57,
-0.80,-0.31,
-0.53,-0.14,
-0.27,-0.03,
0.00,0.00,
0.27,-0.03,
0.53,-0.14,
0.80,-0.31,
1.07,-0.57,
1.33,-0.91,
1.60,-1.33,
1.87,-1.86,
2.13,-2.48,
2.40,-3.20,
2.67,-4.03,
2.93,-4.98,
3.20,-6.05,
3.47,-7.23,
3.73,-8.55,
4.00,-10.00,
5.00,-15.00,
6.00,-15.00,
9.50,-16.00,
10.00,-18.00,
11.00,-20.00,
14.80,-20.00,
15.00,-22.00,
17.00,-22.00,
25.00,-30.00,
50.00,-30.00,
75.00,-37.00,
100.00,-50.00,
180.00,-50.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-52.00,
-60.00,-52.00,
-50.00,-47.00,
-15.00,-47.00,
-8.00,-44.00,
-7.00,-44.00,
-6.00,-35.00,
-4.50,-28.00,
0.00,-28.00,
4.50,-28.00,
6.00,-35.00,
7.00,-44.00,
8.00,-44.00,
15.00,-47.00,
50.00,-47.00,
60.00,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,51
-180.00,-50.00,
-100.00,-50.00,
-25.00,-30.00,
-17.00,-22.00,
-15.00,-22.00,
-14.90,-20.00,
-11.00,-20.00,
-8.50,-16.00,
-6.00,-15.00,
-5.00,-15.00,
-4.00,-10.00,
-3.73,-8.55,
-3.47,-7.23,
-3.20,-6.04,
-2.93,-4.97,
-2.67,-4.02,
-2.40,-3.19,
-2.13,-2.47,
-1.87,-1.85,
-1.60,-1.33,
-1.33,-0.90,
-1.07,-0.56,
-0.80,-0.31,
-0.53,-0.13,
-0.27,-0.03,
0.00,0.00,
0.27,-0.03,
0.53,-0.13,
0.80,-0.31,
1.07,-0.56,
1.33,-0.90,
1.60,-1.33,
1.87,-1.85,
2.13,-2.47,
2.40,-3.19,
2.67,-4.02,
2.93,-4.97,
3.20,-6.04,
3.47,-7.23,
3.73,-8.55,
4.00,-10.00,
5.00,-15.00,
6.00,-15.00,
8.50,-16.00,
11.00,-20.00,
14.90,-20.00,
15.00,-22.00,
17.00,-22.00,
25.00,-30.00,
100.00,-50.00,
180.00,-50.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.00,-52.00,
-60.00,-52.00,
-40.00,-47.00,
-15.00,-47.00,
-9.50,-47.00,
-7.50,-40.00,
-6.50,-40.00,
-6.00,-35.00,
-4.50,-28.00,
0.00,-28.00,
4.50,-28.00,
6.00,-35.00,
6.50,-40.00,
7.50,-40.00,
9.50,-47.00,
15.00,-47.00,
40.00,-47.00,
60.00,-52.00,
180.00,-52.00,
ENDFIL:,EOF
