REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,FP10F-25
PATNUM:,6905D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19800618
LOWFRQ:,2480
HGHFRQ:,2700
GUNITS:,DBI/DBR
LWGAIN:,35.2
MDGAIN:,35.5
HGGAIN:,35.8
AZWIDT:,3.20
ELWIDT:,0.00
ATVSWR:,1.08
FRTOBA:,55.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.00,-55.00,
-130.00,-55.00,
-130.00,-54.00,
-110.00,-52.00,
-100.00,-49.00,
-75.00,-36.00,
-20.00,-33.00,
-20.00,-30.00,
-15.00,-28.00,
-15.00,-26.00,
-10.00,-24.00,
-4.00,-20.00,
-3.50,-10.70,
-3.00,-7.40,
-2.50,-5.40,
-2.00,-3.60,
-1.50,-2.30,
-1.00,-1.30,
-0.50,-0.70,
0.00,0.00,
0.50,-0.70,
1.00,-1.30,
1.50,-2.30,
2.00,-3.60,
2.50,-5.40,
3.00,-7.40,
3.50,-10.70,
4.00,-20.00,
10.00,-24.00,
15.00,-26.00,
15.00,-28.00,
20.00,-30.00,
20.00,-33.00,
75.00,-36.00,
100.00,-49.00,
110.00,-52.00,
130.00,-54.00,
130.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,13
-180.00,-55.00,
-120.00,-55.00,
-70.00,-48.00,
-15.00,-47.30,
-10.00,-47.00,
-4.00,-30.00,
0.00,-30.00,
4.00,-30.00,
10.00,-47.00,
15.00,-47.30,
70.00,-48.00,
120.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.00,-55.00,
-130.00,-55.00,
-130.00,-54.00,
-110.00,-52.00,
-100.00,-49.00,
-75.00,-36.00,
-20.00,-33.00,
-20.00,-30.00,
-15.00,-28.00,
-15.00,-26.00,
-10.00,-24.00,
-4.00,-20.00,
-3.50,-10.70,
-3.00,-7.40,
-2.50,-5.40,
-2.00,-3.60,
-1.50,-2.30,
-1.00,-1.30,
-0.50,-0.70,
0.00,0.00,
0.50,-0.70,
1.00,-1.30,
1.50,-2.30,
2.00,-3.60,
2.50,-5.40,
3.00,-7.40,
3.50,-10.70,
4.00,-20.00,
10.00,-24.00,
15.00,-26.00,
15.00,-28.00,
20.00,-30.00,
20.00,-33.00,
75.00,-36.00,
100.00,-49.00,
110.00,-52.00,
130.00,-54.00,
130.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,13
-180.00,-55.00,
-120.00,-55.00,
-70.00,-48.00,
-15.00,-47.30,
-10.00,-47.00,
-4.00,-30.00,
0.00,-30.00,
4.00,-30.00,
10.00,-47.00,
15.00,-47.30,
70.00,-48.00,
120.00,-55.00,
180.00,-55.00,
ENDFIL:,EOF
