REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHP1-275
PATNUM:,1353A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001106
LOWFRQ:, 27500 
HGHFRQ:, 29500 
GUNITS:,DBI/DBR
LWGAIN:,36.3
MDGAIN:,36.6
HGGAIN:,36.6
AZWIDT:,36.9
ELWIDT:,36.9
ATVSWR:,1.15
FRTOBA:,62
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:, 53 
-180.00,-62.00,
-95.00,-62.00,
-65.00,-46.00,
-50.00,-40.00,
-34.00,-38.00,
-32.00,-34.00,
-20.00,-32.00,
-15.00,-28.00,
-10.00,-27.00,
-7.00,-22.00,
-5.00,-22.00,
-2.30,-16.00,
-2.20,-14.00,
-2.10,-12.10,
-2.00,-10.00,
-1.80,-8.00,
-1.60,-6.20,
-1.40,-4.90,
-1.30,-3.80,
-1.10,-2.70,
-0.90,-1.90,
-0.80,-1.30,
-0.60,-0.80,
-0.50,-0.50,
-0.30,-0.20,
-0.20,-0.10,
0.00,0.00,
0.20,-0.10,
0.30,-0.20,
0.50,-0.50,
0.60,-0.80,
0.80,-1.30,
0.90,-1.90,
1.10,-2.70,
1.30,-3.80,
1.40,-4.90,
1.60,-6.20,
1.80,-8.00,
2.00,-10.00,
2.10,-12.10,
2.20,-14.00,
2.30,-16.00,
5.00,-22.00,
7.00,-22.00,
10.00,-27.00,
15.00,-28.00,
20.00,-32.00,
32.00,-34.00,
34.00,-38.00,
50.00,-40.00,
65.00,-46.00,
95.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:, 21 
-180.00,-67.00,
-80.00,-67.00,
-37.50,-48.00,
-20.00,-48.00,
-15.00,-43.00,
-14.00,-41.00,
-5.00,-41.00,
-4.00,-40.00,
-2.50,-39.50,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.50,-39.50,
4.00,-40.00,
5.00,-41.00,
14.00,-41.00,
15.00,-43.00,
20.00,-48.00,
37.50,-48.00,
80.00,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:, 53 
-180.00,-64.00,
-79.50,-64.00,
-57.00,-50.00,
-40.20,-41.00,
-24.00,-36.00,
-15.00,-32.00,
-12.00,-28.00,
-10.00,-27.00,
-7.00,-26.00,
-2.70,-20.00,
-2.60,-18.00,
-2.50,-16.00,
-2.30,-14.00,
-2.10,-12.10,
-2.00,-10.00,
-1.80,-8.00,
-1.60,-6.20,
-1.40,-4.90,
-1.30,-3.80,
-1.10,-2.70,
-0.90,-1.90,
-0.80,-1.30,
-0.60,-0.80,
-0.50,-0.50,
-0.30,-0.20,
-0.20,-0.10,
0.00,0.00,
0.20,-0.10,
0.30,-0.20,
0.50,-0.50,
0.60,-0.80,
0.80,-1.30,
0.90,-1.90,
1.10,-2.70,
1.30,-3.80,
1.40,-4.90,
1.60,-6.20,
1.80,-8.00,
2.00,-10.00,
2.10,-12.10,
2.30,-14.00,
2.50,-16.00,
2.60,-18.00,
2.70,-20.00,
7.00,-26.00,
10.00,-27.00,
12.00,-28.00,
15.00,-32.00,
24.00,-36.00,
40.20,-41.00,
57.00,-50.00,
79.50,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:, 21 
-180.00,-68.00,
-120.00,-68.00,
-70.00,-68.00,
-55.00,-55.00,
-30.00,-54.00,
-25.00,-47.00,
-15.00,-45.00,
-14.00,-44.00,
-4.00,-44.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
4.00,-44.00,
14.00,-44.00,
15.00,-45.00,
25.00,-47.00,
30.00,-54.00,
55.00,-55.00,
70.00,-68.00,
120.00,-68.00,
180.00,-68.00,
ENDFIL:,EOF
