REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHLP2.5A-275W
PATNUM:,4624
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001114
LOWFRQ:,27500 
HGHFRQ:,29500 
GUNITS:,DBI/DBR
LWGAIN:,44.2
MDGAIN:,44.5
HGGAIN:,44.8
AZWIDT:,0.76
ELWIDT:,0.76
ATVSWR:,1.3
FRTOBA:,72
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,63 
-180.00,-72.00,
-90.00,-72.00,
-75.00,-56.00,
-68.00,-54.00,
-61.50,-50.00,
-55.00,-50.00,
-52.00,-48.00,
-45.00,-45.00,
-37.50,-43.50,
-30.00,-43.00,
-22.50,-42.00,
-17.00,-42.00,
-15.00,-40.00,
-13.50,-40.00,
-12.00,-36.00,
-8.00,-36.00,
-7.50,-34.00,
-6.00,-34.00,
-5.50,-32.00,
-4.50,-26.00,
-3.50,-26.00,
-2.50,-18.00,
-2.00,-18.00,
-1.50,-9.50,
-0.65,-9.50,
-0.60,-7.68,
-0.50,-4.87,
-0.40,-2.81,
-0.30,-1.49,
-0.20,-0.58,
-0.10,-0.07,
0.00,0.00,
0.10,-0.07,
0.20,-0.58,
0.30,-1.49,
0.40,-2.81,
0.50,-4.87,
0.60,-7.68,
0.65,-9.50,
1.50,-9.50,
2.00,-18.00,
2.50,-18.00,
3.50,-26.00,
4.50,-26.00,
5.50,-32.00,
6.00,-34.00,
7.50,-34.00,
8.00,-36.00,
12.00,-36.00,
13.50,-40.00,
15.00,-40.00,
17.00,-42.00,
22.50,-42.00,
30.00,-43.00,
37.50,-43.50,
45.00,-45.00,
52.00,-48.00,
55.00,-50.00,
61.50,-50.00,
68.00,-54.00,
75.00,-56.00,
90.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,41 
-180.00,-74.00,
-82.50,-74.00,
-67.50,-70.00,
-60.00,-70.00,
-50.00,-68.00,
-42.50,-68.00,
-37.50,-64.00,
-30.00,-64.00,
-25.00,-61.00,
-22.50,-61.00,
-17.50,-60.00,
-15.00,-57.00,
-11.00,-56.00,
-9.00,-54.00,
-7.00,-52.00,
-5.00,-50.00,
-3.50,-48.00,
-2.50,-46.00,
-1.50,-42.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.50,-42.00,
2.50,-46.00,
3.50,-48.00,
5.00,-50.00,
7.00,-52.00,
9.00,-54.00,
11.00,-56.00,
15.00,-57.00,
17.50,-60.00,
22.50,-61.00,
25.00,-61.00,
30.00,-64.00,
37.50,-64.00,
42.50,-68.00,
50.00,-68.00,
60.00,-70.00,
67.50,-70.00,
82.50,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,59 
-180.00,-74.00,
-90.00,-74.00,
-82.50,-72.00,
-73.00,-64.00,
-60.00,-54.00,
-52.50,-52.00,
-47.50,-47.00,
-42.50,-46.00,
-37.50,-44.00,
-15.00,-44.00,
-14.00,-44.00,
-12.50,-38.00,
-9.00,-38.00,
-7.50,-34.00,
-6.00,-34.00,
-5.00,-29.00,
-4.00,-29.00,
-3.00,-28.00,
-2.50,-19.00,
-2.00,-19.00,
-1.50,-11.00,
-0.70,-11.00,
-0.68,-10.00,
-0.60,-7.00,
-0.50,-4.50,
-0.40,-2.67,
-0.30,-1.42,
-0.20,-0.61,
-0.10,-0.14,
0.00,0.00,
0.10,-0.14,
0.20,-0.61,
0.30,-1.42,
0.40,-2.67,
0.50,-4.50,
0.60,-7.00,
0.68,-10.00,
0.70,-11.00,
1.50,-11.00,
2.00,-19.00,
2.50,-19.00,
3.00,-28.00,
4.00,-29.00,
5.00,-29.00,
6.00,-34.00,
7.50,-34.00,
9.00,-38.00,
12.50,-38.00,
14.00,-44.00,
15.00,-44.00,
37.50,-44.00,
42.50,-46.00,
47.50,-47.00,
52.50,-52.00,
60.00,-54.00,
73.00,-64.00,
82.50,-72.00,
90.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,39 
-180.00,-74.00,
-79.00,-74.00,
-68.00,-68.00,
-53.00,-68.00,
-45.00,-65.00,
-37.00,-63.00,
-30.00,-63.00,
-22.50,-62.00,
-18.00,-62.00,
-15.00,-56.00,
-12.50,-56.00,
-9.50,-52.00,
-6.00,-52.00,
-5.00,-49.00,
-4.00,-48.00,
-3.00,-42.00,
-2.50,-36.00,
-1.50,-36.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.50,-36.00,
2.50,-36.00,
3.00,-42.00,
4.00,-48.00,
5.00,-49.00,
6.00,-52.00,
9.50,-52.00,
12.50,-56.00,
15.00,-56.00,
18.00,-62.00,
22.50,-62.00,
30.00,-63.00,
37.00,-63.00,
45.00,-65.00,
53.00,-68.00,
68.00,-68.00,
79.00,-74.00,
180.00,-74.00,
ENDFIL:,EOF
