REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHLP1-275
PATNUM:,4244
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000404
LOWFRQ:,27500
HGHFRQ:,29500
GUNITS:,DBI/DBR
LWGAIN:,36.6
MDGAIN:,36.9
HGGAIN:,37.2
AZWIDT:,2.00
ELWIDT:,2.00
ATVSWR:,1.30
FRTOBA:,63.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,47
-180.00,-63.00,
-103.80,-63.00,
-66.90,-44.00,
-36.60,-36.00,
-20.00,-32.30,
-15.00,-29.20,
-6.90,-19.30,
-5.00,-17.40,
-4.00,-10.00,
-1.64,-10.00,
-1.54,-8.80,
-1.46,-7.70,
-1.36,-6.50,
-1.28,-5.60,
-1.18,-4.60,
-1.08,-3.70,
-0.98,-3.00,
-0.90,-2.40,
-0.80,-1.90,
-0.72,-1.50,
-0.62,-0.90,
-0.54,-0.70,
-0.48,-0.50,
-0.30,-0.10,
0.48,-0.50,
0.54,-0.70,
0.62,-0.90,
0.72,-1.50,
0.80,-1.90,
0.90,-2.40,
0.98,-3.00,
1.08,-3.70,
1.18,-4.60,
1.28,-5.60,
1.36,-6.50,
1.46,-7.70,
1.54,-8.80,
1.64,-10.00,
4.00,-10.00,
5.00,-17.40,
6.90,-19.30,
15.00,-29.20,
20.00,-32.30,
36.60,-36.00,
66.90,-44.00,
103.80,-63.00,
180.00,-63.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,13
-180.00,-63.00,
-70.00,-63.00,
-30.00,-50.40,
-15.00,-44.00,
-5.00,-44.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
5.00,-44.00,
15.00,-44.00,
30.00,-50.40,
70.00,-63.00,
180.00,-63.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,47
-180.00,-63.00,
-99.60,-63.00,
-74.80,-48.90,
-45.00,-38.00,
-20.00,-33.10,
-15.00,-29.10,
-10.00,-24.00,
-5.00,-17.90,
-4.00,-10.00,
-1.64,-10.00,
-1.54,-8.70,
-1.49,-7.80,
-1.42,-6.90,
-1.32,-5.80,
-1.25,-5.10,
-1.18,-4.50,
-1.10,-3.80,
-1.01,-3.10,
-0.88,-2.20,
-0.76,-1.60,
-0.66,-1.20,
-0.56,-0.80,
-0.44,-0.40,
-0.31,-0.10,
0.44,-0.40,
0.56,-0.80,
0.66,-1.20,
0.76,-1.60,
0.88,-2.20,
1.01,-3.10,
1.10,-3.80,
1.18,-4.50,
1.25,-5.10,
1.32,-5.80,
1.42,-6.90,
1.49,-7.80,
1.54,-8.70,
1.64,-10.00,
4.00,-10.00,
5.00,-17.90,
10.00,-24.00,
15.00,-29.10,
20.00,-33.10,
45.00,-38.00,
74.80,-48.90,
99.60,-63.00,
180.00,-63.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,13
-180.00,-63.00,
-82.80,-63.00,
-52.80,-54.40,
-15.00,-48.00,
-5.00,-42.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
5.00,-42.00,
15.00,-48.00,
52.80,-54.40,
82.80,-63.00,
180.00,-63.00,
ENDFIL:,EOF
