REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHLP2.5A-275W
PATNUM:,4626
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001114
LOWFRQ:,31000 
HGHFRQ:,31300 
GUNITS:,DBI/DBR
LWGAIN:,45
MDGAIN:,45
HGGAIN:,45
AZWIDT:,0.72
ELWIDT:,0.72
ATVSWR:,1.4
FRTOBA:,72
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,53 
-180.00,-72.00,
-85.00,-72.00,
-60.00,-48.00,
-45.00,-45.00,
-40.00,-44.00,
-20.00,-44.00,
-17.00,-42.00,
-15.00,-40.00,
-13.50,-40.00,
-12.00,-38.00,
-8.00,-38.00,
-7.00,-34.00,
-6.00,-34.00,
-5.00,-34.00,
-4.00,-26.00,
-3.50,-26.00,
-2.50,-18.00,
-2.00,-18.00,
-1.50,-9.50,
-0.65,-9.50,
-0.60,-7.68,
-0.50,-4.87,
-0.40,-2.81,
-0.30,-1.49,
-0.20,-0.58,
-0.10,-0.07,
0.00,0.00,
0.10,-0.07,
0.20,-0.58,
0.30,-1.49,
0.40,-2.81,
0.50,-4.87,
0.60,-7.68,
0.65,-9.50,
1.50,-9.50,
2.00,-18.00,
2.50,-18.00,
3.50,-26.00,
4.00,-26.00,
5.00,-34.00,
6.00,-34.00,
7.00,-34.00,
8.00,-38.00,
12.00,-38.00,
13.50,-40.00,
15.00,-40.00,
17.00,-42.00,
20.00,-44.00,
40.00,-44.00,
45.00,-45.00,
60.00,-48.00,
85.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,41 
-180.00,-74.00,
-82.50,-74.00,
-67.50,-70.00,
-60.00,-70.00,
-50.00,-68.00,
-42.50,-68.00,
-37.50,-64.00,
-30.00,-64.00,
-25.00,-61.00,
-22.50,-61.00,
-17.50,-60.00,
-15.00,-57.00,
-11.00,-56.00,
-9.00,-54.00,
-7.00,-52.00,
-5.00,-50.00,
-3.00,-44.00,
-2.00,-42.00,
-1.50,-42.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.50,-42.00,
2.00,-42.00,
3.00,-44.00,
5.00,-50.00,
7.00,-52.00,
9.00,-54.00,
11.00,-56.00,
15.00,-57.00,
17.50,-60.00,
22.50,-61.00,
25.00,-61.00,
30.00,-64.00,
37.50,-64.00,
42.50,-68.00,
50.00,-68.00,
60.00,-70.00,
67.50,-70.00,
82.50,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,55 
-180.00,-74.00,
-95.00,-74.00,
-75.00,-60.00,
-67.00,-54.00,
-60.00,-54.00,
-50.00,-47.00,
-47.50,-47.00,
-42.00,-46.00,
-20.00,-46.00,
-15.00,-40.00,
-12.50,-40.00,
-9.00,-40.00,
-7.50,-34.00,
-6.00,-34.00,
-5.00,-29.00,
-4.00,-29.00,
-3.00,-19.00,
-2.00,-19.00,
-1.50,-11.00,
-0.70,-11.00,
-0.68,-10.00,
-0.60,-7.00,
-0.50,-4.50,
-0.40,-2.67,
-0.30,-1.42,
-0.20,-0.61,
-0.10,-0.14,
0.00,0.00,
0.10,-0.14,
0.20,-0.61,
0.30,-1.42,
0.40,-2.67,
0.50,-4.50,
0.60,-7.00,
0.68,-10.00,
0.70,-11.00,
1.50,-11.00,
2.00,-19.00,
3.00,-19.00,
4.00,-29.00,
5.00,-29.00,
6.00,-34.00,
7.50,-34.00,
9.00,-40.00,
12.50,-40.00,
15.00,-40.00,
20.00,-46.00,
42.00,-46.00,
47.50,-47.00,
50.00,-47.00,
60.00,-54.00,
67.00,-54.00,
75.00,-60.00,
95.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,39 
-180.00,-74.00,
-79.00,-74.00,
-68.00,-68.00,
-53.00,-68.00,
-45.00,-65.00,
-37.00,-63.00,
-30.00,-63.00,
-22.50,-62.00,
-20.00,-62.00,
-15.00,-56.00,
-12.50,-56.00,
-9.50,-52.00,
-6.00,-52.00,
-5.00,-49.00,
-4.00,-48.00,
-3.00,-42.00,
-2.50,-36.00,
-1.50,-36.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.50,-36.00,
2.50,-36.00,
3.00,-42.00,
4.00,-48.00,
5.00,-49.00,
6.00,-52.00,
9.50,-52.00,
12.50,-56.00,
15.00,-56.00,
20.00,-62.00,
22.50,-62.00,
30.00,-63.00,
37.00,-63.00,
45.00,-65.00,
53.00,-68.00,
68.00,-68.00,
79.00,-74.00,
180.00,-74.00,
ENDFIL:,EOF
