REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHP2-310
PATNUM:,4243A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001031
LOWFRQ:,31000
HGHFRQ:,31800
GUNITS:,DBI/DBR
LWGAIN:,42.0
MDGAIN:,42.2
HGGAIN:,42.4
AZWIDT:,1.40
ELWIDT:,1.40
ATVSWR:,1.20
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.00,-68.00,
-82.00,-68.00,
-70.00,-64.00,
-47.00,-42.00,
-20.00,-38.00,
-15.00,-37.00,
-12.90,-37.00,
-11.00,-33.00,
-5.50,-28.00,
-4.50,-24.00,
-3.52,-22.00,
-2.47,-22.00,
-1.93,-18.00,
-1.26,-18.00,
-1.17,-14.00,
-1.00,-9.88,
-0.75,-5.35,
-0.48,-2.03,
-0.25,-0.47,
-0.00,-0.00,
0.25,-0.47,
0.48,-2.03,
0.75,-5.35,
1.00,-9.88,
1.17,-14.00,
1.26,-18.00,
1.93,-18.00,
2.47,-22.00,
3.52,-22.00,
4.50,-24.00,
5.50,-28.00,
11.00,-33.00,
12.90,-37.00,
15.00,-37.00,
20.00,-38.00,
47.00,-42.00,
70.00,-64.00,
82.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,27
-180.00,-68.00,
-70.30,-68.00,
-50.00,-58.00,
-42.30,-58.00,
-40.00,-56.00,
-30.40,-54.00,
-22.00,-54.00,
-16.00,-48.00,
-15.00,-48.00,
-10.00,-48.00,
-9.00,-46.00,
-4.00,-46.00,
-2.00,-32.00,
-0.00,-32.00,
2.00,-32.00,
4.00,-46.00,
9.00,-46.00,
10.00,-48.00,
15.00,-48.00,
16.00,-48.00,
22.00,-54.00,
30.40,-54.00,
40.00,-56.00,
42.30,-58.00,
50.00,-58.00,
70.30,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.00,-68.00,
-75.00,-68.00,
-50.00,-46.00,
-32.00,-42.00,
-25.50,-41.00,
-20.00,-38.00,
-15.00,-36.50,
-10.40,-36.00,
-6.00,-28.00,
-5.50,-28.00,
-4.50,-24.00,
-4.00,-23.00,
-3.52,-22.00,
-2.20,-22.00,
-2.00,-20.00,
-1.00,-9.88,
-0.75,-5.35,
-0.48,-2.03,
-0.25,-0.47,
-0.00,-0.00,
0.25,-0.47,
0.48,-2.03,
0.75,-5.35,
1.00,-9.88,
2.00,-20.00,
2.20,-22.00,
3.52,-22.00,
4.00,-23.00,
4.50,-24.00,
5.50,-28.00,
6.00,-28.00,
10.40,-36.00,
15.00,-36.50,
20.00,-38.00,
25.50,-41.00,
32.00,-42.00,
50.00,-46.00,
75.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,25
-180.00,-68.00,
-60.00,-68.00,
-47.00,-61.00,
-35.30,-61.00,
-28.90,-58.00,
-20.00,-56.00,
-18.00,-53.80,
-15.00,-53.80,
-12.00,-53.80,
-11.00,-48.80,
-3.00,-48.80,
-2.00,-32.00,
-0.00,-32.00,
2.00,-32.00,
3.00,-48.80,
11.00,-48.80,
12.00,-53.80,
15.00,-53.80,
18.00,-53.80,
20.00,-56.00,
28.90,-58.00,
35.30,-61.00,
47.00,-61.00,
60.00,-68.00,
180.00,-68.00,
ENDFIL:,EOF
