REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP2F-34
PATNUM:,4416
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19981111
LOWFRQ:,3400
HGHFRQ:,3700
GUNITS:,DBI/DBR
LWGAIN:,22.7
MDGAIN:,23.0
HGGAIN:,23.0
AZWIDT:,10.70
ELWIDT:,10.70
ATVSWR:,1.35
FRTOBA:,34.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.00,-34.00,
-170.00,-34.00,
-165.00,-40.00,
-150.00,-40.00,
-145.00,-42.00,
-120.00,-42.00,
-70.00,-34.00,
-57.00,-25.00,
-29.00,-25.00,
-23.00,-13.00,
-10.80,-13.00,
-9.90,-10.00,
-9.10,-8.00,
-8.50,-6.80,
-7.80,-5.60,
-7.40,-4.80,
-6.40,-3.60,
-5.90,-2.90,
-4.90,-1.90,
-3.70,-1.00,
-2.30,-0.40,
-1.50,-0.10,
0.00,-0.00,
1.50,-0.10,
2.30,-0.40,
3.70,-1.00,
4.90,-1.90,
5.90,-2.90,
6.40,-3.60,
7.40,-4.80,
7.80,-5.60,
8.50,-6.80,
9.10,-8.00,
9.90,-10.00,
10.80,-13.00,
23.00,-13.00,
29.00,-25.00,
57.00,-25.00,
70.00,-34.00,
120.00,-42.00,
145.00,-42.00,
150.00,-40.00,
165.00,-40.00,
170.00,-34.00,
180.00,-34.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.00,-44.00,
-175.00,-44.00,
-170.00,-46.00,
-95.00,-46.00,
-75.00,-43.00,
-23.00,-40.00,
-6.00,-31.00,
0.00,-31.00,
6.00,-31.00,
23.00,-40.00,
75.00,-43.00,
95.00,-46.00,
170.00,-46.00,
175.00,-44.00,
180.00,-44.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.00,-34.00,
-175.00,-34.00,
-165.00,-43.00,
-84.00,-43.00,
-70.00,-36.00,
-60.00,-36.00,
-36.00,-17.00,
-24.00,-17.00,
-20.00,-13.00,
-10.30,-13.00,
-9.40,-10.00,
-8.20,-7.00,
-7.00,-5.00,
-6.00,-3.60,
-5.00,-2.25,
-4.00,-1.40,
-3.00,-0.75,
-1.90,-0.20,
-1.40,-0.05,
0.00,-0.00,
1.40,-0.05,
1.90,-0.20,
3.00,-0.75,
4.00,-1.40,
5.00,-2.25,
6.00,-3.60,
7.00,-5.00,
8.20,-7.00,
9.40,-10.00,
10.30,-13.00,
20.00,-13.00,
24.00,-17.00,
36.00,-17.00,
60.00,-36.00,
70.00,-36.00,
84.00,-43.00,
165.00,-43.00,
175.00,-34.00,
180.00,-34.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,11
-180.00,-45.00,
-85.00,-45.00,
-40.00,-40.00,
-25.00,-40.00,
-4.00,-32.00,
0.00,-32.00,
4.00,-32.00,
25.00,-40.00,
40.00,-40.00,
85.00,-45.00,
180.00,-45.00,
ENDFIL:,EOF
