REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX8-34
PATNUM:,1469D
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19930219
LOWFRQ:,3400
HGHFRQ:,3900
GUNITS:,DBI/DBR
LWGAIN:,36.2
MDGAIN:,36.9
HGGAIN:,37.5
AZWIDT:,2.40
ELWIDT:,2.40
ATVSWR:,1.06
FRTOBA:,62.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,48
-180.00,-62.00,
-160.00,-62.00,
-160.00,-64.00,
-100.00,-64.00,
-60.00,-45.00,
-40.00,-45.00,
-20.00,-30.00,
-15.00,-29.00,
-6.00,-20.00,
-5.00,-16.00,
-2.50,-16.00,
-2.30,-13.55,
-2.20,-12.40,
-2.00,-10.20,
-1.80,-8.30,
-1.60,-6.50,
-1.40,-5.00,
-1.20,-3.70,
-1.00,-2.56,
-0.80,-1.60,
-0.60,-0.90,
-0.40,-0.40,
-0.20,-0.10,
0.00,0.00,
0.20,-0.10,
0.40,-0.40,
0.60,-0.90,
0.80,-1.60,
1.00,-2.56,
1.20,-3.70,
1.40,-5.00,
1.60,-6.50,
1.80,-8.30,
2.00,-10.20,
2.20,-12.40,
2.30,-13.55,
2.50,-16.00,
5.00,-16.00,
6.00,-20.00,
15.00,-38.00,
20.00,-40.00,
40.00,-44.00,
60.00,-51.00,
80.00,-54.00,
100.00,-64.00,
150.00,-64.00,
150.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-62.00,
-150.00,-62.00,
-140.00,-68.00,
-80.00,-68.00,
-80.00,-64.00,
-70.00,-64.00,
-60.00,-56.00,
-30.00,-54.00,
-15.00,-51.00,
-12.00,-47.00,
-4.00,-40.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
8.00,-40.00,
10.00,-52.00,
12.00,-56.00,
15.00,-56.00,
40.00,-57.00,
90.00,-66.00,
140.00,-66.00,
150.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,46
-180.00,-62.00,
-140.00,-62.00,
-140.00,-66.00,
-90.00,-66.00,
-60.00,-45.00,
-40.00,-45.00,
-30.00,-40.00,
-15.00,-36.00,
-5.00,-20.00,
-2.50,-20.00,
-2.50,-16.00,
-2.30,-13.55,
-2.20,-12.40,
-2.00,-10.20,
-1.80,-8.30,
-1.60,-6.50,
-1.40,-5.00,
-1.20,-3.70,
-1.00,-2.56,
-0.80,-1.60,
-0.60,-0.90,
-0.40,-0.40,
-0.20,-0.10,
0.00,0.00,
0.20,-0.10,
0.40,-0.40,
0.60,-0.90,
0.80,-1.60,
1.00,-2.56,
1.20,-3.70,
1.40,-5.00,
1.60,-6.50,
1.80,-8.30,
2.00,-10.20,
2.20,-12.40,
2.30,-13.55,
2.50,-16.00,
3.00,-22.00,
6.00,-22.00,
15.00,-38.00,
50.00,-52.00,
80.00,-56.00,
100.00,-68.00,
140.00,-68.00,
140.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.00,-64.00,
-165.00,-64.00,
-165.00,-67.00,
-80.00,-67.00,
-60.00,-58.00,
-40.00,-58.00,
-25.00,-56.00,
-20.00,-50.00,
-15.00,-49.00,
-10.00,-47.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
15.00,-56.00,
60.00,-58.00,
90.00,-69.00,
143.00,-69.00,
143.00,-64.00,
180.00,-64.00,
ENDFIL:,EOF
