REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX10-35
PATNUM:,1465D
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19740621
LOWFRQ:,3540
HGHFRQ:,4180
GUNITS:,DBI/DBR
LWGAIN:,38.1
MDGAIN:,38.8
HGGAIN:,39.5
AZWIDT:,1.80
ELWIDT:,1.80
ATVSWR:,1.06
FRTOBA:,65.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,44
-180.00,-65.00,
-169.00,-65.00,
-169.00,-66.80,
-152.00,-66.80,
-147.00,-65.00,
-101.50,-65.00,
-65.00,-45.00,
-35.00,-45.00,
-15.00,-34.00,
-9.00,-29.00,
-6.50,-29.00,
-4.50,-19.00,
-2.50,-19.00,
-2.40,-15.00,
-2.00,-10.00,
-1.90,-8.00,
-1.50,-5.00,
-1.20,-3.00,
-1.00,-2.00,
-0.50,-1.00,
0.00,0.00,
0.50,-1.00,
1.00,-2.00,
1.50,-5.00,
1.90,-8.00,
2.00,-10.00,
2.40,-15.00,
2.50,-17.00,
3.50,-17.00,
8.00,-33.20,
11.00,-33.20,
15.00,-39.00,
18.00,-43.00,
25.00,-43.50,
30.00,-49.00,
40.00,-50.00,
67.00,-52.00,
85.00,-57.00,
85.00,-63.00,
90.00,-63.00,
110.00,-67.50,
165.00,-67.50,
165.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,24
-180.00,-68.50,
-170.50,-68.50,
-170.50,-70.00,
-67.00,-70.00,
-40.00,-62.00,
-35.00,-58.00,
-25.00,-58.00,
-15.00,-48.00,
-13.00,-44.00,
-9.00,-38.00,
-3.00,-38.00,
-2.50,-32.00,
0.00,-32.00,
2.30,-32.00,
4.50,-47.00,
10.50,-57.00,
15.00,-57.00,
25.00,-57.00,
47.00,-65.00,
85.00,-65.00,
103.00,-70.50,
173.00,-70.50,
173.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,38
-180.00,-68.20,
-104.00,-68.20,
-83.00,-55.00,
-72.00,-51.50,
-50.00,-51.50,
-15.00,-30.50,
-10.00,-27.80,
-5.70,-27.80,
-5.00,-23.00,
-2.50,-23.00,
-2.50,-19.00,
-2.40,-15.00,
-2.00,-10.00,
-1.90,-8.00,
-1.50,-5.00,
-1.20,-3.00,
-1.00,-2.00,
-0.50,-1.00,
0.00,0.00,
0.50,-1.00,
1.00,-2.00,
1.50,-5.00,
1.90,-8.00,
2.00,-10.00,
2.40,-15.00,
3.00,-26.00,
5.00,-26.00,
15.00,-36.00,
25.00,-48.00,
45.00,-48.00,
73.00,-55.00,
80.20,-61.00,
103.00,-65.00,
110.00,-65.00,
130.00,-70.00,
170.00,-70.00,
170.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-68.00,
-102.00,-68.00,
-47.00,-61.10,
-44.00,-57.00,
-23.00,-57.00,
-15.00,-49.00,
-10.00,-44.00,
-5.50,-44.00,
-2.50,-32.00,
0.00,-32.00,
2.30,-32.00,
3.50,-47.50,
7.50,-47.50,
15.00,-57.50,
22.00,-57.50,
47.00,-62.00,
70.00,-62.00,
125.00,-71.00,
173.00,-71.00,
173.00,-68.00,
180.00,-68.00,
ENDFIL:,EOF
